Dotter;Dóttir
Harallz;Haralds
ens;hins
harfagra;hárfagra
var;var
Olof;Ólöf
arbot;árbót
er;er
atte;átti
Þorer;Þórir
þæiande;þegjandi
a;á
Mꝍire;Mæri
iarll;jarl
.;.
þæirra;þeirra
dotter;dóttir
var;var
Bergliot;Bergljót
er;er
atte;átti
Sigurðr;Sigurður
Laða;Hlaða
iarll;jarl
.;.
Ðæira;Þeirra
sunr;sonur
var;var
Hakon;Hákon
.;.
er;er
misti;missti
faður;föður
sins;sinn
a;á
ungum;ungum
alldre;aldri
.;.
oc;og
er;er
hann;hann
spurði;spurði
fall;fall
faður;föður
sins;síns
.;.
fecc;fékk
hann;hann
ser;sér
skip;skip
oc;og
þar;þar
menn;menn
til;til
oc;og
bio;bjó
lið;lið
sit;sitt
væl;vel
at;að
vapnom;vopnum
.;.
oc;og
hellt;hélt
hann;hann
skipi;skipi
sinu;sínu
austr;austur
i;í
Vik;Vík
oc;og
þaðan;þaðan
i;í
Ꝍystra;Eystra
sallt;salt
.;.
Tok;Tók
þa;þá
at;að
hæria;herja
oc;og
gierðez;gerðist
utilego;útilegu
vikingr;víkingur
.;.
hann;hann
hæriaðe;herjaði
um;um
Svia;Svía
velldi;veldi
oc;og
Gauta;Gauta
Vinnda;Vinda
oc;og
Kura;Kúra
allt;allt
austr;austur
um;um
Syslo;Sýslu
.;.
hafðe;hafði
friðland;friðland
um;um
vætrom;vetur
til;" til"
Danmarkar;Danmerkur
.;.
oc;og
vingaðez;vingaðist
með;með
fegiafum;fégjöfum
oc;og
hæimsoknom;heimsóknum
við;við
Haralld;Harald
konong;konung
Gorms;Gorms
sun;son
.;.
en;en
hvært;hvert
sumar;sumar
la;lá
hann;hann
uti;úti
i;í
hærnaðe;hernaði
.;.
Hacon;Hákon
var;var
manna;manna
friðastr;fríðastur
sionom;sjónum
oc;og
kurteisare;kurteisari
en;en
flester;flestir
menn;menn
aðrer;aðrir
.;.
meðal;meðal
maðr;maður
at;að
væxti;vexti
.;.
hann;hann
var;var
bæðe;bæði
væl;vel
hærðr;hærður
oc;og
skæggiaðr;skeggjaður
.;.
at;at
giærvis;gervis
maðr;maður
mikill;mikill
um;um
flesta;flesta
luti;hluti
.;.
talaðr;talaður
væl;vel
.;.
diupraðr;djúpráður
.;.
þolenmoðr;þolinmóður
.;.
grimr;grimmur
ovinum;óvinum
sinum;sínum
.;.
bæðe;bæði
með;með
openberom;opinberum
raðom;ráðum
oc;og
læynilegom;leynilegum
velom;vélum
.;.
langrækr;langrækur
.;.
milldr;mildur
af;af
fe;fé
.;.
A;Á
æinu;einu
hausti;hausti
varo;voru
þesse;þessi
tiðendi;tíðindi
með;með
Dana;Dana
kononge;konungi
.;.
at;að
til;til
hans;hans
com;kom
broðor;bróður
sunr;sonur
hans;hans
.;.
er;er
het;hét
Haralldr;Haraldur
.;.
hann;hann
var;var
sonr;sonur
Knuz;Knúts
Dana;Dana
astar;ástar
.;.
Gorms;Gorms
sonar;sonar
.;.
hann;hann
com;kom
or;úr
vikingu;víking
með;með
ofsa;ofsa
fiar;fjár
.;.
oc;og
firir;fyrir
þa;þá
sok;sök
var;var
hann;hann
callaðr;kallaður
Gullharalldr;Gullharaldur
.;.
Ðenna;Þennan
vætr;vetur
varo;voru
þæir;þeir
Hacon;Hákon
baðer;báðir
saman;saman
með;með
Dana;Dana
kononge;konungi
.;.
Hacon;Hákon
fær;fær
sott;sótt
hættlega;hættulega
oc;og
la;lá
længi;lengi
vætrarens;vetrarins
.;.
með;með
þæim;þeim
hætte;hætti
var;var
mæin;mein
hans;hans
.;.
at;að
hann;hann
nꝍytti;neytti
lit;lítt
matar;matar
oc;og
dryks;drykks
.;.
oc;og
svaf;svaf
litit;lítið
.;.
ækki;ekki
hafðe;hafði
hann;hann
stranga;stranga
værki;verki
.;.
æinn;einn
saman;saman
villdi;vildi
hann;hann
oc;og
vera;vera
eða;eða
með;með
fa;fá
menn;menn
oc;og
