Ða;Þá
er;er
Iomsvikingar;Jómsvíkingar
hafa;hafa
buit;búið
færð;ferð
sina;sína
af;af
Danmarku;Danmörku
til;til
Noregs;Noregs
allu;öllu
þui;því
liði;liði
er;er
þeir;þeir
hafðu;höfðu
or;úr
Iomsborg;Jómsborg
.;.
nu;nú
fara;fara
þæir;þeir
norðr;norður
oc;og
hafa;hafa
lx;sex tigur
langskipa;langskipa
oc;og
flest;flest
oll;öll
stor;stór
oc;og
oll;öll
væl;vel
buin;búin
at;að
vapnom;vopnum
oc;og
goðom;góðum
drengium;drengjum
.;.
þæir;þeir
coma;koma
hær;her
sinum;sínum
iola;jóla
nott;nótt
at;að
Iaðre;Jaðri
oc;og
fengo;fengu
veðr;veður
mikit;mikið
oc;og
gato;gátu
þo;þó
halldet;haldið
skipum;skipum
sinum;sínum
allum;öllum
.;.
þæir;þeir
gera;gera
þegar;þegar
uppraser;upprásir
.;.
ræna;ræna
oc;og
drepa;drepa
menn;menn
.;.
allt;allt
þar;þar
sem;sem
þæir;þeir
como;komu
.;.
Lannz;Lands
folket;fólkið
flyði;flýði
undan;undan
.;.
tok;tók
sumt;sumt
til;til
skipa;skipa
.;.
en;en
sumt;sumt
til;til
fialla;fjalla
eða;eða
a;á
marker;merkur
.;.
Geirmundr;Geirmundur
het;hét
rikr;ríkur
bonde;bóndi
.;.
hanom;honum
com;kom
ængi;engin
niosn;njósn
.;.
þar;þar
como;komu
vikingar;víkingar
um;um
nott;nótt
att;átt
hanum;honum
.;.
oc;og
flyr;flýr
hann;hann
undan;undan
i;í
loft;loft
æitt;eitt
oc;og
faer;fáir
menn;menn
með;með
hanum;honum
.;.
þa;þá
toco;tóku
vikingar;víkingar
oc;og
hiuggu;hjuggu
loftet;loftið
.;.
en;en
þæir;þeir
Geirmundr;Geirmundur
varðuzk;vörðust
.;.
oc;og
þa;þá
er;er
hann;hann
sa;sá
at;að
þæir;þeir
myndu;myndu
sotter;sóttir
værða;verða
.;.
liop;hljóp
hann;hann
or;úr
lofteno;loftinu
oc;og
com;kom
standande;standandi
niðr;niður
a;á
iorð;jörð
.;.
Vagn;Vagn
var;var
þar;þar
nær;nær
oc;og
hio;hjó
a;á
honnd;hönd
Geirmundi;Geirmundi
firir;fyrir
ofan;ofan
ulflið;úlflið
oc;og
þegar;þegar
af;af
.;.
Gæirmundr;Geirmundur
liop;hljóp
til;til
sioar;sjávar
oc;og
fær;fær
ser;sér
skutu;skútu
oc;og
menn;menn
með;með
oc;og
for;fór
til;til
þess;þess
er;er
hann;hann
com;kom
a;á
funnd;fund
Haconar;Hákonar
iarls;jarls
.;.
Geirmundr;Gerimundur
hafðe;hafði
hꝍyrt;heyrt
næmnda;nefnda
Iomsvikinga;Jómsvíkinga
oc;og
Vagn;Vagn
.;.
þa;þá
er;er
hann;hann
