SUɴʀ;Sonur
Harallz;Haralds
ens;hins
harfagra;hárfagra
var;var
Biorn;Björn
faðer;faðir
Guðroðar;Guðroðar
faðr;faðir
Harallz;Haralds
grænsca;grenska
þess;þess
er;er
atte;átti
Asto;Ástu
dottor;dóttur
Guðbranz;Guðbrands
kulu;kúlu
.;.
þæirra;þeirra
sunr;sonur
var;var
Olafr;Ólafur
digri;digri
er;er
for;fór
or;úr
lande;landi
a;á
ꝍsko;æsku
alldre;aldri
.;.
oc;og
með;með
hanum;honum
Rane;Rani
fostrfaðer;fósturfaðir
hans;hans
.;.
Olafr;Ólafur
barðez;barðist
fyrsta;fyrsta
sinni;sinni
austr;austur
við;við
Sota;Sóta
skær;sker
.;.
en;en
siðan;síðan
for;fór
hann;hann
i;í
Ꝍystra;Eystra
sallt;salt
.;.
oc;og
barðez;barðist
austr;austur
i;í
Ꝍysilo;Osló
oc;og
hafðe;hafði
þar;þar
gagn;gagn
.;.
þriðia;þriðja
sinni;sinni
barðezk;barðist
hann;hann
a;á
Finnlannde;Finnlandi
austr;austur
oc;og
hafðe;hafði
bætr;betur
.;.
iiiiða;fjórða
sinni;sinni
barðezk;barðist
hann;hann
i;í
Suðrvik;Suðurvík
i;í
Danmorc;Danmörk
oc;og
fecc;fékk
gagn;gagn
.;.
vta;fimmta
sinni;sinni
i;í
Kinnlimafirði;Kinnlimafirði
við;við
riddara;riddara
hær;her
oc;og
hafðe;hafði
þar;þar
sigr;sigur
.;.
þui;því
nest;næst
for;fór
hann;hann
væstr;vestur
til;til
Englannz;Englands
oc;og
barðez;barðist
við;við
Lunnduna;Lundúna
bryggiur;bryggjur
við;við
Dane;Dani
er;er
þa;þá
hæriaðu;herjuðu
oc;og
gerðoz;gerðust
vikingar;víkingar
.;.
sem;sem
sægir;segir
Sigvatr;Sighvatur
skalld;skáld
.;.
þar;þar
varðu;vörðu
Daner;Danir
borgena;borgina
en;en
Olafr;Ólafur
sotte;sótti
at;að
oc;og
væitti;veitti
Aðalraðe;Aðalráði
kononge;konungi
lið;lið
.;.
sem;sem
sægir;segir
Ottar;Óttar
svarte;svarti
.;.
Viido;Sjöundu
orrastu;orrustu
atte;átti
Olafr;Ólafur
a;á
Ringmarahæiði;Hringmaraheiði
.;.
viiidu;áttundu
er;er
hann;hann
vann;vann
Kantaraborg;Kantaraborg
oc;og
var;var
þa;þá
ænn;enn
við;við
Dane;Dani
barzt;barist
oc;og
Vinndr;Vinda
.;.
þæir;þeir
voro;voru
Dana;Dana
konongs;konungs
menn;menn
.;.
sem;sem
sægir;segir
Sigvatr;Sighvatur
.;.
Niundu;Níundu
orrastu;orrustu
atte;átti
hann;hann
við;við
Nya;Nýja
moðo;móðu
oc;og
sægir;segir
Sigvatr;Sighvatur
at;að
hann;hann
barðez;barðist
við;við
Dane;Dani
.;.
Tiundu;Tíundu
orrastu;orrustu
atte;átti
hann;hann
við;við
vikinga;víkinga
a;á
Hꝍle;Hóli
.;.
braut;braut
þar;þar
castala;kastala
nocon;nokkurn
oc;og
varo;voru
þar;þar
ænn;enn
Daner;Danir
firir;fyrir
.;.
Elliftu;Elleftu
orrostu;orrustu
atte;átti
hann;hann
i;í
Grislupolle;Gríslupolli
.;.
þaðan;þaðan
for;fór
hann;hann
vestr;vestur
i;í
Fetlafiorð;Fetlafjörð
oc;og
atte;átti
þar;þar
orrastu;orrustu
hina;hina
tolfto;tólftu
.;.
þa;þá
for;fór
hann;hann
suður;suður
oc;og
barðezk;barðist
i;í
Seliupolle;Seljupolli
oc;og
þar;þar
giek;gekk
hann;hann
upp;upp
i;í
Gunnvallzborg;Gunnvaldsborg
oc;og
toc;tók
þar;þar
hondum;höndum
Geirfinn;Geirfinn
iarll;jarl
.;.
þaðan;þaðan
for;fór
hann;hann
suðr;suður
i;í
Karls;Karls
ar;ár
.;.
oc;og
heriaðe;herjaði
þar;þar
tveim;tveim
megin;megin
arennar;árinnar
.;.
þa;þá
