Þesso;Þessu
næst;næst
biozk;bjóst
Olafr;Ólafur
sunr;sonur
Harallz;Haralds
grænsca;grenska
með;með
ii;tveimur
knorrum;knörrum
vestan;vestan
af;af
Englande;Englandi
.;.
oc;og
hafðe;hafði
með;með
ser;sér
xx;tuttugu
menn;menn
oc;og
c;hundrað
alla;alla
bryniaða;brynjaða
.;.
fengo;fengu
veðr;veður
illt;illt
i;í
hafe;hafi
oc;og
sio;sjá
storan;stóran
sva;svo
at;að
nesta;næsta
giek;gekk
við;við
bana;bana
.;.
en;en
firir;fyrir
sacar;sakir
liðs;liðs
costar;kostar
er;er
var;var
innan;innan
borz;borðs
oc;og
hamingiu;hamingju
konongs;konungs
þa;þá
lyddi;hlýddi
.;.
þæir;þeir
como;komu
af;af
hafe;hafi
utan;utan
at;að
Staðe;Staði
oc;og
þar;þar
a;á
land;land
sem;sem
ꝍy;ey
ein;ein
litil;lítil
er;er
oc;og
hæitir;heitir
Sæla;Sæla
.;.
Ða;Þá
mællte;mælti
Olafr;Ólafur
oc;og
let;lét
þa;þá
tima;tíma
dag;dag
hafa;hafa
land;land
tækit;tekið
.;.
oc;og
talde;taldi
þat;það
gott;gott
mark;mark
.;.
at;að
þæir;þeir
varo;voru
comner;komnir
i;í
Sælo;Sælu
.;.
þæir;þeir
giengo;gengu
upp;upp
i;í
ꝍyna;eyna
oc;og
steig;steig
konongrenn;konungurinn
oðrum;öðrum
fꝍte;fæti
þar;þar
sem;sem
læir;leir
var;var
.;.
studdi;studdi
niðr;niður
kneno;hnénu
.;.
þa;þá
mællte;mælti
konongr;konungur
.;.
fell;féll
ec;ég
nu;nú
.;.
þa;þá
svaraðe;svaraði
Rane;Rani
.;.
æigi;eigi
fellt;féllst
þu;þú
hærra;herra
nu;nú
festir;festir
þu;þú
fot;fót
i;í
Norege;Noregi
.;.
konongr;konungur
lo;hló
at;að
oc;og
mælte;mælti
.;.
vera;vera
ma;má
þat;það
ef;ef
ɢuð;Guð
vill;vill
.;.
at;að
sva;svo
se;sé
.;.
þæir;þeir
giengo;gengu
þa;þá
ovan;ofan
til;til
skipa;skipa
oc;og
sigldu;sigldu
suðr;suður
með;með
lannde;landi
firir;fyrir
Fiorðu;Fjörðu
oc;og
lagðez;lagðist
inn;inn
af;af
læið;leið
.;.
þar;þar
sem;sem
hæitir;heitir
Sauðungs;Sauðungs
sunnd;sund
.;.
lagðe;lagði
sinu;sínu
megin;megin
sunzens;sundsins
hvart;hvort
skipet;skipið
oc;og
hafðu;höfðu
millum;milli
sin;sín
kaðal;kaðal
digran;digran
.;.
a;á
þæirri;þeirri
samu;sömu
stundu;stundu
rere;réri
at;að
sunndinu;sundinu
Hacon;Hákon
iarl;jarl
Eiriks;Eiríks
son;son
.;.
með;með
skipaðre;skipaðri
skæið;skeið
.;.
oc;og
hugði;hugði
kaupmenn;kaupmenn
vera;vera
i;í
sundinu;sundinu
.;.
oc;og
rere;réri
iarl;jarl
fram;fram
a;á
mille;milli
skipanna;skipanna
.;.
þa;þá
vundu;undu
þæir;þeir
Olafr;Ólafur
upp;upp
strængenn;strenginn
undir;undir
kiolenn;kjölinn
miðian;miðjan
skæiðarennar;skeiðarinnar
.;.
hafðu;höfðu
giort;gjört
til;til
vinndasa;vindása
.;.
oc;og
þegar;þegar
er;er
nocot;nokkuð
festi;festi
skæiðena;skeiðina
giec;gekk
upp;upp
skipet;skipið
aftr;aftur
oc;og
stꝍyptiz;steyptist
fram;fram
.;.
sva;svo
at;að
sior;sjór
fell;féll
inn;inn
um;um
soxen;söxin
.;.
fylldi;fyllti
skipet;skipið
oc;og
þui;því
nest;næst
hvælfði;hvolfdi
.;.
Olafr;Ólafur
konongr;konungur
toc;tók
Hacon;Hákon
iarl;jarl
af;af
sundi;sundi
oc;og
alla;alla
þa;þá
menn;menn
er;er
þæir;þeir
naðo;náðu
.;.
en;en
sumir;sumir
hafðu;höfðu
tynzk;týnst
firir;fyrir
griote;grjóti
oc;og
skotom;skotum
.;.
Nu;Nú
var;var
iarlenn;jarlinn
leiddr;leiddur
upp;upp
a;á
skip;skip
konongs;konungs
.;.
oc;og
var;var
hann;hann
þa;þá
xvii;sautján
vetra;vetra
at;að
aldri;aldri
oc;og
allra;allra
manna;manna
friðastr;fríðastur
er;er
menn;menn
hafðu;höfðu
set;séð
.;.
hann;hann
hafðe;hafði
har;hár
mikit;mikið
oc;og
fagurt;fagurt
sem;sem
silki;silki
.;.
oc;og
bundit;bundið
um;um
havuð;höfuð
ser;sér
gullaðe;gullhlaði
.;.
hann;hann
sættiz;settist
niðr;niður
i;í
firir;fyrir
rumet;rúmið
.;.
þa;þá
mællte;mælti
Olafr;Ólafur
konongr;konungur
.;.
Æigi;Eigi
er;er
þat;það
loget;logið
sagðe;sagði
hann;hann
af;af
yðr;yðar
frendom;frændum
hversso;hversu
friðir;fríðir
menn;menn
þer;þér
eroð;eruð
sionom;sjónum
.;.
en;en
farner;farnir
ero;eruð
þer;þér
nu;nú
at;að
hamingiu;hamingju
.;.
þa;þá
svaraðe;svaraði
iarlenn;jarlinn
æigi;eigi
er;er
þetta;þetta
uhamingia;óhanimgja
er;er
oss;oss
hævir;hefur
hænnt;hent
sagðe;sagði
hann;hann
.;.
þat;það
hævir;hefur
længi;lengi
veret;verið
at;að
ymsir;ýmsir
hofðingiar;höfðingjar
hafa;hafa
sigrat;sigrað
aðra;aðra
.;.
ec;ég
em;er
litt;lítt
comenn;kominn
af;af
barns;barns
alldre;aldri
oc;og
varom;vorum
ver;vér
nu;nú
ækki;ekki
væl;vel
viðbunir;viðbúnir
at;að
væria;verja
oss;oss
.;.
oc;og
æigi;eigi
vissum;vissum
ver;vér
von;von
ofriðar;ófriðar
.;.
kann;kann
vera;vera
at;að
oss;oss
takez;takist
annat;annað
sinni;sinn
bætr;betur
til;til
en;en
nu;nú
.;.
þa;þá
mælte;mælti
Olafr;Ólafur
konongr;konungur
.;.
grunar;grunar
þic;þig
æigi;eigi
nu;nú
iarl;jarl
at;að
her;hér
hafe;hafi
sva;svo
til;til
boret;borið
.;.
at;að
þu;þú
munir;munir
heðan;héðan
i;í
fra;frá
hvarki;hvorki
fa;fá
sigr;sigur
ne;né
osigr;ósigur
.;.
iarl;jarl
svaraðe;svaraði
þer;þér
munuð;munuð
nu;nú
raða;ráða
hærra;herra
at;að
sinni;sinni
.;.
þa;þá
mælte;mælti
Olafr;Ólafur
konongr;konungur
.;.
hvat;hvað
villtu;viltu
til;til
vinna;vinna
at;að
ec;ég
lata;láti
þic;þig
fara;fara
a;á
braut;braut
hvært;hvert
er;er
þu;þú
villt;vilt
hæilan;heilan
oc;og
osacaðan;óskaðaðan
.;.
iarl;jarl
spurði;spurði
hværrs;hvers
hann;hann
bæiddiz;beiddist
.;.
æigi;eigi
annars;annars
sagðe;sagði
Olafr;Ólafur
konongr;konungur
.;.
en;en
þer;þér
fareð;farið
or;úr
lande;landi
.;.
oc;og
gefeð;gefið
sva;svo
upp;upp
riki;ríki
yðart;yðar
.;.
oc;og
sværið;sverjið
mer;mér
æiða;eiða
at;að
þer;þér
bærizk;berist
eigi;eigi
mer;mér
i;í
mote;móti
heðan;héðan
i;í
fra;frá
.;.
þa;þá
svaraðe;svaraði
iarl;jarl
oc;og
lezt;lést
þat;það
gera;gera
myndu;myndi
.;.
Ða;Þá
vann;vann
Hacon;Hákon
iarl;jarl
Olafe;Ólafi
kononge;konungi
eiða;eiða
at;að
hann;hann
skylldi;skyldi
alldrigi;aldrei
beriazk;berjast
i;í
mot;mót
hanum;honum
eða;eða
veria;verja
Noreg;Noreg
firir;fyrir
Olafe;Ólafi
kononge;konungi
.;.
þa;þá
gaf;gaf
Olafr;Ólafur
konongr;konungur
Hacone;Hákoni
grið;grið
oc;og
allum;öllum
mannum;mönnum
hans;hans
.;.
let;lét
retta;rétta
upp;upp
sneckiuna;snekkjuna
.;.
oc;og
toc;tók
iarl;jarl
við;við
skipi;skipi
sinu;sínu
oc;og
rere;réri
a;á
braut;braut
.;.
oc;og
um;um
haustet;haustið
æftir;eftir
sigldi;sigldi
Hacon;Hákon
vestr;vestur
til;til
Englannz;Englands
.;.
oc;og
for;fór
a;á
fund;fund
Knuz;Knúts
konongs;konungs
moðor;móður
broðor;bróður
sins;síns
.;.
oc;og
sagðe;sagði
hanum;honum
hværsso;hversu
þæir;þeir
Olafr;Ólafur
digri;digri
hafðu;höfðu
skilzk;skilst
.;.
Knutr;Knútur
konongr;konungur
tækr;tekur
væl;vel
við;við
hanum;honum
oc;og
sætti;setti
hann;hann
iarll;jarl
innan;innan
hirðar;hirðar
.;.
oc;og
gaf;gaf
hanum;honum
mikit;mikið
len;lén
oc;og
riki;ríki
.;.
oc;og
dvaldez;dvaldist
hann;hann
þar;þar
langa;langa
rið;hríð
væl;vel
metenn;metinn
.;
