Bratt;Brátt
æftir;eftir
þetta;þetta
þa;þá
lysti;lýsti
Knutr;Knútur
konongr;konungur
þvi;því
.;.
at;að
hans;has
bref;bréf
oc;og
innsigle;innsigli
hafðe;hafði
tækit;tekið
verit;verið
.;.
at;að
uvilia;óvilja
hans;hans
.;.
þet;það
er;er
konongs;konungs
nafn;nafn
var;var
meðr;með
gevit;gefið
Knuti;Knúti
syni;syni
hans;hans
.;.
sænndir;sendir
hann;hann
nu;nú
orð;orð
Knuti;Knúti
syni;syni
sinum;sínum
oc;og
Svæini;Sveini
Ulfs;Úlfs
syne;syni
.;.
komo;komu
þæir;þeir
nu;nú
baðir;báðir
firir;fyrir
gamla;gamla
Knut;Knút
oc;og
fellu;féllu
til;til
fota;fóta
hanum;honum
.;.
þa;þá
sællde;seldi
Horða-Knutr;Hörða-Knútur
fæðr;föður
sinum;sínum
innsigle;innsigli
sitt;sitt
þat;það
er;er
konongs;konungs
nafn;nafn
stoð;stóð
a;á
.;.
oc;og
sættoz;settust
þæir;þeir
þa;þá
meðr;með
þvi;því
at;að
Horða-Knutr;Hörða-Knútur
vann;vann
þess;þess
æið;eið
fæðr;föður
sinum;sínum
oc;og
meðr;með
hanum;honum
tolf;tólf
mænn;menn
hinir;hinir
rikasto;ríkustu
i;í
Dana;Dana
vællde;veldi
.;.
at;að
hann;hann
sculldi;skyldi
æi;ei
hallda;halda
Dana;Dana
vællde;veldi
a;á
aðra;aðra
lund;lund
.;.
enn;en
i;í
vald;vald
faðr;föður
sins;síns
.;.
skulde;skyldi
hann;hann
vera;vera
undir;undir
konongr;konungur
Gamla-Knutz;Gamla-Knúts
.;.
oc;og
gaf;gaf
hann;hann
meðr;með
þvi;því
syni;syni
sinum;sínum
konongs;konungs
nafn;nafn
.;.
sculde;skyldi
hann;hann
þa;þá
sva;svo
vera;vera
at;að
retto;réttu
konongr;konungur
kallaðr;kallaður
.;.
ef;ef
gamle;gamli
Knutr;Knútur
væri;væri
æighi;eigi
i;í
Danmorco;Danmörku
.;.
Svæinn;Sveinn
Ulfsson;Úlfsson
var;var
longum;löngum
i;í
Sviþioðu;Svíþjóð
firir;fyrir
þvi;því
at;að
Olafr;Ólafur
svænske;sænski
var;var
moðor;móður
broðir;bróðir
hans;hans
oc;og
hafðe;hafði
hann;hann
þer;þar
mykit;mikið
ivirlæti;yfirlæti
.;
