Nocoro;Nokkru
siðar;síðar
var;var
þing;þing
fiolmennt;fjölmennt
i;í
Niðarose;Niðarósi
var;var
a;á
þingino;þinginu
Svæinn;Sveinn
konongr;konungur
oc;og
Alfiva;Alfífa
moðer;móðir
hans;hans
.;.
var;var
þar;þar
enn;enn
talat;talað
mikit;mikið
vanretti;vanrétti
bondom;bændum
.;.
oc;og
vildi;vildi
ængi;enginn
hvatke;hvorki
iatta;játa
æða;eða
næita;neita
orðom;orðum
.;.
þa;þá
mælti;mælti
Æinar;Einar
þambaskælmir;þambaskelfir
.;.
sva;svo
at;að
mioc;mjög
marghir;margir
menn;menn
hæyrðu;heyrðu
.;.
ecki;ekki
var;var
ek;ég
vin;vinur
Olafs;Ólafs
konongs;konungs
.;.
enn;en
þo;þó
voru;voru
Þrꝍnndir;Þrændir
ækki;ekki
þa;þá
kaupmænn;kaupmenn
.;.
er;er
þeir;þeir
sælldu;seldur
konong;konung
sinn;sinn
oc;og
tocu;tóku
viðr;við
mæri;meri
oc;og
fyl;fyl
meðr;með
.;.
konongr;konungur
þesse;þessi
kann;kann
æcke;ekki
mæla;mæla
.;.
enn;en
moðir;móðir
hans;hans
vill;vill
illt;illt
æitt;eitt
oc;og
ma;má
auc;auk
yfrit;yfrið
.;.
nu;nú
umdu;umdu
allir;allir
er;er
hꝍyrðu;heyrðu
oc;og
logo;hlógu
at;að
saghðe;sagði
hvæʀ;hver
oðrum;öðrum
.;.
oc;og
þotti;þóttu
væl;vel
mællt;mælt
.;.
þa;þá
mælti;mælti
Alfiva;Alfífa
sætiz;setist
niðr;niður
bꝍndr;bændur
oc;og
lyði;hlýðið
konongs;konungs
ærænde;erindi
.;.
enn;en
kuʀi;kurrið
ei;ei
sva;svo
længr;lengur
.;.
enn;en
þvi;því
nest;næst
þaghnaðo;þögnuðu
menn;menn
.;.
Æinar;Einar
þambask;þambaskelfir
stoð;stóð
upp;upp
oc;og
mælti;mælti
.;.
at;að
bꝍndr;bændur
sculdu;skyldu
fara;fara
hæim;heim
oc;og
hava;hafa
menn;menn
ill;ill
ꝍyrinde;erindi
hingat;hingað
sott;sótt
bæði;bæði
nu;nú
oc;og
fyʀ;fyrr
til;til
fundar;fundar
Alfivu;Alfífu
.;.
megho;mega
menn;menn
hældr;heldur
hæima;heima
biða;bíða
vanrettes;vanréttis
enn;en
sꝍkea;sækja
allir;allir
i;í
æinn;einn
stað;stað
oc;og
lyða;hlýða
þer;þar
æinnar;einnar
kono;konu
orðum;orðum
þæir;þeir
þa;þá
æighi;eigi
villdu;vildu
lyða;hlýða
konongenom;konunginum
Olafe;Ólafi
er;er
nu;nú
er;er
sannhæilaghr;sannheilagur
.;.
hæfir;hefur
þat;það
værit;verið
gort;gjört
mykit;mikið
niðings;níðings
verc;verk
oc;og
hæfir;hefur
nu;nú
meðr;með
illu;illu
ræfst;ræst
er;er
sva;svo
marct;margt
hærfilict;herfilegt
hæfir;hefur
þetta;þetta
folc;fólk
þolat;þolað
.;.
siðan;síðan
er;er
þetta;þetta
riki;ríki
com;kom
ivir;yfir
folkit;fólkið
.;.
sculde;skyldi
þet;það
nu;nú
ɢuð;Guð
vilia;vilja
at;að
þat;það
væri;væri
scamt;skammt
.;.
oc;og
hæfir;hefur
þo;þó
nu;nú
værit;verið
yfrit;yfrið
lanet;landið
.;.
gec;gekk
þa;þá
Æinar;Einar
af;af
þinginu;þinginu
oc;og
sva;svo
allr;allur
mughr;múgur
for;fór
hæim;heim
af;af
þæssu;þessu
þingi;þingi
.;.
oc;og
þotti;þótti
þo;þó
Alfivu;Alfífu
marct;margt
vantalat;vantalað
.;
