Ðenn;Þann
sama;sama
vetr;vetur
var;var
bæit;beitt
i;í
annat;annað
sinn;sinn
at;að
þingit;þingið
sculde;skyldi
vera;vera
.;.
oc;og
vilde;vildi
þa;þá
ænge;enginn
maðr;maður
til;til
þings;þigsins
sꝍkia;sækja
.;.
nu;nú
grunaðe;grunaði
vine;vini
Svæins;Sveins
konongs;konungs
at;að
Þrꝍnndir;Þrændir
mynndi;myndi
snuaz;snúast
annat;annað
sinn;sinn
a;á
svic;svik
við;við
konong;konung
sinn;sinn
oc;og
for;fór
af;af
þvi;því
Svæinn;Sveinn
suðr;suður
i;í
lannd;land
.;.
Knutr;Knútur
konongr;konungur
hafðe;hafði
sennt;sent
menn;menn
til;til
Æggiar-Kalfs;Eggjar-Kálfs
at;að
hann;hann
skuldi;skyldi
lata;láta
gera;gera
hanom;honum
oxar;öxar
norrenar;norrænar
.;.
Kalfr;Kálfur
svaraðe;svaraði
a;á
þa;þá
lunnd;lund
.;þ
lez;lést
ængar;engar
muno;munu
hanum;honum
senda;senda
.;.
nema;nema
fa;fá
Svæini;Sveini
syni;syni
hans;hans
sva;svo
marghar;margar
at;að
hanom;honum
þꝍtti;þætti
æighi;eigi
scorta;skorta
.;.
