Eptir;Eftir
brotfærð;brottferð
Svæins;Sveins
konongs;konungs
or;úr
Þrandæimi;Þrándheimi
gerðo;gerðu
Þrondir;Þrændir
rað;ráð
a;á
millom;milli
sin;sín
.;.
volduz;völdust
til;til
hinir;hinir
bæztu;bestu
menn;menn
oc;og
rikasto;ríkustu
.;.
foro;fóru
or;úr
lannde;landi
voro;voru
þessir;þessir
hinir;hinir
fyrstu;fyrstu
menn;menn
Æggia-Kalfr;Eggja-Kálfur
oc;og
Æinar;Einar
þamb͛;þambaskelfir
.;.
foro;fóru
austr;austur
i;í
Garðariki;Garðaríki
biðia;biðja
Iarizlæif;Jarisleif
konong;konung
.;.
at;að
hann;hann
mætti;mætti
fa;fá
þeim;þeim
Magnus;Magnús
sun;son
Olafs;Ólafs
hins;hins
hælga;helga
.;.
konongrenn;konungurinn
var;var
þess;þess
mioc;mjög
trauðr;trauður
ræddizt;ræddist
at;að
þæir;þeir
munnde;myndu
svikia;svíkja
hann;hann
sem;sem
faður;föður
hans;hans
þa;þá
soro;sóru
æiða;eiða
tolf;tólf
hinir;hinir
bæztu;bestu
menn;menn
er;er
i;í
þvi;því
liðe;liði
voro;voru
.;.
sem;sem
sæghir;segir
Biarne;Bjarni
Gullbrarskalld;Gullbrárskáld
.;.
þeir;þeir
soro;sóru
þess;þess
æið;eið
Iarizlæifi;Jarisleifi
kononge;konungi
.;.
at;að
þæir;þeir
sculdu;skyldu
halda;halda
Magnus;Magnús
konong;konung
i;í
Noreghi;Noregi
oc;og
fylghia;fylgja
hanum;honum
af;af
trunaðe;trúnaði
oc;og
styrkia;styrkja
hans;hans
riki;ríki
.;
