Nu;Nú
þeghar;þegar
er;er
menn;menn
spurðu;spurðu
at;að
sun;sonur
Olafs;Ólafs
hins;hins
hælgha;helga
konongs;konungs
var;var
cominn;kominn
Magnus;Magnús
i;í
Þrondæim;Þrándheim
.;.
þa;þá
como;komu
menn;menn
til;til
hans;hans
oc;og
soro;sóru
hanum;honum
æiða;eiða
.;.
oc;og
iamvæl;jafnvel
þæir;þeir
er;er
a;á
mot;móti
hafðo;höfðu
verit;verið
Olafe;Ólafi
.;.
var;var
þa;þá
stæfnt;stefnt
Ꝍyraping;Eyraþing
.;.
como;komu
þa;þá
til;til
menn;menn
af;af
allum;öllum
fylkium;fylkjum
i;í
Þrondhæimi;Þrándheimi
.;.
var;var
þa;þá
Magnus;Magnús
til;til
konongs;konungs
tækinn;tekinn
.;.
oc;og
fecc;fékk
ser;sér
hirð;hirð
oc;og
skip;skip
.;.
Ða;Þá
spurði;spurði
Svæinn;Sveinn
konongr;konungur
þesse;þessi
tiðendi;tíðindi
.;.
let;lét
þegar;þegar
upp;upp
skera;skera
her;her
orfar;örfár
.;.
stefnir;stefnir
þing;þing
.;.
bað;bað
ser;sér
liðs;liðs
.;.
næmndi;nefndi
leiðangr;leiðangur
.;.
sagðe;sagði
nauðsyn;nauðsyn
sina;sína
.;.
at;að
þa;þá
hafðu;höfðu
Þrꝍnder;Þrændir
tækit;tekið
ser;sér
konong;konung
annan;annan
.;.
bað;bað
bꝍndr;bændur
gera;gera
rom;róm
at;að
hans;hans
male;máli
oc;og
svara;svara
.;.
þa;þá
svaraðu;svöruðu
marger;margir
bꝍndr;bændur
at;að
þæir;þeir
mundu;myndu
eigi;eigi
at;að
vilia;vilja
sinum;sínum
beriast;berjast
i;í
mote;móti
syni;syni
Olafs;Ólafs
ens;hins
hælga;helga
.;.
en;en
sumir;sumir
þagðu;þögðu
.;.
oc;og
þo;þó
letoz;létust
faer;fáir
fara;fara
myndu;myndu
með;með
Sveini;Sveini
.;.
konongren;konungurinn
mælte;mælti
.;.
ec;ég
em;er
bænskr;bernskur
mioc;mjög
kann;kann
ec;ég
fatt;fátt
at;að
mæla;mæla
.;.
en;en
ækki;ekki
þarf;þarf
ec;ég
at;að
leita;leita
æftir;eftir
vilia;vilja
þeirra;þeirra
manna;manna
er;er
sva;svo
segia;segja
at;að
ec;ég
hꝍyri;heyri
at;að
æigi;eigi
vilia;vilja
beriast;berjast
við;við
Magnus;Magnús
.;.
sumir;sumir
þeia;þegja
.;.
en;en
þæir;þeir
vilia;vilja
sem;sem
hinir;hinir
.;.
oc;og
er;er
oss;oss
ækki;ekki
þesse;þessi
hær;her
til;til
bardaga;bardaga
at;að
telia;telja
.;.
lauk;lauk
konongr;konungur
sva;svo
sinu;sínu
male;máli
at;að
hann;hann
myndi;myndi
eigi;eigi
beriast;berjast
við;við
Magnus;Magnús
konong;konung
ef;ef
hann;hann
fengi;fengi
ser;sér
eigi;eigi
traustari;traustari
hæʀ;her
.;.
en;en
þar;þar
var;var
þa;þá
comenn;kominn
.;.
þa;þá
talaðu;töluðu
hofðingiar;höfðingjar
konongs;konungs
dansker;danskir
menn;menn
langar;langar
talr;tölur
.;.
oc;og
como;komu
allar;allar
i;í
einn;einn
stað;stað
niðr;niður
.;.
oc;og
sagðu;sögðu
at;að
Norðmenn;Norðmenn
hafðu;höfðu
nizk;níðst
a;á
Sveini;Sveini
kononge;konungi
.;.
oc;og
callaðu;kölluðu
ekki;ekki
annat;annað
rað;ráð
en;en
fara;fara
suðr;suður
aftr;aftur
til;til
Danmarcar;Danmerkur
oc;og
ætlaz;ætlast
þaðan;þaðan
með;með
trausti;trausti
Horða-Knuz;Hörða-Knúts
.;.
eða;eða
faðr;föður
sins;síns
gamla;gamla
Knuz;Knúts
.;.
oc;og
þat;það
rað;ráð
var;var
tækit;tekið
.;.
for;fór
þa;þá
Svæinn;Sveinn
konongr;konungur
til;til
Danmarcar;Danmerkur
oc;og
moðer;móðir
hans;hans
.;.
oc;og
aller;allir
Daner;Danir
.;.
þæir;þeir
er;er
meðr;með
honum;honum
hafðu;höfðu
veret;verið
i;í
Norege;Noregi
.;
