(Þ)a;Þá
er;er
Magnus;Magnús
konongr;konungur
hꝍyrði;heyrði
þesse;þessa
orðsending;orðsendingu
Iaðvarðar;Játvarðar
konongs;konungs
oc;og
hversso;hversu
mikla;mikla
harmung;hörmung
hann;hann
hafðe;hafði
þolat;þolað
aðr;áður
en;en
hann;hann
yrði;yrði
konongr;konungur
.;.
oc;og
hversso;hversu
dyrlegr;dýrlegur
maðr;maður
hann;hann
var;var
.;.
oc;og
mikill;mikill
ɢuðs;Guðs
vinr;vinur
.;.
lattez;lattist
Magnus;Magnús
konongr;konungur
at;að
þesso;þessu
raðe;ráði
let;lét
þat;það
vera;vera
satt;satt
at;að
hans;hans
riki;ríki
var;var
þo;þó
yrit;ýrið
ef;ef
ɢuð;Guð
villdi;vildi
unna;unna
hanum;honum
nytia;nytja
hælldr;heldur
en;en
þat;það
æina;eina
munde;myndi
viðr;við
aukaz;aukast
er;er
hann;hann
tynde;týndi
meira;meira
i;í
staðenn;staðinn
.;.
oc;og
myclu;miklu
var;var
meira;meira
vært;vert
er;er
hans;hans
von;von
var;var
til;til
guðs;guðs
.;.
ef;ef
hann;hann
skulde;skyldi
drepa;drepa
þuilican;þvílíkan
mann;mann
af;af
faðr;föður
leifð;leifð
sinni;sinni
.;.
þriðia;þriðja
sumar;sumar
æftir;eftir
for;fór
Magnus;Magnús
konongr;konungur
i;í
Noregh;Noreg
.;.
oc;og
þa;þá
er;er
hann;hann
la;lá
i;í
Elvi;Elvi
við;við
Konongahellu;Konungahellu
.;.
kom;kom
til;til
hans;hans
Svæinn;Sveinn
Ulfs;Úlfs
sunr;sonur
iarls;jarls
oc;og
Astriðar;Ástríðar
dottor;dóttur
Svæins;Sveins
tiugu;tjúgu
skæggs;skeggs
.;.
oc;og
Sigriðar;Sigríðar
dottor;dóttur
Skoglar-Tosta;Skögla-Tosta
er;er
fyrr;fyrr
hafðe;hafði
att;átt
Eirikr;Eiríkur
hinn;hinn
sigrsæle;sigursæli
Svia;Svía
konongr;konungur
.;.
Aztrið;Ástríður
var;var
samfæðra;sameðra
við;við
gamla;gamla
Knut;Knút
Engla;Engla
konong;konung
.;.
oc;og
sammꝍðra;sammæðra
við;við
Olaf;Ólaf
Svia;Svía
konong;konung
.;.
hann;hann
hafðe;hafði
dvalsk;dvalist
um;um
rið;hríð
i;í
Svia;Svía
velldi;veldi
með;með
Onundi;Önundi
kononge;konungi
Olafs;Ólafs
syni;syni
frenda;frænda
sinum;sínum
.;.
hann;hann
leitaðe;leitaðu
vinatto;vináttu
til;til
Magnus;Magnúsar
konongs;konungs
.;.
oc;og
bæiddiz;beiddist
nocot;nokkuð
len;lén
at;að
hafa;hafa
i;í
riki;ríki
hans;hans
.;.
oc;og
bauð;bauð
hanum;honum
trunað;trúnað
sinn;sinn
oc;og
lezk;lést
gerast;gerast
vilia;vilja
hans;hans
maðr;maður
.;.
sagðe;sagði
hanum;honum
þat;það
hværsso;hversu
rikir;ríkir
hans;hans
frendr;frændur
hafðu;höfðu
veret;verið
.;.
en;en
hann;hann
þa;þá
eignar;eignar
laus;laus
.;.
oc;og
lezk;lést
hanum;honum
skylldu;skyldi
vera;vera
i;í
alla;alla
staðe;staði
trunaðar;trúnaðar
maðr;maður
.;.
En;En
konongrenn;konungurinn
truði;trúði
fagrmæle;fagurmælum
hans;hans
.;.
firir;fyrir
þui;því
at;að
hann;hann
sialfr;sjálfur
var;var
osvikall;ósvikull
.;.
oc;og
truði;trúði
hann;hann
orðom;orðum
Sveins;Sveins
eftir;eftir
sinum;sínum
trunaðe;trúnaði
.;.
Magnus;Magnús
konongr;konungur
let;lét
Svæin;Svein
sværia;sverja
ser;sér
eiða;eiða
at;að
skrini;skríni
er;er
helgir;helgir
domar;dómar
varo;voru
i;í
.;.
at;að
hann;hann
skylldi;skyldi
vera;vera
hanum;honum
tryggr;tryggur
oc;og
trur;trúr
.;.
oc;og
