(Þ)ᴀ;Þá
er;er
Olafr;Ólafur
hinn;hinn
hælgi;helgi
konongr;konungur
hafðe;hafði
fallet;fallið
a;á
Stiklastaðum;Stiklastöðum
.;.
foro;fóru
þæir;þeir
or;úr
lannde;landi
Haralldr;Haraldur
broðer;bróðir
hans;hans
oc;og
Ragnvalldr;Rögnvaldur
Brusasunr;Brúsasonur
.;.
oc;og
mart;margt
manna;manna
með;með
þæim;þeim
.;.
oc;og
komo;komu
um;um
vætren;veturinn
andværðan;öndverðan
austr;austur
i;í
Holmgarð;Hólmgarð
.;.
a;á
fund;fund
Iarizleifs;Jarisleifs
konongs;konungs
.;.
oc;og
hann;hann
toc;tók
væl;vel
við;við
þæim;þeim
.;þ
sem;sem
sægir;segir
Valgarðr;Valgarður
a;á
Velli;Velli
er;er
orte;orti
um;um
Haralld;Harald
.;.
Iarizleifr;Jarisleifur
konongr;konungur
hafðe;hafði
iamnan;jafnan
haft;haft
með;með
ser;sér
Norðmenn;Norðmenn
oc;og
svænska;sænska
menn;menn
.;.
en;en
þa;þá
var;var
anndaðr;andaður
Ragnvalldr;Rögnvaldur
iarll;jarl
Ulfs;Úlfs
sonr;sonur
.;.
en;en
þat;það
riki;ríko
hafðe;hafi
tekit;tekið
Eilifur;Eilífur
iarll;jarl
.;.
hann;hann
hafðe;hafði
oc;og
marga;marga
Norðmenn;Norðmenn
með;með
ser;sér
oc;og
gaf;gaf
þæim;þeim
mala;mála
.;.
sa;sá
iarlldomr;jarldómur
var;var
væittr;veittur
til;til
þess;þess
at;að
iarlenn;jarlinn
skylldi;skyldi
veria;verja
riki;ríki
konongs;konungs
firir;fyrir
heiðnum;heiðnum
mannum;mönnum
.;.
Iarizleifr;Jarisleifur
konongr;konungur
setti;setti
Haralld;Harald
annan;annan
hofðingia;höfðingja
ifir;yfir
hærlið;herlið
sit;sitt
.;.
oc;og
gaf;gaf
mala;mála
allum;öllum
hans;hans
mannum;mönnum
.;.
sem;sem
sægir;segir
Þioðolfr;Þjóðólfur
skalld;skáld
.;.
Ðar;Þar
dvaldezk;dvaldist
Haralldr;Haraldur
langa;langa
rið;hríð
oc;og
atte;átti
margar;margar
orrostr;orrustur
.;.
oc;og
var;var
Iarizleifr;Jarisleifur
allvæl;allvel
við;við
hann;hann
.;.
þa;þá
fystiz;fýsti
Haralldr;Haraldur
at;að
fara;fara
ut;út
til;til
Miklagarðs;Miklagarðs
.;.
nu;nú
byriaðe;byrjaði
hann;hann
færð;ferð
sina;sína
oc;og
mikit;mikið
Norðmanna;Norðmanna
lið;lið
með;með
hanum;honum
.;.
for;fór
alla;alla
leið;leið
þar;þar
til;til
er;er
hann;hann
com;kom
til;til
Miklagarz;Miklagarðs
.;.
þa;þá
reð;réð
Miklagarðe;Miklagarði
Zoe;Zoe
drotning;drottning
en;hin
rika;ríka
er;er
styrt;stýrt
hafðe;hafði
Miklagarz;Miklagarðs
riki;ríki
með;með
.vij;sjö
.;
stolkonongom;stólkonungum
.;.
oc;og
reð;réð
með;með
henni;henni
þa;þá
sa;sá
maðr;maður
.;.
er;er
het;hét
Mikael;Mikael
Katalaktus;Katalaktus
.;.
þa;þá
beiddiz;beiddist
Haralldr;Haraldur
af;af
stolkonongenom;stólkonunginum
oc;og
af;af
drottningu;drottningu
at;að
hann;hann
villdi;vildi
þar;þar
ganga;ganga
a;á
mala;mála
gull;gull
oc;og
aller;allir
hans;hans
menn;menn
.;.
oc;og
var;var
hanum;honum
þui;því
iattat;játað
.;.
oc;og
sagt;sagt
þæim;þeim
at;að
þæir;þeir
skylldu;skyldu
aller;allir
a;á
galeiðir;galeiðir
fara;fara
.;.
þa;þá
styrði;stýrði
hærr;her
Girkia;Grikkja
konongs;konungs
Georgius;Georgíus
frendi;frændi
drottningarennar;drottningarinnar
.;.
þann;þann
callaðu;kölluðu
Norðmenn;Norðmenn
Gyrgi;Gyrgi
.;.
en;en
þa;þá
er;er
þæir;þeir
como;komu
ut;út
i;í
Girklanz;Grikklands
ꝍyiar;eyjar
.;.
for;fór
Haralldr;Haraldur
oftlega;oftlega
brott;brott
fra;frá
hærrenom;hernum
með;með
sinum;sínum
mannum;mönnum
.;.
oc;og
leitaðu;leituðu
ser;sér
fefanga;féfanga
.;.
oc;og
flester;flestir
aller;allir
Væringiar;Væringjar
fylgðu;fylgdu
hanum;honum
.;.
hann;hann
lagðe;lagði
sva;svo
hvært;hvert
sinn;sinn
til;til
orrastu;orrustu
hvert;hvort
er;er
var;var
til;til
skipa;skipa
eða;eða
kastala;kastala
at;að
leggia;leggja
eða;eða
a;á
land;land
at;að
ganga;ganga
.;.
at;að
annat;annað
hvart;hvort
skylldi;skyldi
falla;falla
með;með
allu;öllu
liðinu;liðinu
eða;eða
sigr;sigur
fa;fá
.;.
en;en
þa;þá
er;er
hann;hann
var;var
með;með
allum;öllum
hærrenom;hernum
.;.
let;lét
hann;hann
sina;sína
menn;menn
iamnan;jafnast
firsta;fyrsta
vera;vera
.;.
sva;svo
bar;bar
at;að
eitt;eitt
hvært;hvert
sinni;sinn
at;að
þæir;þeir
setto;settu
landtiolld;landtjöld
sin;sín
.;.
þa;þá
toc;tók
Haralldr;Haraldur
með;með
sinu;sínu
liði;liði
tialdstað;tjaldstað
þann;þann
er;er
ifir;yfir
var;var
uppi;uppi
aðrum;örðum
tialldum;tjöldum
.;.
þa;þá
com;kom
til;til
hofðingi;höfðingi
Girkia;Grikkja
liðs;liðs
oc;og
bað;bað
Væringia;Væringja
flytia;flytja
tiolld;tjöld
sin;sín
a;á
brott;brott
.;.
oc;og
let;lét
Girki;Grikki
þar;þar
tiallda;tjalda
skylldu;skyldu
.;.
Haralldr;Haraldur
svaraðe;svaraði
.;.
oc;og
let;lét
þat;það
engan;engan
rett;rétt
Væringia;Væringja
vera;vera
at;að
flytiaz;flytjast
i;í
dalverpi;dalverpi
undir;undir
fꝍtr;fætur
Girkium;Grikkjum
.;.
en;en
Gyrgir;Gyrgir
sagðe;sagði
at;að
hann;hann
sialfr;sjálfur
skylldi;skyldi
fyrst;fyrst
sætia;setja
sitt;sitt
tialld;tjald
en;en
uti;úti
fra;frá
allt;allt
lið;lið
hans;hans
.;.
þa;þá
svaraðe;svaraði
Haralldr;Haraldur
.;.
ef;ef
þu;þú
ert;ert
hærtoge;hertogi
ifir;yfir
hær;her
Gyrkia;Grikkja
konongs;konungs
.;.
þa;þá
em;er
ec;ég
hærtoge;hortogi
ifir;yfir
Væringium;Væringjum
.;.
þa;þá
villdu;vildu
hvarer;hvorir
tvæggiu;tveggja
nꝍyta;neyta
vapna;vopna
sinna;sinna
.;.
þa;þá
como;komu
til;til
vitrir;vitrir
menn;menn
oc;og
baðo;báðu
at;að
þæir;þeir
skylldu;skyldu
sættaz;sættast
oc;og
gera;gera
sem;sem
iamnast;jafnastd
meðal;meðal
sin;sín
.;.
oc;og
baðo;báðu
þa;þá
luta;hluta
um;um
hvarer;hvorir
fyrri;fyrri
skylldu;skyldu
tiallda;vera
.;.
Girkir;Grikkir
eða;eða
Væringiar;Væringjar
.;.
eða;eða
fyrr;fyrr
riða;ríða
eða;eða
roa;róa
.;.
eða;eða
til;til
hamnar;hafnar
leggia;leggja
.;.
þa;þá
varo;voru
lutir;hlutir
gorfir;gjörðir
.;.
oc;og
marcaðe;markaði
hvarr;hvor
sinn;sinn
lut;hlut
hærtogenn;hertoginn
.;.
þa;þá
mællte;mælti
Haralldr;HAraldur
við;við
Gyrgi;Gyrgi
.;.
lat;lát
sia;sjá
hvat;hvað
marc;mark
a;á
þinum;þínum
lut;hlut
er;er
at;að
vit;við
markem;mörkum
eigi;eigi
a;á
æinn;einn
vegh;veg
baðer;báðir
.;.
