(Ð)ᴀ;Þá
er;er
Haralldr;Haraldur
Sigurðar;Sigurðar
sunr;sonur
tok;tók
konongdom;konungdóm
i;í
Norege;Noregi
með;með
Magnusi;Magnúsi
kononge;konungi
frenda;frænda
sinum;sínum
.;.
var;var
liðit;liðið
fra;frá
þui;því
er;er
Haralldr;Haraldur
hinn;hinn
harfagre;hárfagri
hafðe;hafði
andazk;andast
.;.
.c;hundrað
.;
vetra;vetra
tolfrꝍtt;tólfrætt
.;.
oc;og
.ii;tveir
.;
vetr;vetur
.;.
A;Á
þesse;þessari
stundu;stundiu
hafðu;höfðu
styrt;stýrt
Noregs;Noregs
velldi;veldi
þæir;þeir
hofðingiar;höfðingjar
er;er
aller;allir
varo;voru
komner;komnir
af;af
ætt;ætt
Harallz;Haralds
konongs;konungs
.;.
nema;nema
þa;þá
er;er
Dana;Dana
konongar;konungar
eða;eða
Sviakonongar;Svíakonungar
reðo;réðu
firir;fyrir
.;.
oc;og
varo;voru
þo;þó
þesser;þessir
hofðingiar;höfðingjar
af;af
ymsum;ýmsum
ættkvislum;ættkvíslum
.;.
þæim;þeim
fra;frá
Harallde;Haraldi
kononge;konungi
varo;voru
komnar;komnar
.;.
Ðetta;Þetta
haust;haust
bar;bar
at;að
sva;svo
.;.
at;að
Magnus;Magnús
konongr;konungur
oc;og
Haralldr;Haraldur
konongr;konungur
foro;fóru
með;með
hirð;hirð
sinni;sinni
austan;austan
or;úr
Vik;Vík
.;.
oc;og
lago;lágu
i;í
hofn;höfn
einni;einni
.;.
Vm;Um
dagen;daginn
æftir;eftir
var;var
Haʀalldr;Haraldur
buinn;búinn
at;að
sigla;sigla
en;en
Magnus;Magnús
konongr;konungur
æigi;eigi
.;.
sigldi;sigldi
þa;þá
Haʀalldr;Haraldur
norðr;norður
firir;fyrir
um;um
dagenn;daginn
.;.
oc;og
er;er
þæir;þeir
koma;koma
til;til
hafnar;hafnar
lagðe;lagði
hann;hann
skipi;skipi
sinu;sínu
i;í
konongs;konungs
læget;legið
.;.
Magnus;Magnús
konongr;konungur
sigldi;sigldi
siðar;síðar
um;um
dagenn;daginn
.;.
como;komu
svo;svo
til;til
hafnar;hafnar
at;að
Haʀalldr;Haraldur
hafðe;hafði
tialldat;tjaldað
oc;og
la;lá
i;í
konongs;konungs
læge;legi
.;.
þa;þá
mælte;mælti
Magnus;Magnús
konongr;konungur
er;er
lagt;lagt
var;var
seglet;seglið
.;.
take;taki
menn;menn
oc;og
sætiz;setist
viðr;við
roðr;róður
með;með
endilangum;endilöngum
borðom;borðum
.;.
en;en
þeir;þeir
er;er
æigi;eigi
roa;róa
briote;brjóti
upp;upp
vopn;vopn
manna;manna
.;.
en;en
með;með
þui;því
at;að
þæir;þeir
vilia;vilja
æigi;eigi
brott;brott
leggia;leggja
þa;þá
skulum;skulum
vær;vér
bæriast;berjast
.;.
Sva;Svo
gerðo;gerðu
þæir;þeir
sem;sem
hann;hann
mællte;mælti
.;.
þa;þá
er;er
Haʀalldr;Haraldur
konongr;konungur
sa;sá
at;að
Magnus;Magnús
konongr;konungur
frendi;frændi
hans;hans
rere;réri
at;að
með;með
alvæpne;alvæpni
oc;og
buinn;búinn
at;að
beriazk;verjast
mællte;mælti
Haralldr;Haraldur
hoggvi;höggvið
landfestina;landfestar
.;.
oc;og
latum;látum
sla;slá
skipinu;skipinu
.;.
reiðr;reiður
er;er
Magnus;Magnús
konongr;konungur
frendi;frændi
minn;minn
nu;nú
.;.
sva;svo
var;var
gort;gjört
.;.
slo;sló
þa;þá
skipinu;skipinu
inn;inn
i;í
fra;frá
.;.
en;en
Magnus;Magnús
konongr;konungur
lagðe;lagði
sinu;síu
skipi;skipi
i;í
læget;legið
.;.
en;en
þa;þá
er;er
hvarer;hvorir
tvæggiu;tveggja
hafðu;höfðu
umbuiz;umbúist
.;.
giek;gekk
Haʀalldr;Haraldur
konongr;konungur
a;á
skip;skip
Magnus;Magnúsar
konongs;konungs
með;með
noccora;nokkra
menn;menn
.;.
Magnus;Magnús
konongr;konungur
bað;bað
hann;hann
vælcomenn;velkominn
.;.
Ða;Þá
svaraðe;svaraði
Haralldr;Haraldur
.;.
þat;það
hugðum;hugðum
ver;vér
at;að
nu;nú
værem;værum
ver;vér
með;með
vinum;vinum
comner;komnir
.;.
en;en
noccot;nokkuð
grunaðe;grunaði
oss;oss
aðan;áðan
um;um
rið;hríð
hvart;hvort
þer;þér
mynduð;mynduð
sva;svo
vilia;vilja
.;.
oc;og
er;er
þat;það
satt;satt
er;er
mællt;mælt
er;er
.;.
at;að
bærnska;bernska
er;er
bratt;brátt
gieð;geð
.;.
vilium;viljum
ver;vér
oc;og
æigi;eigi
virða;virða
a;á
aðra;aðra
lund;lund
.;.
en;en
þetta;þetta
være;væri
ꝍskobragð;æskubragð
.;.
þa;þá
segir;segir
Magnus;Magnús
konongr;konungur
.;.
þetta;þetta
var;var
ættar;ættar
bragð;bragð
en;en
eigi;eigi
ꝍsko;æsku
bragð;bragð
.;.
ec;ég
ma;má
muna;muna
hvat;hvað
ec;ég
gaf;gaf
yðr;yður
.;.
eða;eða
hvat;hvað
ec;ég
varnaða;varnaði
.;.
ef;ef
þessi;þessi
litli;litli
lutr;hlutur
være;væri
tækinn;tekinn
firir;fyrir
vart;vort
lꝍyfi;leyfi
þa;þá
myndi;myndi
vera;vera
bratt;brátt
annar;annar
.;.
Alla;Alla
sætt;sætt
vilium;viljum
ver;vér
hallda;halda
þa;þá
er;er
gorr;gerð
var;var
.;.
oc;og
þat;það
sama;sama
vilium;viljum
vær;vér
af;af
yðr;yður
hafa;hafa
.;.
er;er
ver;vér
eigum;eigum
skilt;skilt
.;.
Ða;Þá
svaraðe;svaraði
Haʀalldr;Haraldur
konongr;konungur
.;.
þat;það
er;er
forn;forn
