(A);Á
ɴitianda;nítjánda
are;ári
rikis;ríkis
Harallz;Haralds
konongs;konungs
andaðezk;andaðist
Iatvarðr;Játvarður
goðe;góði
a;á
Englande;Englandi
fimta;fimmta
dag;dag
iola;jóla
.;.
en;en
setta;sjötta
dag;dag
iola;jóla
toco;tóku
Englar;Englar
til;til
konongs;konungs
Haʀalld;Harald
son;son
Goðena;Guðna
Ulfnaðrs;Úlfnaðars
sonar;sonar
.;.
oc;og
Gyðu;Gyðu
dottor;dóttur
Þorgils;Þorgils
spracalægs;sprákaleggs
.;.
hann;hann
var;var
vigðr;vígður
til;til
konongs;konungs
i;í
Lundunum;Lundúnum
i;í
Palskirkiu;Pálskirkju
atta;áttunda
dag;dag
iola;jóla
.;.
Iatvarðr;Játvarður
konongr;konungur
hafðe;hafði
atta;átt
Gyðu;Gyðu
Goðena;Guðna
dottor;dóttur
.;.
oc;og
atte;átti
Iatvarðr;Játvarður
ekki;ekki
barn;barn
.;.
þa;þá
hvarf;hvarf
konongsdomr;konungsdómur
a;á
Englande;Englandi
or;úr
ætt;ætt
Aþalsteins;Aðalsteins
goða;góða
.;.
Toste;Tosti
iarll;jarl
annar;annar
sunr;sonur
Goðena;Guðna
þottez;þóttist
æigi;eigi
vera;vera
værr;verr
til;til
komenn;kominn
rikisens;ríkisins
enn;en
Haralldr;Haraldur
.;.
oc;og
villde;vildi
hann;hann
vera;vera
i;í
kosnenge;kosningi
firer;fyrir
ollum;öllum
lannz;lands
monnum;mönnum
viðr;við
broðor;bróður
sinn;sinn
.;.
Bæiddiz;Beiddist
hann;hann
at;að
allir;allir
lanz;lands
hofðingiar;höfðingjar
oc;og
allr;allur
lyðr;lýður
sculde;skyldi
kiosa;kjósa
þenn;þann
til;til
konongs;konungs
er;er
þæir;þeir
villdi;vildu
hælldr;heldur
hava;hafa
oc;og
var;var
þet;það
marghra;margra
manna;manna
mal;mál
at;að
Toste;Tosti
være;væri
vittrare;vitrari
maðr;maður
oc;og
æighi;eigi
vær;verr
til;til
konongs;konungs
fallinn;fallinn
.;.
enn;en
Haralldr;Haraldur
þottiz;þóttist
nermær;nærri
konongdomenom;konungdóminum
er;er
hann;hann
hafðe;hafði
nafnit;nafnið
oc;og
stolsættr;stólsettur
.;.
þeghit;þegið
auc;auk
konongs;konungs
vixlu;vígslu
.;.
hann;hann
hafðe;hafði
haller;hallir
oc;og
fehirzlr;féhirslu
konongs;konungs
oc;og
villde;vildi
hann;hann
firir;fyrir
þvi;því
æighi;eigi
lata;láta
rikit;ríkið
at;að
hann;hann
hafðe;hafði
alt;allt
afl;afl
lanzens;landsins
.;
