Vm;Um
vætrenn;veturinn
ovanværðann;ofanverðan
oc;og
moti;móti
vareno;vorinu
sænndir;sendir
Haraldr;Haraldur
konongr;konungur
boð;boð
um;um
allt;allt
riki;ríki
sitt;sitt
.;.
at;að
hærr;her
skal;skal
buaz;búast
or;úr
lande;landi
um;um
sumaret;sumarið
at;að
liðe;liði
oc;og
skipum;skipum
.;.
næfnde;nefndi
or;úr
hværio;hverju
fylke;fylki
hværir;hverjir
fara;fara
skulldu;skyldu
.;.
Nu;Nú
sæghia;segja
sva;svo
allir;allir
þeir;þeir
er;er
þæsse;þessari
frasoghn;frásögn
oc;og
færð;ferð
var;var
kunnig;kunnug
at;að
æi;ei
hafe;hafi
bætra;betur
manna;manna
val;val
værit;verið
buit;búið
til;til
æinnar;einnar
færðar;ferðar
or;úr
Noreghe;Noregi
.;.
konongr;konungur
let;lét
bua;búa
byrðinga;byrðinga
.;.
oc;og
sva;svo
scutur;skútur
meðr;með
utal;ótal
vista;vista
.;.
enn;en
Magnus;Magnús
sun;son
sinn;sinn
sætr;setur
hann;hann
aftr;aftur
til;til
lanz;lands
gæzlo;gæslu
.;.
enn;en
Olaf;Ólaf
sun;son
sinn;sinn
hafðe;hafði
hann;hann
meðr;með
ser;sér
.;.
þa;þá
er;er
Haraldr;Haraldur
konongr;konungur
bioz;bjóst
til;til
þessar;þessarar
færðar;ferðar
.;.
þa;þá
urðo;urðu
morg;mörg
visenndi;vísindi
synnd;sýndi
monnum;mönnum
i;í
droumum;draumum
.;
