Enn;En
æftir;eftir
þessa;þessa
orrastu;orrustu
gecc;gekk
undir;undir
Harald;Harald
konong;konung
lið;lið
allt;allt
um;um
hin;hin
nesto;næstu
heroð;héruð
enn;en
sumt;sumt
fluðe;flúði
.;.
nu;nú
byriar;byrjar
Haraldr;Haraldur
konongr;konungur
færð;ferð
sina;sína
at;að
vinna;vinna
borghina;borgina
Iork;Jork
.;.
oc;og
lagðe;lagði
hann;hann
hærrenom;hernum
scamt;skammt
i;í
fra;frá
Stannforðe;Stanforða
bryggiu;bryggju
.;.
firir;fyrir
þvi;því
at;að
konongrenn;konungurinn
hafðe;hafði
unnið;unnið
sva;svo
mikinn;mikinn
sighr;sigur
viðr;við
stora;stóra
hofðingia;höfðingja
.;.
at;að
mæsti;mesti
luti;hluti
hærs;hers
hafðe;hafi
orðit;orðið
sva;svo
ræt;hrætt
at;að
æighi;eigi
þorðe;þorði
gagnstoðu;gagnstöðu
veita;veita
oc;og
gerðo;gerðu
borghar;borgar
menn;menn
þet;það
rað;ráð
fyrir;fyrir
ser;sér
at;að
sænda;senda
boð;boð
Haralde;Haraldi
kononge;konungi
meðr;með
liðe;liði
.;.
at;að
bioða;biðja
i;í
valld;vald
hans;hans
sialfa;sjálfa
sec;sig
oc;og
sva;svo
borghena;borgina
.;.
var;var
þetta;þetta
alt;allt
boðat;boðað
sva;svo
at;að
sunnudaghinn;sunnudaginn
iattaðoz;játuðust
allir;allir
hinir;hinir
rikasto;ríkustu
undir;undir
Harald;Harald
konong;konung
oc;og
fengo;fengu
þæim;þeim
gisla;gísla
sunu;syni
tighinna;tiginna
manna;manna
fyrir;fyrir
þvi;því
at;að
Tosti;Tosti
iarl;jarl
kunni;kunni
þæiʀa;þeirra
allra;allra
skyn;skyn
.;.
er;er
i;í
voro;voru
borghenne;borginni
enn;en
um;um
cvælldit;kveldið
æftir;eftir
for;fór
Haraldr;Haraldur
konongr;konungur
til;til
skipa;skipa
meðr;með
sialfgorum;sjálfgjörum
sighri;sigri
oc;og
allir;allir
þæir;þeir
voro;voru
þa;þá
i;í
mykille;mikilli
kꝍte;kæti
.;.
enn;en
um;um
morghunen;morguninn
manadaghenn;mánadaginn
var;var
stæfnt;stefnt
þing;þing
i;í
borghenne;borginni
.;.
skulde;skyldi
þa;þá
Haraldr;Haraldur
konongr;konungur
skipa;skipa
staðenn;staðinn
.;.
með;með
rikismonnum;ríkismönnum
oc;oog
gæfa;gefa
rettu;réttu
oc;og
læn;lén
.;
