Hacon;Hákon
toc;tók
konongdom;konungdóm
i;í
Noregi;Noregi
tveim;tveim
vetrom;vetrum
siþan;síðan
er;er
faðer;faðir
hans;hans
andaðezt;andaðist
.;.
hann;hann
var;var
bæðe;bæði
vinsæll;vinsæll
oc;og
arsæll;ársæll
.;.
hann;hann
setti;setti
log;lög
vm;um
allan;allan
Noreg;Noreg
með;með
raðe;ráði
Þorleifs;Þorleifs
hins;hins
spaca;spaka
oc;og
annara;annarra
vitra;vitra
manna;manna
.;.
oc;og
af;af
þeim;þeim
lagum;lögum
nytti;nýtti
hinn;hinn
helgi;helgi
Olafr;Ólafur
konongr;konungur
mestann;mestan
lut;hlut
.;.
a;á
hinu;hinu
xvi;sextánda
are;ári
rikis;ríkis
.;.
atte;átti
hann;hann
fiolmænnt;fjölmennt
þing;þing
inn;inn
i;í
Þrondheimi;Þrańdheimi
a;á
Mærenne;Mærinni
.;.
oc;og
a;á
þvi;því
þingi;þingi
gærðo;gerðu
Þrꝍnndir;Þrændir
konongenom;konunginum
tva;tvo
koste;kosti
.;.
at;að
hann;hann
skulldi;skyldi
blota;blóta
eftir;eftir
vannda;vanda
hinna;hinna
fyʀu;fyrri
kononga;konunga
oc;og
fylla;fylla
sva;svo
hin;hin
forno;fornu
log;lög
.;.
til;til
ars;árs
oc;og
friðar;friðar
.;.
ælligar;elligar
munndu;mundu
þeir;þeir
reka;reka
hann;hann
af;af
rikinu;ríkinu
.;.
ef;ef
hann;hann
villdi;vildi
eigi;eigi
i;í
þesso;þessu
vera;vera
sva;svo
firir;fyrir
þeim;þeim
sem;sem
vm;um
riki;ríki
eða;eða
skatttaku;skatttöku
.;.
konongr;konungur
villdi;vildi
þetta;þetta
vist;víst
eigi;eigi
gera;gera
.;.
astvinir;ástvinir
konongs;konungs
oc;og
mikit;mikið
folk;fólk
gengu;gengu
i;í
millom;millium
.;.
oc;og
biðia;biðja
bꝍndr;bændur
þyrmazt;þyrmast
við;við
konong;konung
.;.
oc;og
tala;tala
þeir;þeir
hversu;hversu
nytsamlegr;nytsamlegur
þeirra;þeirra
hofþingi;höfðingi
var;var
sinum;sínum
þegnum;þegnum
.;.
oc;og
mikill;mikill
raðzmaðr;ráðsmaður
til;til
laga;laga
oc;og
siða;siða
.;.
i;í
annan;annan
stað;stað
biðia;biðja
þeir;þeir
konong;konung
minka;minnka
þenna;þennan
kurr;kurr
.;.
oc;og
taca;taka
einn;einn
litinn;lítinn
lut;hlut
i;í
samþyct;samþykkt
.;.
sva;svo
at;að
blotmenn;blótmenn
kalle;kalli
eigi;eigi
at;að
af;af
hanum;honum
værðe;verði
niðrfall;niðurfall
laganna;laganna
.;.
firir;fyrir
huggꝍðis;huggæðis
sacar;sakar
oc;og
astar;ástar
við;við
vini;vini
sina;sína
.;.
þá;þá
gerði;gerði
hann;hann
eptir;eftir
bꝍn;bæn
þeirra;þeirra
oc;og
blotaðe;blótaði
.;.
