A;Á
siautiannda;sautjánda
are;ári
rikiss;ríkis
gaf;gaf
hann;hann
konongs;konungs
namfn;nafn
Tryɢva;Tryggva
syne;syni
Olafs;Ólafs
Harallz;Haralds
sunar;sonar
.;.
broðor;bróður
syni;syni
sinum;sínum
.;.
oc;og
gaf;gaf
hanum;honum
riki;ríki
i;í
Vik;Vík
ꜹstr;austur
.;.
sætti;setti
hann;hann
þar;þar
til;til
lannz;lands
at;aðð
gæta;gæta
við;við
Danum;Dönum
oc;og
vikingum;víkingum
.;.
er;er
þa;þá
gerðu;gerðu
mikinn;mikinn
skaða;skaða
a;á
Noregs;Noregs
riki;ríki
.;.
oc;og
lagðizt;lagðist
þat;það
til;til
hemfndar;hefndar
við;við
Hacon;Hákon
af;af
ɢuðe;Guði
.;.
eftir;eftir
þat;það
er;er
hann;hann
hafði;hafði
blotat;blótað
.;.
at;að
i;í
riki;ríki
hans;hans
var;var
iamnan;jafnan
ufriðr;ófriður
af;af
sunum;sonum
Gunnilldar;Gunnhildar
oc;og
aðrum;öðrum
vikingum;víkingum
oc;og
lagn;
þeir;þeir
til;til
þessa;þessa
illvirkis;illvirkis
i;í
Brennꝍyium;Brenneyjum
.;.
Varðꝍyium;Varðeyjum
i;í
Myl;Myl
oc;og
i;í
Mystra;Mystra
sund;sund
.;.
Hacon;Hákon
konongr;konungur
for;fór
leita;leita
þeirra;þeirra
með;með
tveim;tveim
sneckium;snekkjum
oc;og
hitti;hitti
vikinga;víkinga
suðr;suður
firir;fyrir
Hallannde;Hallandi
.;.
Vinde;
oc;og
Dane;Dani
með;með
x;tíu
skipum;skipum
.;.
bærst;berst
við;við
þa;þá
oc;og
vann;vann
sigr;sigur
.;.
oc;og
rak;rak
firir;fyrir
borð;borð
mikinn;mikinn
luta;hluta
af;af
liði;liði
þeiʀa;þeirra
.;.
toc;tók
allt;allt
fe;fé
þeirra;þeirra
.;.
hæriaðe;herjaði
viða;víða
a;á
Halland;Hallandi
oc;og
Fion;Fjón
.;.
oc;og
for;fór
við;við
sva;svo
buit;búið
i;í
riki;ríki
sitt;sitt
.;.
