Á;Á;
þeirri;þeirri;
hátið;hátið;
,;,;
er;er;
heilög;heilög;
kirkja;kirkja;
kallar;kallar;
pentecosten;pentecosten;
,;,;
enn;en;
Norðmenn;Norðmenn;
kalla;kalla;
pikkisdaga;pikkisdag;
,;,;
þá;þá;
kvámu;komu;
til;til;
Artus;Artúrs;
konungs;konungs;
dýrligir;dýrðlegir;
höfðingjar;höfðingjar;
ok;og;
konungar;konungar;
margra;margra;
landa;landa;
með;með;
hertugum;hertogum;
ok;og;
öðrum;öðrum;
heiðrsmönnum;heiðursmönnum;
,;,;
svá;svo;
sem;sem;
þessi;þessi;
saga;saga;
váttar;vottar;
,;,;
sem;sem;
margar;margra;
aðrar;aðra;
,;,;
þær;þær;
sem;sem;
um;um;
hann;hann;
eru;eru;
görvar;gerðar;
.;.;
Artus;Artúr;
konungr;konungur;
var;var;
hinn;hinn;
forvitnasti;forvitnasti;
maðr;maður;
ok;og;
vildi;vildi;
verða;verða;
víss;vís;
allra;allra;
tíðenda;tíðinda;
,;,;
er;er;
görðust;gerðust;
í;í;
ríki;ríki;
hans;hans;
,;,;
ok;og;
svá;svo;
í;í;
öðrum;öðrum;
lönðum;löndum;
,;,;
þar;þar;
sem;sem;
hann;hann;
mátti;mátti;
spyrja;spyrja;
ok;og;
því;því;
lèt;lét;
hann;hann;
blása;blásta;
hvervetna;hvarvetna;
á;á;
skógum;skógum;
,;,;
á;á;
vegum;vegum;
ok;og;
gatnamótum;gatnamótum;
,;,;
at;að;
hverr;hver;
,;,;
er;er;
þar;þar;
var;var;
um;um;
farandi;farandi;
,;,;
skyldi;skyldi;
koma;koma;
til;til;
hirðar;hirðar;
ok;og;
hátiðar;hátíðar;
hans;hans;
.;.;
Þat;Það;
fylgði;fylgdi;
ok;og;
boði;boði;
konungs;konungs;
,;,;
at;að;
hverr;hver;
,;,;
er;er;
átti;átti;
fríða;fríða;
unnostu;unnustu;
,;,;
þá;þá;
skyldi;skyldi;
hón;hún;
fylgja;fylgja;
hánum;honum;
ok;og;
vera;vera;
jafnan;jafnan;
velkomin;velkomin;
með;með;
konungi;konungi;
,;,;
sem;sem;
unnasti;unnusti;
hennar;hennar;
.;.;
Af;Af;
því;því;
kvam;kom;
þar;þar;
svá;svo;
mikill;mikill;
fjölði;fjöldi;
,;,;
at;að;
varla;varla;
mátti;mátti;
tölu;tölu;
á;á;
koma;koma;
ok;og;
því;því;
var;var;
vant;vant;
ór;úr;
svá;svo;
miklum;miklum;
fjölda;fjölda;
hinum;hinum;
hyggnasta;hyggnasta;
at;að;
kjósa;kjósa;
hina;hina;
kurteisustu;kurteisustu;
.;.;
Enn;En;
drottning;drottning;
varð;var;
fegin;fegin;
kvámu;komu;
þeirra;þeirra;
ok;og;
lèt;lét;
jungfrúr;ungfrúr;
vera;vera;
í;í;
loptum;loftum;
sínum;sínum;
.;.;
Drottning;Drottning;
var;var;
hinn;hinn;
fríðasti;fríðasti;
kvennmaðr;kvenmaður;
ok;og;
hafði;hafði;
rœður;ræður;
sínar;sínar;
vid;við;
þær;þær;
með;með;
allskonar;allskonar;
skemmtan;skemmtan;
ok;og;
gaman;gaman;
með;með;
kurteisligum;kurteislegum;
hætti;hætti;
.;.;
Sjálf;Sjálf;
hón;hún;
hafði;hafði;
góða;góða;
gangveru;gangveru;
.;.;
Svá;Svo;
gaf;gaf;
hón;hún;
ok;og;
hverri;hverri;
þeirra;þeirra;
dýrlig;dýrðleg;
klæði;klæði;
með;með;
allskyndis;allskyns;
litum;litum;
ok;og;
kostum;kostum;
,;,;
svá;svo;
at;að;
hin;hin;
dáligsta;dálegasta;
var;var;
búin;búin;
með;með;
pell;pelli;
ok;og;
fóðrad;fóðrað;
með;með;
skinnum;skinnum;
grám;gráum;
ok;og;
hvítum;hvítum;
.;.;
Enn;En;
sá;sá;
,;,;
er;er;
klæðabúnað;klæðabúnað;
þeirra;þeirra;
vildi;vildi;
skynsamliga;skynsamlega;
skoða;skoða;
,;,;
þá;þá;
mundi;mundi;
hann;hann;
mega;mega;
mjök;mjög;
langa;langa;
tölu;tölu;
þar;þar;
af;af;
göra;gjöra;
.;.;
Enn;En;
ek;ég;
vil;vil;
yðr;yður;
eigi;eigi;
lengi;lengi;
dvelja;dvelja;
,;,;
ok;og;
því;því;
vil;vil;
ek;ég;
fátt;fátt;
af;af;
mörgu;mörgu;
segja;segja;
:;:;
-;-;
at;að;
engi;enginn;
var;var;
betri;betri;
búnaðr;búnaður;
í;í;
heiminum;heiminum;
,;,;
enn;en;
þeim;þeim;
var;var;
gefinn;gefinn;
,;,;
ok;og;
engi;enginn;
kaupmaðr;kaupmaður;
kunni;kunni;
at;að;
selja;selja;
nè;né;
verði;verði;
at;að;
kaupa;kaupa;
.;.;
Drottning;Drottning;
var;var;
lofsæl;lofsæl;
af;af;
hverskonar;hverskonar;
skörungskap;skörungskap;
ok;og;
hin;hin;
vinsælasta;vinsælasta;
af;af;
frægum;frægum;
mildleik;mildleik;
.;.;
Nú;Nú;
lèt;lét;
hón;hún;
hèr;hér;
næst;næst;
fram;fram;
bera;bera;
dýrlig;dýrðleg;
nisti;nisti;
ok;og;
rík;rík;
belti;belti;
,;,;
fingrgull;fingurgull;
með;með;
allskonar;allskonar;
dýrum;dýrum;
steinum;steinum;
,;,;
svá;svo;
at;að;
engi;enginn;
maðr;maður;
sá;sá;
svá;svo;
fásèna;fáséna;
nè;né;
ágæta;ágæta;
gripi;gripi;
,;,;
sem;sem;
drottning;drottning;
gaf;gaf;
af;af;
gnógum;nógum;
góðvilja;góðvilja;
því;því;
at;að;
hón;hún;
lèt;lét;
hverja;hverja;
þeirra;þeirra;
svá;svo;
mikit;mikið;
af;af;
taka;taka;
,;,;
sem;sem;
hver;hver;
vildi;vildi;
hafa;hafa;
.;.;
Enn;En;
nú;nú;
er;er;
at;að;
rœða;ræða;
úm;um;
Artus;Artúr;
konung;konung;
,;,;
hinn;hinn;
fræga;fræga;
,;,;
er;er;
gefa;gefa;
lèt;lét;
hirð;hirð;
sinni;sinni;
ok;og;
til;til;
komnum;komnum;
höfðingjum;höfðingjum;
ok;og;
riddörum;riddurum;
ríka;ríka;
gangveru;gangveru;
ok;og;
örugg;örugg;
vápn;vopn;
,;,;
prúða;prúða;
búnaði;búnaði;
ok;og;
beztu;bestu;
vápnhesta;vopnhesta;
,;,;
er;er;
hánum;honum;
váru;voru;
sendir;sendir;
vestan;vestan;
af;af;
Spanía;Spáni;
,;,;
Lumbardía;Langbarðalandi;
ok;og;
Almannía;Þýskalandi;
.;.;
Ok;Og;
var;var;
þar;þar;
engi;enginn;
svá;svo;
fátœkr;fátækur;
riddari;riddari;
kominn;kominn;
,;,;
at;að;
eigi;eigi;
þá;þiggja;
þá;þá;
ríka;ríka;
gangveru;gangveru;
ok;og;
örugg;örugg;
vápn;vopn;
ok;og;
prúða;prúða;
búnaði;búnaði;
ok;og;
góðan;góðan;
hest;hest;
því;því;
at;að;
þar;þar;
skorti;skorti;
ekki;ekki;
at;að;
veita;veita;
þat;það;
er;er;
hafa;hafa;
þurfti;þurfti;
.;.;
Ok;Ok;
í;í;
engri;engri;
konungshirð;konungshirð;
váru;voru;
svá;svo;
ríkar;ríkar;
gjafir;gjafir;
gefnar;gefnar;
,;,;
sem;sem;
þar;þar;
váru;voru;
þegnar;þegnar;
,;,;
né;né;
svá;svo;
gnógliga;nóglega;
fengnar;fengnar;
.;.;
Enn;En;
könnugr;konungur;
sjálfr;sjálfur;
var;var;
svá;svo;
mikils;mikils;
lofs;lofs;
verðr;verður;
,;,;
er;er;
aldregi;aldrei;
iðraðist;iðraðist;
sinna;sinna;
gjafa;gjafa;
ok;og;
svá;svo;
lèt;lét;
hann;hann;
laust;laust;
við;við;
þá;þá;
,;,;
sem;sem;
hann;hann;
kostaði;kostaði;
engu;engu;
allt;allt;
þat;það;
,;,;
er;er;
hann;hann;
gaf;gaf;
þeim;þeim;
.;.;
Enn;En;
laugardaginn;laugardaginn;
fyrir;fyrir;
pikkisdaga;pikkisdaga;
var;var;
sú;su;
hin;hin;
mikla;mikla;
hirð;hirð;
saman;saman;
komin;komin;
ok;og;
svá;svo;
vel;vel;
búin;búin;
at;að;
hestum;hestum;
ok;og;
vápnum;vopnum;
ok;og;
góðum;góðum;
klæðum;klæðum;
,;,;
at;að;
hvergi;hvergi;
í;í;
heiminum;heiminum;
var;var;
önnur;önnur;
hirð;hirð;
þessarri;þessari;
lík;lík;
.;.;
Þá;Þá;
var;var;
þar;þar;
mikil;mikil;
skemmtan;skemmtan;
ok;og;
allskonar;allskonar;
gaman;gaman;
,;,;
með;með;
gnógligum;nóglegum;
fagnaði;fagnaði;
svá;svo;
margra;margra;
hœverskra;hæverskra;
manna;manna;
,;,;
sem;sem;
þar;þar;
váru;voru;
saman;saman;
komnir;komnir;
.;.;
Ok;Og;
er;er;
þeir;þeir;
höfðu;höfðu;
verit;verið;
allan;allan;
þann;þann;
dag;dag;
í;í;
þeim;þeim;
fögnuði;fögnuði;
ok;og;
kvelda;kvelda;
tók;tók;
,;,;
þá;þá;
fór;fór;
hverr;hver;
til;til;
síns;síns;
herbergis;herbergis;
,;,;
ok;og;
bjoggu;bjuggu;
þá;þá;
skjaldsveinar;skjaldsveinar;
hvílur;hvílur;
þeirra;þeirra;
,;,;
ok;og;
fór;fór;
þá;þá;
allt;allt;
liðit;liðið;
at;að;
sofa;sofa;
.;.;
