Konungr;Konungur
sendir;sendir
nú;nú
eptir;eftir
drottningn;drottningu
,;,
herra;herra
Valvent;Valvent
ok;og
Kæi;Kæi
ræðismanni;ræðismanni
ok;og
Meon;Meon
skutilsvein;skutilsvein
,;,
bað;bað
þá;þá
segja;segja
drottningu;drottningu
,;,
at;að
hón;hún
kvæmi;kæmi
í;í
stað;stað
til;til
hans;hans
ok;og
allar;allar
þær;þær
meyjar;meyjar
ok;og
konur;konur
,;,
er;er
með;með
henni;henni
eru;eru
‘;„
ok;og
komi;komi
svá;svo
görsamliga;gjörsamlega
,;,
at;að
engi;enginn
siti;siti
eptir;eftir
,;,
því;því
at;að
ek;ég
vil;vil
at;að
vísu;vísu
halda;halda
þessa;þessa
gjöf;gjöf
,;,
er;er
ek;ég
gaf;gaf
sveininum.;sveininum
’;“
Nú;Nú
ganga;ganga
þeir;þeir
ok;og
fundu;fundu
drottningu;drottningu
í;í
lopti;lofti
sínu;sínu
,;,
albúna;albúna
til;til
borða;borða
at;að
ganga;ganga
,;,
því;því
at;að
hana;hana
hungraði;hungraði
,;,
er;er
hón;hún
skyldi;skyldi
svá;svo
lengi;lengi
fasta;fasta
.;.
Ok;Og
bar;var
þá;þá
herra;herra
Valvenn;Valvenn
fram;fram
konungs;konungs
orðsendingar;orðsendingar
.;.
‘;„
Fru;Frú
’;“
segir;segir
hann;hann
,;,
‘;„
konungr;konungur
býðr;býður
yðr;yður
fyrir;fyrir
hvetvetna;hvaðeina
fram;fram
,;,
at;að
þèr;þér
gangið;gangið
nú;nú
í;í
stað;stað
til;til
hans;hans
,;,
því;því
at;að
einn;einn
ungr;ungur
sveinn;sveinn
,;,
harla;harla
fríðr;fríður
,;,
kvam;kom
til;til
hans;hans
ok;og
fœrði;færði
hánum;honum
einn;einn
möttul;möttul
,;,
svá;svo
dýrligan;dýrlegan
,;,
at;að
engi;enginn
dauðlig;dauðleg
augu;augu
sá;sjá
annan;annan
þvílíkan;þvílíkan
-;-
klæðit;klæðið
er;er
rautt;rautt
í;í
,;,
enn;en
þvílíka;þvílíka
gersemi;gersemi
höfum;höfum
vær;vér
eigi;eigi
sèt;séð
um;um
aldr;aldur
-;-
með;með
svá;svo
undarligum;undarlegum
ok;og
frábærum;frábærum
hagleik;hagleik
görvan;gerðan
,;,
at;að
óvist;óvíst
(;(
er;er
);)
,;,
at;að
annarr;annar
sè;sé
eðr;eður
finnist;finnist
hánum;honum
líkr;líkur
í;í
öllum;öllum
heiminum;heiminum
.;.
Ok;Og
vitið;vitið
þat;það
at;að
sönnu;sönnu
,;,
at;að
konungr;konungur
hefir;hefur
heitit;heitið
þenna;þennan
möttul;möttul
þeirri;þeirri
,;,
er;er
í;í
mundanga;mundang
er;er
ok;og
bezt;best
ferr;fer
.;.
Ok;Og
kostið;kostið
nú;nú
,;,
frú;frú
,;,
ok;og
dvelið;dveljið
eigi;eigi
,;,
ok;og
hafið;hafði
með;með
yðr;yður
allt;allt
kvendi;kvendi
þat;það
,;,
er;er
hingat;hingað
er;er
komit;komið
,;,
því;því
at;að
konungr;konungur
vill;vill
sjá;sjá
vöxt;vöxt
þeirra;þeirra
ok;og
fegrð;fegurð
.;.
Er;Er
mèr;mér
þat;það
ok;og
eigi;eigi
kunnigt;kunnugt
,;,
hver;hver
þessa;þessa
hina;hina
tíguligu;tígulegu
gjöf;gjöf
mun;mun
hljóta;hljóta
.;.
’;
