Nu;Nú
er;er
allr;allur
kvennafjöldi;kvennafjöldi
þessi;þessi
sá;sá
,;,
hversu;hversu
þessarri;þessari
meyju;meyju
hafði;hafði
misfarizt;misfarist
,;,
þá;þá
bölvaðu;bölvuðu
allar;allir
sveininum;sveininum
,;,
er;er
möttulinn;möttulonn
hafði;hafði
þangat;þangað
flutt;flutt
";";";"
því;því
at;að
nú;nú
váru;voru
þær;þær
sannfróðar;sannfróðar
um;um
þat;það
,;,
at;að
ekki;ekki
mundi;mundi
tjá;tjá
á;á
móti;móti
at;að
mæla;mæla
at;að
taka;taka
við;við
skikkjunni;skikkjunni
,;,
þótt;þótt
þær;þær
fengi;fengju
œrin;ærin
andsvör;andsvör
til;til
undan;undan
at;að
teljast;teljast
.;.
Þa;Þá
mælti;mælti
hinn;hinn
kurteisi;kurteisi
Bodendz;Bodendz
skutilsveinn;skutilsveinn
til;til
konungs;konungs
‘;„
minn;minn
herra;herra
’;“
segir;segir
hann;hann
‘;„
svá;svo
finnst;finnst
mèr;mér
til;til
,;,
sem;sem
vær;vér
hafim;höfum
eigi;eigi
rètta;rétta
skipan;skipan
á;á
um;um
viðtöku;viðtöku
möttulsins;möttulsins
.;.
Unnasta;Unnusta
herra;herra
Valvens;Valvens
er;er
svá;svo
œskiliga;æskilega
fríð;fríð
-;-
skyldi;skyldi
hón;hún
því;því
við;við
skikkjunni;skikkjunni
tekit;tekið
hafa;hafa
næst;næst
drottningu;drottningu
.;.
’;“
Enn;En
Valven;Valven
ræðismanni;ræðismanni
þótti;þótti
fyrir;fyrir
,;,
at;að
hón;hún
tœki;tæki
við;við
möttlinum;möttlinum
";";";"
því;því
at;að
hánum;honum
var;var
grunr;grunur
á;á
,;,
at;að
hón;hún
mundi;mundi
eigi;eigi
meiri;meiri
sœmd;sæmd
við;við
taka;taka
,;,
enn;en
þær;þær
,;,
er;er
fyrr;fyrr
höfdu;höfðu
við;við
tekit;tekið
.;.
Þá;Þá
mælti;mælti
konungr;konungur
,;,
at;að
Bodendz;Bodendz
,;,
hinn;hinn
kurteisi;kurteisi
skutilsveinn;skutilsveinn
,;,
skyldi;skyldi
kalla;kalla
á;á
hana;hana
.;.
Ok;Og
stóð;stóð
hón;hún
þegar;þegar
upp;upp
";";";"
því;því
at;að
hón;hún
þorði;þorði
eigi;eigi
annat;annað
.;.
Enn;En
konungr;konungur
lèt;lét
bera;bera
henni;henni
skikkjuna;skikkjuna
.;.
Ok;Og
tók;tók
hón;hún
þegar;þegar
við;við
ok;og
lèt;lét
yfir;yfir
sik;sig
,;,
sem;sem
konungr;konungur
hafði;hafði
mælt;mælt
.;.
Ok;Og
þegar;þegar
hón;hún
var;var
henni;henni
klædd;klædd
,;,
var;var
henni;henni
hann;hann
svá;svo
síðr;síður
at;að
baki;baki
,;,
at;að
hón;hún
dro;dró
hann;hann
eptir;eftir
sér;sér
hálfrar;hálfrar
fimmtú;fimmtu
álnar;álnar
";";";"
enn;en
í;í
fyrir;fyriri
hljóp;hljóp
hann;hann
upp;upp
á;á
knè;kné
henni;henni
";";";"
enn;en
á;á
vinstri;vinstri
hlið;hlið
,;,
þá;þá
reistist;reistist
hann;hann
allr;allur
á;á
bak;bak
.;.
Ok;Og
varð;varð
þá;þá
Kæi;Kæi
ræðismaðr;ræðismaður
feginn;feginn
,;,
er;er
hann;hann
sá;sá
,;,
at;að
möttullinn;möttullinn
var;var
henni;henni
svá;svo
stuttr;stuttur
";";";"
því;því
at;að
þat;það
