Þat;Það
er;er
upphaf;upphaf
at;að
þessari;þessari
sögu;sögu
,;,
at;að
Sverrir;Sverrir
konungr;konungur
,;,
sonr;sonur
Sigurðar;Sigurðar
Haraldssonar;Haraldssonar
,;,
réð;réð
fyrir;fyrir
Nóregi;Noregi
,;,
sem;sem
mönnum;mönnum
er;er
kunnigt;kunnugt
.;.
I;I
þann;þann
tíma;tíma
váru;voru
byskupar;biskupar
á;á
Íslandi;Íslandi
:;:
:;:
Páll;Páll
byskup;biskup
Jónsson;Jónsson
í;í
Skálaholti;skálholti
,;,
en;en
Guðmundr;Guðmundur
byskup;biskup
Arason;Arason
á;á
Hólum;Hólum
,;,
—;—
þessir;þessir
valdsmenn;valdsmenn
af;af
leikmönnum;leikmönnum
:;:
Jón;Jón
Loftsson;Loftsson
ok;og
Sæmundr;Sæmundur
,;,
sonr;sonur
hans;hans
,;,
Gizurr;Gissur
Hallsson;Hallsson
ok;og
Þorvaldr;Þorvaldur
,;,
sonr;sonur
hans;hans
,;,
ok;og
Magnús;Magnús
,;,
er;er
síðan;síðan
var;var
byskup;biskup
í;í
Skálaholti;Skálholti
,;,
Snorri;Snorri
Sturluson;Sturluson
ok;og
bræðr;bræður
hans;hans
,;,
Þórðr;Þórður
ok;og
Sighvatr;Sighvatur
.;.
Maðr;Maður
hét;hét
Hjörleifr;Hjörleifur
ok;og
var;var
Gilsson;Gilsson
.;.
Kona;Kona
hans;hans
hét;hét
Sigríðr;Sigríður
ok;og
var;var
Hafþórisdóttir;Hafþórisdóttir
.;.
Bæði;Bæði
váru;voru
þau;þau
vel;vel
ættuð;ættuð
.;.
Hjörleifr;Hjörleifur
var;var
maðr;maður
sæmiligr;sæmilegur
bæði;bæði
[;[
at;að
];]
vexti;vexti
ok;og
vænleik;vænleik
ok;og
afli;afli
,;,
svá;svo
at;að
varla;varla
fekkst;fékkst
hans;hans
jafningi;jafningi
honum;honum
samtíða;samtíða
.;.
Aron;Aron
hét;hét
sonr;sonur
hans;hans
inn;hinn
elzti;elzti
,;,
er;er
þessi;þessi
saga;saga
gengr;gengur
mest;mest
af;af
.;.
Annarr;Annar
sonr;sonur
þeira;þeirra
hét;hét
Ófeigr;Ófeigur
,;,
þriði;þriðji
Bárðr;Bárður
,;,
fjórði;fjórði
Óláfr;Ólafur
,;,
er;er
síðan;síðan
var;var
ábóti;ábóti
at;að
Helgafelli;Helgafelli
.;.
Hjörleifr;Hjörleifur
bjó;bjó
fyrst;fyrst
í;í
Bjarnarhöfn;Bjarnarhöfn
,;,
en;en
síðan;síðan
í;í
Miklaholti;Miklaholti
.;.
Hann;Hann
var;var
inn;hinn
örlátasti;örlátasti
maðr;maður
í;í
búi;búi
.;.
Skorti;Skorti
[;[
hann;hann
ok;og
];]
ekki;ekki
fé;fé
í;í
þann;þann
tíma;tíma
.;.
Hann;Hann
var;var
vinsæll;vinsæll
ok;og
víðfrægr;víðfrægur
.;.
Sigríðr;Sigríður
kona;kona
hans;hans
,;,
var;var
fríð;fríð
sýnum;sýnum
ok;og
hög;hög
á;á
handiðjan;handiðjan
,;,
ok;og
nutu;nutu
þess;þess
margir;margir
,;,
,;,
bæði;bæði
skyldir;skyldir
ok;og
óskyldir;óskyldir
.;.
Enn;Enn
váru;voru
á;á
því;því
meiri;meiri
orð;orð
,;,
hversu;hversu
hógvær;hógvær
hon;hún
var;var
í;í
skaplyndi;skaplyndi
,;,
því;því
at;að
svá;svo
má;má
at;að
kveða;kveða
,;,
at;að
hvert;hvert
barn;barn
unni;unni
henni;henni
hugástum;hugástum
.;.
Aron;Aron
óx;óx
upp;upp
með;með
föður;föður
sínum;sínum
ok;og
móður;móður
í;í
Miklaholti;Miklaholti
.;.
Var;Var
hann;hann
þegar;þegar
mikill;mikill
vexti;vexti
á;á
unga;unga
aldri;aldri
,;,
skýrr;skýr
ok;og
skapprúðr;skapprúður
við;við
vini;vini
sína;sína
.;.
Fannst;Fannst
þat;það
[;[
á;á
];]
honum;honum
,;,
at;að
hann;hann
var;var
kappsamr;kappsamur
í;í
öllu;öllu
því;því
,;,
er;er
honum;honum
þótti;þótti
ekki;ekki
at;að
sínu;sínu
skapi;skapi
gert;gert
vera;vera
,;,
sem;sem
síðar;síðar
mun;mun
sagt;sagt
verða;verða
í;í
sögunni;sögunni
,;,
en;en
þó;þó
þat;það
allt;allt
sköruligt;sköruligt
ok;og
með;með
hófi;hófi
.;.
Mörg;Mörg
átti;átti
Hjörleifr;Hjörleifur
önnur;önnur
börn;börn
en;en
sonu;syni
þessa;þessa
,;,
sem;sem
nú;nú
