Maðr;Maður
er;er
nefndr;nefndur
Sigmundr;Sigmundur
snagi;snagi
.;.
Hann;Hann
hafði;hafði
verit;verið
fylgdarmaðr;fylgdarmaður
Sturlu;Sturlu
í;í
Grímsey;Grímsey
,;,
ok;og
þótti;þótti
Aroni;Aroni
hann;hann
hafa;hafa
gengit;gengið
nær;nær
sér;sér
.;.
Sigmundr;Sigmundur
bjó;bjó
þann;þann
vetr;vetur
at;að
Eyðihúsum;Eyðihúsum
.;.
Þar;Þar
kom;kom
Aron;Aron
farandi;farandi
einhvern;einhvern
dag;dag
.;.
Urðu;Urðu
þar;þar
þau;þau
umskipti;umskipti
,;,
at;að
Sigmundr;Sigmundur
var;var
drepinn;drepinn
með;með
skjótum;skjótum
atburði;atburði
,;,
því;því
at;að
Sigmundr;Sigmundur
var;var
úti;úti
staddr;staddur
.;.
En;En
þat;það
dró;dróg
til;til
þessa;þessa
verks;verks
með;með
öðru;öðru
,;,
at;að
Aroni;Aroni
þótti;þótti
hann;hann
hafa;hafa
setzt;sest
til;til
höfuðs;höfuðs
sér;sér
.;.
Þóttist;Þóttist
hann;hann
ok;og
ekki;ekki
mega;mega
þola;þola
,;,
at;að
óhefnt;óhefnt
væri;væri
vígs;vígs
Hafþóris;Hafþóris
,;,
frænda;frænda
síns;síns
.;.
Sætzt;Sæzt
var;var
síðan;síðan
á;á
víg;víg
Sigmundar;Sigmundar
við;við
sonu;syni
hans;hans
,;,
ok;og
dæmdi;dæmdi
Heinrekr;Heinrekur
byskup;biskup
málit;málið
ok;og
Brandr;Brandur
,;,
er;er
síðan;síðan
[;[
var;var
];]
byskup;biskup
at;að
Hólum;Hólum
.;.
Þann;Þann
vetr;vetur
fór;fór
Aron;Aron
mjök;mjög
huldu;huldu
höfði;höfði
,;,
ok;og
sótti;sótti
hann;hann
suðr;suður
á;á
Rosmhvalanes;Romshvalanes
.;.
Dvaldist;Dvaldist
hann;hann
þar;þar
þat;það
,;,
sem;sem
eftir;eftir
var;var
vetrarins;vetrarins
,;,
í;í
valdi;valdi
Einars;Einars
Snorrasonar;Snorrasonar
,;,
móðurbróður;móðurbróður
síns;síns
.;.
Um;Um
várit;vorið
eftir;eftir
fór;fór
Aron;Aron
suðr;suður
um;um
land;land
oií;og
sækir;sækir
heim;heim
virðuligan;virðulegan
mann;mann
,;,
Harald;Harald
Sæmundarson;Sæmundarson
,;,
ok;og
bræðr;bræður
hans;hans
,;,
Vilhjálm;Vilhjálm
ok;og
Filippum;Filippum
.;.
Tóku;Tóku
þeir;þeir
vel;vel
við;við
honum;honum
.;.
Naut;Naut
hann;hann
þar;þar
sem;sem
víða;víða
annars;annars
staðar;staðar
vináttu;vináttu
Guðmundar;Guðmundar
byskups;biskups
,;,
því;því
at;að
þeir;þeir
höfðu;höfðu
hann;hann
lengi;lengi
elskat;elskað
.;.
Kómu;Komu
þeir;þeir
Aroni;Aroni
í;í
skip;skip
ok;og
gott;gott
föruneyti;föruneyti
.;.
Fór;Fór
þat;það
skip;skip
til;til
Nóregs;Noregs
ok;og
varð;varð
vel;vel
reiðfara;reiðfara
,;,
—;—
tóku;tóku
Þrándheim;Þrándheim
,;,
þar;þar
sem;sem
Aron;Aron
myndi;myndi
helzt;helst
kjósa;kjósa
.;.
Þar;Þar
var;var
fyrir;fyrir
Guðmundr;Guðmundur
byskup;biskup
ok;og
Hjörleifr;Hjörleifr
,;,
faðir;faðir
hans;hans
.;.
Tóku;Tóku
þeir;þeir
við;við
honum;honum
með;með
fagnaði;fagnaði
ok;og
þóttust;þóttust
hann;hann
ór;úr
helju;helju
heimtan;heimtan
hafa;hafa
.;.
Þá;Þá
var;var
Skúli;Skúli
jarl;jarl
yfir;yfir
þeim;þeim
þriðjungi;þriðjungi
lands;lands
.;.
Þótti;Þótti
hann;hann
einn;einn
inn;inn
göfgasti;göfgasti
maðr;maður
ok;og
beztr;bestur
íslendingum;íslendingum
.;.
Hafði;Hafði
hann;hann
frétt;frétt
af;af
,;,
í;í
hverjum;hverjum
nauðum;nauðum
Aron;Aron
hafði;hafði
staddr;staddur
verit;verið
á;á
Íslandi;Íslandi
,;,
ok;og
þótti;þótti
hann;hann
sköruliga;skörulega
hafa;hafa
at;að
borit;borið
sik;sig
,;,
við;við
slíka;slíka
höfðingja;höfðingja
sem;sem
eiga;eiga
var;var
.;.
Þann;Þann
vetr;vetur
bauð;bauð
jarl;jarl
honum;honum
hirðvist;hirðvist
,;,
ok;og
þat;það
þekktist;þekktist
Aron;Aron
.;.
Var;Var
nú;nú
orðit;orðit
umskipti;umskipti
á;á
hans;hans
högum;högum
.;.
Jarlinn;Jarlinn
var;var
vel;vel
til;til
hans;hans
ok;og
öll;öll
hirðin;hirðin
.;.
Líðr;Líður
svá;svá
vetrinn;veturinn
,;,
ok;og
kemr;kemr
sumar;sumar
.;.
Flytr;Flytur
Aron;Aron
þat;það
fyrir;fyrir
jarli;jarli
,;,
at;að
hann;hann
vildi;vildi
fara;fara
af;af
landi;landi
brott;brott
,;,
kallast;kallast
hafa;hafa
heitit;heitið
fyrir;fyrir
sér;sér
Jórsalaferð;Jórsalaferð
.;.
Hann;Hann
tók;tók
því;því
seint;seint
.;.
Þetta;Þetta
mál;mál
flutti;flutti
Guðmundr;Guðmundur
byskup;biskup
ok;og
svá;svo
faðir;faðir
Arons;Arons
ok;og
fengu;fengu
ekki;ekki
af;af
.;.
Virðu;Virðu
þeir;þeir
svá;svo
,;,
at;að
honum;honum
þætti;þætti
Aron;Aron
ekki;ekki
kominn;kominn
verr;verr
nær;nær
sér;sér
en;en
firr;fjær
.;.
Þetta;Þetta
