I;Í
þenna;þenna
tíma;tíma
var;var
Þórðr;Þórður
Sighvatsson;Sighvatsson
,;,
er;er
kallaðr;kallaður
var;var
kakali;kakali
,;,
utan;utan
ok;og
hafði;hafði
verit;verið
í;í
Nóregi;Noregi
tvá;tvo
vetr;vetr
.;.
Hann;Hann
var;var
vaskr;vaskur
maðr;maður
ok;og
vel;vel
menntr;menntur
,;,
en;en
ekki;ekki
til;til
spakr;spakur
við;við
drykkinn;drykkinn
,;,
ok;og
því;því
var;var
konungr;konungur
eigi;eigi
jafnblíðr;jafnblíður
til;til
hans;hans
sem;sem
ella;ella
myndi;myndi
.;.
Hann;Hann
var;var
í;í
garði;garði
þeim;þeim
,;,
er;er
Hallvarðsgarðr;Hallvarðsgarður
var;var
kallaðr;kallaður
.;.
Þann;Þann
garð;garð
átti;átti
Hallvarðr;Hallvarður
svarti;svarti
,;,
hirðmaðr;hirðmaður
konungs;konungs
ok;og
inn;inn
mesti;mesti
ofrembingr;ofrembingur
.;.
Ok;og
[;[
var;var
];]
fátt;fátt
með;með
þeim;þeim
,;,
því;því
at;at
metnaðr;metnaður
brauzt;braust
í;í
milli;milli
þeira;þeirra
Þórðar;Þórðar
.;.
Þaðan;Þaðan
skammt;skammt
í;í
brott;brott
var;var
garðr;garður
Arons;Arons
,;,
en;en
þó;þó
var;var
fátt;fátt
með;með
þeim;þeim
Aroni;Aroni
ok;og
Þórði;Þórði
,;,
enda;enda
er;er
þar;þar
jafnan;jafnan
fátt;fátt
,;,
er;er
ólíkara;ólíkara
er;er
til;til
.;.
Þenna;Þenna
vetr;vetr
var;var
Bárðr;Bárður
,;,
bróðir;bróðir
Arons;Arons
,;,
á;á
vist;vist
með;með
honum;honum
ok;og
var;var
jafnan;jafnan
í;í
skemmtan;skemmtan
með;með
Þórði;Þórði
,;,
því;því
at;at
vegir;vegir
hans;hans
lágu;lágu
til;til
Íslands;Íslands
,;,
ok;og
vildi;vildi
hann;hann
hallast;hallast
til;til
við;við
hann;hann
.;.
Ok;og
tók;tók
Þórðr;Þórður
því;því
vel;vel
,;,
en;en
Aron;Aron
lagði;lagði
þar;þar
ekki;ekki
til;til
.;.
Þórðr;Þórður
helt;helt
sik;sig
kappsamliga;kappsamlega
ok;og
sína;sína
menn;menn
,;,
ok;og
varð;varð
honum;honum
kostnaðarsamt;kostnaðarsamt
,;,
ok;og
gekk;gekk
upp;upp
féit;féið
mjök;mjög
.;.
Þá;Þá
var;var
með;með
honum;honum
Hrani;Hrani
Koðránsson;Koðránsson
,;,
fylgdarmaðr;fylgdarmaður
hans;hans
,;,
ok;og
Þórðr;Þórður
þumli;þumli
,;,
inn;hinn
þriði;þriðji
Pétr;Pétur
,;,
inn;hinn
fjórði;fjórði
var;var
skósveinn;skósveinn
,;,
er;er
Eysteinn;Eysteinn
hét;hét
.;.
Þat;það
bar;bar
til;til
eitt;eiðt
kveld;kveld
,;,
at;að
Þórðr;Þórður
drakk;drakk
í;í
skytningi;skytningi
,;,
þar;þar
sem;sem
drykkr;drykkur
var;var
áfengr;áfengur
.;.
Ok;og
er;er
á;á
leið;leið
kveldit;kveldið
,;,
gengu;gengu
þeir;þeir
menn;menn
í;í
brott;brott
,;,
er;er
stillingar;stillingar
[;[
menn;menn
];]
váru;voru
.;.
En;En
Þórðr;Þórður
sat;sat
eftir;eftir
ok;og
nökkurir;nokkrir
handgengir;handgengir
menn;menn
.;.
En;En
er;er
á;á
leið;leið
náttina;náttina
,;,
sló;sló
í;í
kappmæli;kappmæli
með;með
þeim;þeim
ok;og
áhöld;áhöld
,;,
svá;svo
at;at
þeir;þeir
börðust;börðust
með;með
hornum;hornum
ok;og
skriðljósum;skriðljósum
.;.
Þórðr;Þórður
var;var
harðgerr;harðgerður
maðr;maður
ok;og
aflamikill;aflamikill
.;.
Urðu;Urðu
þeir;þeir
mjök;mjög
vanhluta;vanhluta
,;,
er;er
í;í
móti;móti
váru;voru
,;,
ok;og
urðu;urðu
bæði;bæði
bláir;bláir
ok;og
blóðugir;blóðugir
.;.
Váru;voru
þeir;þeir
skildir;skildir
um;um
síðir;síðir
,;,
ok;og
ferr;ferr
hverr;hverr
til;til
síns;síns
herbergis;herbergis
ok;og
sofa;sofa
af;af
náttina;nóttina
.;.
Eftir;Eftir
þat;það
kemr;kemr
morginn;morgunn
,;,
ok;og
er;er
tíðum;tíðum
var;var
lokit;logið
,;,
ganga;ganga
þeir;þeir
fyrir;fyrir
konung;konung
,;,
er;er
vanhluta;vanhluta
höfðu;höfðu
orðit;orðið
,;,
ok;og
segja;segja
honum;honum
.;.
Konungr;Konungur
leggr;leggur
nú;nú
fæð;fæð
á;á
Þórð;Þórð
,;,
en;en
semr;semur
þó;þó
málit;málið
.;.
