Nú;Nú
er;er
at;at
segja;segja
frá;frá
Aroni;Aroni
ok;og
hans;hans
förunautum;förunautum
,;,
at;að
þeir;þeir
höfðu;höfðu
ekki;ekki
mikinn;mikinn
váða;váða
af;af
veðri;veðri
í;í
ferð;ferð
þessi;þessi
.;.
En;En
er;er
þeir;þeir
þóttust;þóttust
komnir;komnir
ór;úr
inum;hinum
mesta;mesta
háska;háska
fyrir;fyrir
ófriði;ófriði
at;að
sinni;sinni
,;,
þá;þá
leitar;leitar
Árni;Árni
prestr;prestur
til;til
sára;sára
Arons;Arons
,;,
ok;og
finnast;finnast
þrjú;þrjú
eggbitin;eggbitin
,;,
en;en
búkr;búkur
hans;hans
var;var
víða;víða
blár;blár
ok;og
eggbitinn;eggbitinn
.;.
Steypa;Steypa
í;í
síðan;síðan
byskupsvatni;biskupsvatni
ok;og
binda;binda
um;um
eftir;eftir
þat;þat
.;.
Nú;Nú
er;er
ekki;ekki
getit;getið
um;um
ferð;ferð
þeira;þeira
,;,
fyrr;fyrr
en;en
þeir;þeir
kómu;komu
…;…
settu;settu
þar;þar
upp;upp
skip;skip
sitt;sitt
,;,
sem;sem
þeim;þeim
þótti;þótti
vænligast;vænligast
,;,
at;að
vel;vel
myndi;myndi
komit;komið
vera;vera
.;.
Gengu;Gengu
nú;nú
til;til
þess;þess
bæjar;bæjar
,;,
er;er
þar;þar
var;var
næstr;næstr
,;,
ok;ok
beiddu;beiddu
bónda;bónda
viðtöku;viðtöku
þá;þá
nótt;nótt
,;,
en;en
bóndi;bóndi
gerði;gerði
þeim;þeim
kost;kost
á;á
með;með
einhverju;einhverju
móti;móti
.;.
Gengu;Gengu
inn;inn
eftir;eftir
[;[
þat;þat
];]
ok;og
settust;settust
niðr;niður
brátt;brátt
,;,
því;því
at;að
þeir;þeir
váru;váru
mjök;mjög
farmóðir;farmóðir
,;,
en;en
sumum;sumum
helt;helt
enn;enn
fleira;fleira
til;til
.;.
Eftir;Eftir
þat;það
spyrr;spyr
bóndi;bóndi
at;at
tíðendum;tíðendum
vandliga;vandliga
,;,
en;en
þeir;þeir
segja;segja
honum;honum
af;af
it;hið
ljósasta;ljósasta
.;.
Eru;Eru
þeir;þeir
þar;þar
nökkurar;nokkrar
nætr;nætur
.;.
