Inn;Hinn
þriði;þriðji
áss;ás
er;er
sá;sá
,;,
er;er
kallaðr;kallaður
er;er
Njörðr;Njörður
.;.
Hann;Hann
býr;býr
á;á
himni;himni
,;,
þar;þar
sem;sem
heitir;heitir
Nóatún;Nóatún
.;.
Hann;Hann
ræðr;ræður
fyrir;fyrir
göngu;göngu
vinds;vinds
ok;og
stillir;stillir
sjá;sjá
ok;og
eld;eld
.;.
Á;Á
hann;hann
skal;skal
heita;heita
til;til
sæfara;sæfara
ok;og
til;til
veiða;veiða
.;.
Hann;Hann
er;er
svá;svo
auðigr;auðugr
ok;og
fésæll;fésæll
,;,
at;að
hann;hann
má;má
gefa;gefa
þeim;þeim
auð;auð
landa;landa
eða;eða
lausafjár;lausafjár
.;.
Á;Á
hann;hann
skal;skal
til;til
þess;þess
heita;heita
.;.
Eigi;Eigi
er;er
Njörðr;Njörður
ása;ása
ættar;ættar
.;.
Hann;Hann
var;var
upp;upp
fæddr;fæddur
í;í
Vanaheimi;Vanaheimi
,;,
en;en
Vanir;Vanir
gísluðu;gísluðu
hann;hann
goðunum;goðunum
ok;ok
tóku;tóku
í;í
mót;mót
at;að
gíslingu;gíslingu
þann;þann
,;,
er;er
Hænir;Hænir
heitir;heitir
.;.
Hann;Hann
varð;varð
at;að
sætt;sætt
með;með
goðum;goðum
ok;og
Vönum;Vönum
.;.
Njörðr;Njörður
á;á
þá;þá
konu;konu
,;,
er;er
Skaði;Skaði
heitir;heitir
,;,
dóttir;dóttir
Þjaza;Þjaza
jötuns;jötuns
.;.
Skaði;Skaði
vill;vill
hafa;hafa
bústað;bústað
þann;þann
,;,
er;er
átt;átt
hafði;hafði
faðir;faðir
hennar;hennar
,;,
þat;það
er;er
á;á
fjöllum;fjöllum
nökkurum;nokkrum
,;,
þar;þar
sem;sem
heitir;heitir
Þrymheimr;Þrymheimur
,;,
en;en
Njörðr;Njörður
vill;vill
vera;vera
nær;nær
sæ;sæ
.;.
Þau;Þau
sættust;sættust
á;á
þat;það
,;,
at;að
þau;þau
skyldu;skyldu
vera;vera
níu;níu
nætr;nætur
í;í
Þrymheimi;Þrymheimi
,;,
en;en
þá;þá
aðrar;aðrar
níu;níu
at;at
Nóatúnum;Nóatúnum
.;.
En;En
er;er
Njörðr;Njörðr
kom;kom
aftr;aftur
til;til
Nóatúna;Nóatúna
af;af
fjallinu;fjallinu
,;,
þá;þá
kvað;kvað
hann;hann
þetta;þetta
:;:
Þá;Þá
kvað;kvað
Skaði;Skaði
þetta;þetta
:;:
Þá;Þá
fór;fór
Skaði;Skaði
upp;upp
á;á
fjall;fjall
ok;og
byggði;byggði
í;í
Þrymheimi;Þrymheimi
,;,
ok;ok
ferr;fer
hon;hún
mjök;mjög
á;á
skíðum;skíðum
ok;og
með;með
boga;boga
skýtr;skýtur
dýr;dýr
.;.
Hon;Hún
heitir;heitir
öndurgoð;öndurgoð
eða;eða
öndurdís;öndurdís
.;.
Svá;Svo
er;er
sagt;sagt
:;:
