Almáttigr;Almáttugur
guð;guð
skapaði;skapaði
í;í
upphafi;upphafi
himin;himin
ok;og
jörð;jörð
ok;og
alla;alla
þá;þá
hluti;hluti
,;,
er;er
þeim;þeim
fylgja;fylgja
,;,
og;og
síðast;síðast
menn;menn
tvá;tvo
,;,
er;er
ættir;ættir
eru;eru
frá;frá
komnar;komnar
,;,
Adam;Adam
ok;og
Evu;Evu
,;,
ok;og
fjölgaðist;fjölgaðist
þeira;þeirra
kynslóð;kynslóð
ok;og
dreifðist;dreifðist
um;um
heim;heim
allan;allan
.;.
En;En
er;er
fram;fram
liðu;liðu
stundir;stundir
,;,
þá;þá
ójafnaðist;ójafnaðist
mannfólkit;mannfólkið
.;.
Váru;voru
sumir;sumir
góðir;góðir
ok;og
rétttrúaðir;réttturúaðir
,;,
en;en
miklu;miklu
fleiri;fleiri
snerust;snerust
eftir;eftir
girnðum;girnðum
heimsins;heimsins
ok;og
órækðu;órækðu
guðs;guðs
boðorð;boðorð
,;,
ok;og
fyrir;fyrir
því;því
drekkði;drekkði
guð;guð
heiminum;heiminum
í;í
sjóvargangi;sjóvargangi
ok;og
öllum;öllum
kykvendum;kykvendum
heimsins;heimsins
nema;nema
þeim;þeim
,;,
er;er
í;í
örkinni;örkinni
váru;voru
með;með
Nóa;Nóa
.;.
Eftir;Eftir
Nóaflóð;Nóaflóð
lifðu;lifðu
átta;átta
menn;menn
,;,
þeir;þeir
er;er
heiminn;heiminn
byggðu;byggðu
,;,
ok;og
kómu;komu
frá;frá
þeim;þeim
ættir;ættir
,;,
ok;og
varð;varð
enn;enn
sem;sem
fyrr;fyrr
,;,
at;að
þá;þá
er;er
fjölmenntist;fjölmenntist
ok;og
byggðist;byggðist
veröldin;veröldin
,;,
þá;þá
var;var
þat;það
allr;allur
fjölði;fjöldi
mannfólksins;mannfólksins
,;,
er;er
elskaði;elskaði
ágirni;ágirni
fjár;fjár
ok;og
metnaðar;metnaðar
,;,
en;en
afrækðust;afrækðust
guðs;guðs
hlýðni;hlýðni
,;,
ok;og
svá;svo
mikit;mikið
gerðist;gerðist
at;að
því;því
,;,
at;að
þeir;þeir
vildu;vildu
eigi;eigi
nefna;nefna
guð;guð
.;.
En;En
hverr;hver
myndi;myndi
þá;þá
frá;frá
segja;segja
sonum;sonum
þeira;þeirra
frá;frá
guðs;guðs
stórmerkjum;stórmerkjum
?;?
Svá;Svo
kom;kom
,;,
at;að
þeir;þeir
týndu;týndu
guðs;guðs
nafni;nafni
,;,
ok;og
víðast;víðast
um;um
veröldina;veröldina
fannst;fannst
eigi;eigi
sá;sá
maðr;maður
,;,
er;er
deili;deili
kunni;kunni
á;á
skapara;skapara
sínum;sínum
.;.
En;En
eigi;eigi
at;að
síðr;síður
veitti;veitti
guð;guð
þeim;þeim
jarðligar;jarðlegar
giftir;giftir
,;,
fé;fé
ok;og
sælu;sælu
,;,
er;er
þeir;þeir
skyldu;skyldu
við;við
vera;vera
í;í
heiminum;heiminum
.;.
Miðlaði;Miðlaði
hann;hann
ok;og
spekðina;spektina
,;,
svá;svo
at;að
þeir;þeir
skilðu;skilðu
alla;alla
jarðliga;jarðlega
hluti;hluti
ok;og
allar;allar
greinar;greinar
,;,
þær;þær
er;er
sjá;sjá
mátti;mátti
loftsins;loftsins
ok;og
jarðarinnar;jarðarinnar
.;.
Þat;Það
hugsuðu;hugsuðu
þeir;þeir
ok;og
undruðust;undruðust
,;,
hví;hví
þat;það
myndi;myndi
gegna;gegna
,;,
er;er
jörðin;jörðin
ok;og
dýrin;dýrin
ok;og
fuglarnir;fuglarnir
höfðu;höfðu
saman;saman
eðli;eðli
í;í
sumum;sumum
hlutum;hlutum
ok;og
þó;þó
ólík;ólík
at;að
hætti;hætti
.;.
Þat;Það
var;var
eitt;eitt
eðli;eðli
,;,
að;að
jörðin;jörðin
var;var
grafin;grafin
í;í
hám;hám
fjalltindum;fjalltindum
ok;og
spratt;spratt
þar;þar
vatn;vatn
upp;upp
,;,
ok;og
þurfti;þurfti
þar;þar
eigi;eigi
lengra;lengra
at;að
grafa;gurafa
til;til
vatns;vaðns
en;en
í;í
djúpum;djúpum
dölum;dölum
.;.
Svá;Svo
er;er
ok;og
dýr;dýr
ok;og
fuglar;fuglar
,;,
at;að
jafnlangt;jafnlangt
er;er
til;til
blóðs;blóðs
í;í
höfði;höfði
ok;og
fótum;fótum
.;.
Önnur;Önnur
náttúra;náttúra
er;er
sú;sú
jarðar;jarðar
,;,
at;að
á;á
hverju;hverju
ári;ári
vex;vex
á;á
jörðinni;jörðinni
gras;gras
ok;og
blóm;blóm
,;,
ok;og
á;á
sama;sama
ári;ári
fellr;fellr
þat;það
allt;allt
ok;og
fölnar;fölnar
,;,
svá;svo
ok;og
dýr;dýr
ok;og
fuglar;fuglar
,;,
at;að
vex;vex
hár;hár
ok;og
fjaðrar;fjaðrar
ok;og
fellr;fellur
af;af
á;á
hverju;hverju
ári;ári
.;.
Þat;Það
er;er
in;in
þriðja;þriðja
náttúra;náttúra
jarðar;jarðar
,;,
þá;þá
er;er
hon;hún
er;er
opnuð;opnuð
ok;og
grafin;grafin
,;,
þá;þá
grær;grær
gras;gras
á;á
þeiri;þeirri
moldu;moldu
,;,
er;er
efst;efst
er;er
á;á
jörðinni;jörðinni
.;.
Björg;Björg
ok;og
steina;steina
þýddu;þýddu
þeir;þeir
móti;móti
tönnum;tönnum
ok;og
beinum;beinum
kvikenda;kvikinda
.;.
Af;Af
þessu;þessu
skilðu;skilðu
þeir;þeir
svá;svo
,;,
at;að
jörðunni;jörðinni
væri;væri
kvik;kvik
ok;og
hefði;hefði
líf;líf
með;með
nökkurum;nokkrum
hætti;hætti
,;,
ok;og
vissu;vissu
þeir;þeir
,;,
at;að
hon;hún
furðuliga;furðulega
gömul;gömul
at;að
aldartali;aldartali
ok;og
máttug;máttug
í;í
eðli;eðli
.;.
Hon;Hon
fæddi;fæddi
öll;öll
kykvendi;kvikindi
,;,
ok;og
hon;hún
eignaðist;eignaðist
allt;allt
þat;það
,;,
er;er
dó;dó
.;.
Fyrir;Fyrir
þá;þá
sök;sök
gáfu;gáfu
þeir;þeir
henni;henni
nafn;nafn
ok;og
tölðu;tölðu
ætt;ætt
sína;sína
til;til
hennar;hennar
.;.
Þat;Það
sama;sama
spurðu;spurðu
þeir;þeir
af;af
gömlum;gömlum
frændum;frændum
sínum;sínum
,;,
at;að
síðan;síðan
er;er
talið;talið
váru;voru
mörg;mörg
hundruð;hundruð
vetra;vetra
,;,
þá;þá
var;var
in;hin
sama;sama
jörð;jörð
ok;og
sól;sól
ok;og
himintungl;himintungl
,;,
en;en
gangr;gangur
himintunglanna;himintunglanna
var;var
ójafn;ójafn
.;.
Áttu;Áttu
sum;sum
lengra;lengra
gang;gang
,;,
en;en
sum;sum
skemmra;skemmra
.;.
Af;Af
þvílíkum;þvílíkum
hlutum;hlutum
grunaði;gurunaði
þá;þá
,;,
at;að
nökkurr;nogkurr
myndi;myndi
vera;vera
stjórnari;stjórnari
himintunglanna;himintunglanna
,;,
sá;sá
er;er
stilla;stilla
myndi;myndi
gang;gang
þeira;þeira
at;að
vilja;vilja
sínum;sínum
,;,
ok;og
myndi;myndi
sá;sá
vera;vera
ríkr;ríkur
mjök;mjög
ok;og
máttigr;máttugur
.;.
Ok;og
þess;þess
væntu;væntu
þeir;þeir
,;,
ef;ef
hann;hann
réði;réði
fyrir;fyrir
höfuðskepnunum;höfuðskepnunum
,;,
at;að
hann;hann
myndi;myndi
ok;og
fyrr;fyrr
verit;verit
hafa;hafa
en;en
himintunglin;himintunglin
,;,
ok;og
þat;það
sá;sá
þeir;þeir
,;,
ef;ef
hann;hann
ræðr;ræður
gangi;gangi
himintunglanna;himintunglanna
,;,
at;að
hann;hann
myndi;myndi
ráða;ráða
skini;skini
sólar;sólar
ok;og
dögg;dögg
loftsins;loftsins
ok;og
ávexti;ávexti
jarðarinnar;jarðarinnar
,;,
er;er
því;því
fylgir;fylgir
,;,
ok;og
slíkt;slíkt
sama;sama
vindinum;vindinum
loftsins;loftsins
ok;og
þar;þar
með;með
stormi;stormi
sævarins;sævarins
.;.
Þá;Þá
vissu;vissu
þeir;þeir
eigi;eigi
,;,
hvar;hvar
ríki;ríki
hans;hans
var;var
,;,
en;en
því;því
trúðu;turúðu
þeir;þeir
,;,
at;að
hann;hann
réð;réð
öllum;öllum
hlutum;hlutum
á;á
jörðu;jörðu
