Hér;Hér
skal;skal
heyra;heyra
,;,
hvé;hve
skáldin;skáldin
hafa;hafa
kennt;kennt
skáldskapinn;skáldskapinn
eftir;eftir
þessum;þessum
heitum;heitum
,;,
er;er
áðr;áður
eru;eru
rituð;rituð
,;,
svá;svo
sem;sem
er;er
at;að
kalla;kalla
Kvasis;Kvasis
dreyra;dreyra
ok;og
dverga;dverga
skip;skip
,;,
dverga;dverga
mjöð;mjöð
,;,
jötna;jötna
mjöð;mjöð
,;,
Suttunga;Suttunga
mjöð;mjöð
,;,
Óðins;Óðins
mjöð;mjöð
,;,
ása;ása
mjöð;mjöð
,;,
föðurgjöld;föðurgjöld
jötna;jötna
,;,
lögr;lögur
Óðreris;Óðreris
ok;og
Boðnar;Boðnar
ok;og
Sónar;Sónar
ok;og
fyllr;fyllir
,;,
lögr;lögur
Hnitbjarga;Hnitbjarga
,;,
fengr;fengur
ok;og
fundr;fundur
ok;og
farmr;farmur
ok;og
gjöf;gjöf
Óðins;Óðins
,;,
svá;svo
sem;sem
hér;hér
er;er
kveðit;kveðit
,;,
er;er
orti;orti
Einarr;Einar
skálaglamm;skálaglamm
:;:
Ok;Ok
sem;sem
kvað;kvað
Einarr;Einarr
enn;enn
skálaglamm;skálaglamm
:;:
Svá;Svo
sem;sem
kvað;kvað
Ormr;Ormr
Steinþórsson;Steinþórsson
:;:
Ok;Og
sem;sem
Refr;Refur
kvað;kvað
:;:
Svá;Svo
sem;sem
kvað;kvað
Egill;Egill
:;:
Ok;Og
sem;sem
kvað;kvað
Glúmr;Glúmur
Geirason;Geirason
:;:
Ok;Og
sem;sem
kvað;kvað
Eyvindr;Eyvindur
:;:
Svá;Svo
sem;sem
Einarr;Einar
kvað;kvað
skálaglamm;skálaglamm
:;:
Ok;Og
enn;enn
sem;sem
hann;hann
kvað;kvað
:;:
Ok;Og
sem;sem
kvað;kvað
Eilífr;Eilífur
Guðrúnarson;Guðrúnarson
:;:
Svá;Svo
sem;sem
kvað;kvað
Völu;Völu
-;-
Steinn;Steinn
:;:
Svá;Svo
kvað;kvað
Ormr;Ormur
Steinþórsson;Steinþórsson
:;:
Svá;Svo
kvað;kvað
Úlfr;Úlfur
Uggason;Uggason
:;:
Skáldskapr;Skáldskapur
er;er
kallaðr;kallaður
sjár;sjór
eða;eða
lögr;lögur
dverganna;dverganna
,;,
fyrir;fyrir
því;því
at;að
Kvasis;Kvasis
blóð;blóð
var;var
lögr;lögur
í;í
Óðreri;Óðreri
,;,
áðr;áður
mjöðrinn;mjöðurinn
væri;væri
gerr;gerður
,;,
ok;og
þar;þar
gerðist;gerðist
hann;hann
í;í
katlinum;katlinum
,;,
ok;og
er;er
hann;hann
kallaðr;kallaður
fyrir;fyrir
því;því
hverlögr;hverlögur
Óðins;Óðins
,;,
svá;svá
sem;sem
kvað;kvað
Eyvindr;Eyvindur
ok;og
fyrr;fyrr
var;var
ritat;ritað
:;:
Enn;Enn
er;er
kallaðr;kallaður
skáldskaprinn;skáldskapurinn
far;far
eða;eða
líð;líð
dverganna;dverganna
.;.
Líð;Líð
heitir;heitir
öl;öl
,;,
,;,
ok;og
líð;líð
heitir;heitir
skip;skip
.;.
Svá;Svo
er;er
tekit;tekið
til;til
dæma;dæma
,;,
at;að
skáldskapr;skáldskapur
er;er
nú;nú
kallaðr;kallaður
fyrir;fyrir
því;því
skip;skip
dverga;dverga
,;,
svá;svo
sem;sem
hér;hér
segir;segir
:;:
