Svá;Svo
er;er
sagt;sagt
at;að
Óðinn;Óðinn
gerði;gerði
þat;það
til;til
yfirbóta;yfirbóta
við;við
Skaða;Skaða
at;að
hann;hann
tók;tók
augu;augu
Þjaza;Þjassa
ok;og
kastaði;kastaði
upp;upp
á;á
himin;himin
og;og
gerði;gerði
af;af
stjörnur;stjörnur
tvær;tvær
.;.
Þá;Þá
mælti;mælti
Ægir;Ægir
:;:
Mikill;Mikill
þykkir;þykir
mér;mér
Þjazi;Þjazi
fyrir;fyrir
sér;sér
hafa;hafa
verit;verið
eða;eða
hvers;hvers
kyns;kyns
var;var
hann;hann
?;?
Bragi;Bragi
svarar;svarar
:;:
Ölvaldi;Ölvaldi
hét;hét
faðir;faðir
hans;hans
og;og
merki;merki
munu;munu
þér;þér
at;að
þykkja;þkkja
ef;ef
ek;ég
segi;segi
þér;þér
frá;frá
honum;honum
.;.
Hann;Hann
var;var
mjök;mjög
gullauðigr;gullauðugur
.;.
En;En
er;er
hann;hann
dó;dó
ok;og
synir;synir
hans;hans
skyldu;skyldu
skipta;skipta
arfi;arfi
þá;þá
höfðu;höfðu
þeir;þeir
mæling;mæling
á;á
gullinu;gullinu
er;er
þeir;þeir
skiptu;skiptu
at;að
hverr;hver
skyldi;skyldi
taka;taka
munnfylli;munnfylli
sína;sína
ok;og
allir;allir
jafnmargar;jafnmargar
.;.
Einn;Einn
þeira;þeirra
var;var
Þjazi;Þjassi
annarr;annar
,;,
Iði;Iði
þriði;þriðji
Gangr;Gangur
.;.
En;En
þat;það
höfum;höfum
vér;vér
orðtak;orðtak
nú;nú
með;með
oss;oss
at;að
kalla;kalla
gullit;gullið
munntal;munntal
þessa;þessa
jötna;jötna
en;en
vér;vér
felum;felum
í;í
rúnum;rúnum
eða;eða
í;í
skáldskap;skáldskap
svá;svo
at;að
vér;vér
köllum;köllum
þat;það
mál;mál
eða;eða
orð;orð
eða;eða
tal;tal
þessa;þessa
jötna;jötna
.;.
Þá;Þá
mælti;mælti
Ægir;Ægir
:;:
Þat;Það
þykkir;þykir
mér;mér
vel;vel
fólgit;fólgið
í;í
rúnum;rúnum
.;.
