Nú;Nú
skal;skal
enn;enn
segja;segja
dæmi;dæmi
,;,
af;af
hverju;hverju
þær;þær
kenningar;kenningar
eru;eru
,;,
er;er
nú;nú
váru;voru
ritaðar;ritaðar
,;,
er;er
áðr;áður
váru;voru
eigi;eigi
dæmi;dæmi
til;til
sögð;sögð
,;,
svá;svo
sem;sem
Bragi;Bragi
sagði;sagði
Ægi;Ægi
,;,
at;að
Þórr;Þór
var;var
farinn;farinn
í;í
austrvega;austurvega
at;að
berja;berja
troll;tröll
,;,
en;en
Óðinn;Óðinn
reið;reið
Sleipni;Sleipni
í;í
Jötunheima;Jötunheima
ok;og
kom;kom
til;til
þess;þess
jötuns;jötuns
,;,
er;er
Hrungnir;Hrungnir
hét;hét
.;.
Þá;Þá
spyrr;spyr
Hrungnir;Hrungnir
,;,
hvat;hvað
manna;manna
sá;sá
er;er
með;með
gullhjálminn;gullhjálminn
,;,
er;er
ríðr;ríður
loft;loft
ok;og
,;,
lög;lög
ok;og
segir;segir
,;,
at;að
hann;hann
á;eigi
furðugóðan;furðugóðan
hest;hest
.;.
Óðinn;Óðinn
sagði;sagði
,;,
at;að
þar;þar
vill;vill
hann;hann
veðja;veðja
fyrir;fyrir
höfði;höfði
sínu;sínu
,;,
at;að
engi;enginn
hestr;hestur
skal;skal
vera;vera
jafngóðr;jafngóður
í;í
Jötunheimum;Jötunheimum
.;.
Hrungnir;Hrungnir
segir;segir
,;,
at;að
sá;sá
er;er
góðr;góður
hestr;hestur
,;,
en;en
hafa;hafa
lézt;lést
hann;hann
mundu;mundu
miklu;miklu
stórfetaðra;stórfetaðra
hest;hest
.;.
Sá;Sá
heitir;heitir
Gullfaxi;Gullfaxi
.;.
Hrungnir;Hrungnir
varð;varð
reiðr;reiður
ok;og
hleypr;hleypur
upp;upp
á;á
hest;hest
sinn;sinn
ok;og
hleypir;hleypir
eftir;eftir
honum;honum
ok;og
hyggr;hyggur
at;að
launa;launa
honum;honum
ofrmæli;ofurmæli
.;.
Óðinn;Óðinn
hleypir;hleypur
svá;svo
mikit;mikið
,;,
at;að
hann;hann
var;var
á;á
öðru;öðru
leiti;leiti
fyrir;fyrir
,;,
en;en
Hrungnir;Hrungnir
hafði;hafði
svá;svo
mikinn;mikinn
jötunmóð;jötunmóð
,;,
at;að
hann;hann
fann;fann
eigi;eigi
fyrr;fyrr
en;en
hann;hann
kom;kom
inn;inn
of;of
ásgrindr;ásgrindur
.;.
Ok;Og
er;er
hann;hann
kom;kom
at;að
hallardurum;hallardyrum
,;,
buðu;buðu
æsir;æsir
honum;honum
til;til
drykkju;drykkju
.;.
Hann;Hann
gekk;gekk
í;í
höllina;höllina
ok;og
bað;bað
fá;fá
sér;sér
at;að
drekka;drekka
.;.
Váru;Voru
þá;þá
teknar;teknar
þær;þær
skálir;skálir
,;,
er;er
Þórr;Þór
var;var
vanr;vanur
at;að
drekka;drekka
af;af
,;,
ok;og
snerti;snerti
Hrungnir;Hrungnir
ór;úr
hverri;hverri
.;.
En;En
er;er
hann;hann
gerðist;gerðist
drukkinn;drukkinn
,;,
þá;þá
skorti;skorti
eigi;eigi
stór;stór
orð;orð
.;.
Hann;Hann
lézt;lét
skyldu;skyldu
taka;taka
upp;upp
Valhöll;Valhöll
ok;og
færa;færa
í;í
Jötunheima;Jötunheima
,;,
en;en
sökkva;sökkva
Ásgarði;Ásgarði
,;,
en;en
drepa;drepa
goð;goð
,;,
öll;öll
nema;nema
Freyju;Freyju
ok;og
Sif;Sif
vill;vill
hann;hann
heim;heim
hafa;hafa
með;með
sér;sér
,;,
en;en
Freyja;Freyja
ein;ein
þorir;þorir
þá;þá
at;at
skenkja;skenkja
honum;honum
,;,
ok;og
drekka;drekka
lézt;lést
hann;hann
mundu;mundu
allt;allt
ásaöl;ásaöl
.;.
En;En
er;er
ásum;ásum
leiddust;leiddust
ofryrði;ofuryrði
hans;hans
,;,
þá;þá
nefna;nefna
þeir;þeir
Þór;Þór
.;.
Því;Því
næst;næst
kom;kom
Þórr;Þór
í;í
höllina;höllina
ok;og
hafði;hafði
á;á
lofti;lofti
hamarinn;hamarinn
ok;og
var;var
allreiðr;allreiður
ok;og
spyrr;spyr
,;,
hverr;hver
því;því
ræðr;ræðr
,;,
er;er
jötnar;jötnar
hundvísir;hundvísir
skulu;skulu
þar;þar
drekka;drekka
,;,
eða;eða
hverr;hverr
seldi;seldi
Hrungni;Hrungni
grið;grið
at;at
vera;vera
í;í
Valhöll;Valhöll
eða;eða
hví;hví
Freyja;Freyja
skal;skal
skenkja;skenkja
honum;honum
sem;sem
at;að
gildi;gildi
ása;ása
.;.
Þá;Þá
svarar;svarar
Hrungnir;Hrungnir
ok;og
sér;sér
ekki;ekki
vinaraugum;vinaraugum
til;til
Þórs;Þórs
,;,
sagði;sagði
at;að
Óðinn;Óðinn
bauð;bauð
honum;honum
til;til
drykkju;drykkju
ok;og
hann;hann
var;var
á;á
hans;hans
griðum;griðum
.;.
Þá;Þá
mælti;mælti
Þór;Þór
,;,
at;að
þess;þess
boðs;boðs
skal;skal
Hrungnir;Hrungnir
iðrast;iðrast
,;,
áðr;áður
hann;hann
komi;komi
út;út
.;.
Hrungnir;Hrungnir
segir;segir
,;,
at;að
Ása;Ása
-;-
Þór;Þór
er;er
þat;það
lítill;lítill
frami;frami
at;að
drepa;drepa
hann;hann
vápnlausan;vápnlausan
.;.
Hitt;Hitt
er;er
meiri;meiri
hugraun;hugraun
,;,
ef;ef
hann;hann
þorir;þorir
at;að
berjast;berjast
við;við
hann;hann
at;að
landamæri;landamæri
á;á
Grjóttúnagörðum;Grjóttúnagörðum
,;,
-;-
ok;ok
hefir;hefur
þat;það
verit;verið
mikit;mikið
fólskuverk;fólskuverk
,;,
sagði;sagði
hann;hann
,;,
er;er
ek;ég
lét;lét
eftir;eftir
heima;heima
skjöld;skjöld
minn;minn
ok;og
hein;hein
.;.
En;En
ef;ef
ek;ég
hefða;hefði
hér;hér
vápn;vopn
mín;mín
,;,
þá;þá
skyldum;skyldum
vit;vit
nú;nú
reyna;reyna
hólmgönguna;hólmgönguna
,;,
en;en
at;að
öðrum;öðrum
kosti;kosti
legg;legg
ek;ég
þér;þér
við;við
níðingsskap;níðingsskap
,;,
ef;ef
þú;þú
vill;vill
drepa;drepa
mik;mig
vápnlausan;vápnlausan
.;.
Þór;Þór
vill;vill
fyrir;fyrir
engan;engan
mun;mun
bila;bila
at;að
koma;koma
til;til
einvígis;einvígis
,;,
er;er
honum;honum
var;var
hólmr;hólmur
skoraðr;skoraður
,;,
því;því
at;at
engi;engi
hafði;hafði
honum;honum
þat;það
fyrr;fyrr
veitt;veitt
.;.
Fór;Fór
þá;þá
Hrungnir;Hrungnir
braut;braut
leið;leið
sína;sína
ok;ok
hleypði;hleypði
ákafliga;ákaflega
,;,
þar;þar
til;til
er;er
hann;hann
kom;kom
í;í
Jötunheima;Jötunheima
,;,
ok;og
varð;varð
ferð;ferð
hans;hans
allfræg;allfræg
með;með
jötnum;jötnum
ok;og
þat;það
,;,
at;að
stefnulag;stefnulag
var;var
komit;komið
á;á
með;með
þeim;þeim
Þór;Þór
.;.
Þóttust;Þóttust
jötnar;jötnar
hafa;hafa
mikit;mikið
í;í
ábyrgð;ábyrgð
,;,
hvárr;hvor
sigr;sigur
fengi;fengi
.;.
Þeim;Þeim
var;var
ills;ills
ván;von
af;af
Þór;Þór
,;,
ef;ef
Hrungnir;Hrungnir
léti;léti
,;,
fyrir;fyrir
því;því
at;að
hann;hann
var;var
þeira;þeirra
sterkastr;sterkastur
.;.
Þá;Þá
gerðu;gerðu
jötnar;jötnar
mann;mann
á;á
Grjóttúnagörðum;Grjóttúnagörðum
af;af
leiri;leiri
,;,
ok;og
var;var
hann;hann
níu;níu
rasta;rasta
hár;hár
,;,
en;en
þriggja;þriggja
breiðr;breiður
undir;undir
hönd;hönd
,;,
en;en
ekki;ekki
fengu;fengu
þeir;þeir
hjarta;hjarta
svá;svo
mikit;mikið
,;,
at;að
honum;honum
sómði;sæmdi
,;,
fyrr;fyrr
en;en
þeir;þeir
tóku;tóku
úr;úr
meri;meri
nökkurri;nokkurri
,;,
ok;og
varð;varð
honum;honum
þar;þar
eigi;eigi
stöðugt;stöðugt
,;,
þá;þá
er;er
Þórr;Þór
kom;kom
.;.
Hrungnir;Hrungnir
átti;átti
hjarta;hjarta
þat;það
,;,
er;er
frægt;frægt
er;er
,;,
af;af
hörðum;hörðum
steini;steini
ok;og
tindótt;tindótt
með;með
þrimr;þremur
hornum;hornum
,;,
svá;svo
sem;sem
síðan;síðan
er;er
gert;gert
ristubragð;ristubragð
þar;þar
,;,
er;er
Hrungnishjarta;Hrungnishjarta
heitir;heitir
.;.
Af;Af
steini;steini
var;var
ok;og
höfuð;höfuð
hans;hans
.;.
Skjöldr;Skjöldur
hans;hans
var;var
ok;og
steinn;steinn
,;,
víðr;víður
ok;og
þjokkr;þykkur
,;,
ok;og
hafði;hafði
hann;hann
skjöldinn;skjöldinn
fyrir;fyrir
sér;sér
,;,
er;er
hann;hann
stóð;stóð
á;á
Grjóttatúnagörðum;Grjóttatúnagörðum
ok;og
beið;beið
Þórs;Þórs
,;,
en;en
hein;hein
hafði;hafði
hann;hann
fyrir;fyrir
vápn;vopn
ok;og
reiddi;reiddi
of;of
öxl;öxl
ok;og
var;var
ekki;ekki
dælligr;dællegur
.;.
Á;Á
