Hvernig;Hvernig
skal;skal
sæ;sæ
kenna;kenna
?;?
Svá;Svo
,;,
at;að
kalla;kalla
hann;hann
Ymis;Ýmis
blóð;blóð
,;,
heimsækir;heimsækir
goðanna;goðanna
,;,
verr;ver
Ránar;Ránar
,;,
faðir;faðir
Ægisdætra;Ægisdætra
,;,
þeira;þeirra
er;er
svá;svo
heita;heita
Himinglæva;Himinglæva
,;,
Dúfa;Dúfa
,;,
,;,
Blóðughadda;Blóðughadda
,;,
Hefring;Hefring
,;,
Uðr;Uður
,;,
Hrönn;Hrönn
,;,
,;,
Bylgja;Bylgja
,;,
Bára;Bára
,;,
Kólga;Kólga
,;,
land;land
Ránar;Ránar
ok;og
Ægisdætra;Ægisdætra
ok;og
skipa;skipa
ok;og
sæskips;sæskips
heita;heita
,;,
kjalar;kjalar
,;,
,;,
stála;stála
,;,
súða;súða
,;,
sýju;sýju
,;,
fiska;fiska
,;,
ísa;ísa
,;,
,;,
sækonunga;sækonunga
leið;leið
ok;ok
brautir;brautir
,;,
eigi;eigi
síðr;síður
hringr;hringur
eyjanna;eyjanna
,;,
hús;hús
sanda;sanda
ok;og
þangs;þangs
ok;og
skerja;skerja
,;,
dorgar;dorgar
land;land
ok;og
sæfugla;sæfugla
,;,
byrjar;byrjar
.;.
Svá;Svo
sem;sem
kvað;kvað
Ormr;Ormur
Barreyjarskáld;Barreyjarskáld
:;:
Svá;Svo
kvað;kvað
Refr;Refur
:;:
Svá;Svo
sem;sem
kvað;kvað
Sveinn;Sveinn
:;:
Ok;Og
sem;sem
kvað;kvað
Refr;Refur
:;:
Hér;Hér
er;er
sagt;sagt
,;,
at;að
allt;allt
er;er
eitt;eitt
Ægir;Ægir
ok;og
Hlér;Hlér
ok;og
Gymir;Gymir
.;.
Ok;Og
enn;enn
kvað;kvað
hann;hann
:;:
Sem;Sem
kvað;kvað
Einarr;Einar
Skúlason;Skúlason
:;:
Ok;Og
enn;enn
sem;sem
hann;hann
kvað;kvað
:;:
Ok;Og
enn;enn
kvað;kvað
hann;hann
:;:
Enn;Enn
sem;sem
hann;hann
kvað;kvað
:;:
Ok;Og
enn;enn
svá;svo
:;:
Sem;Sem
Snæbjörn;Snæbjörn
kvað;kvað
:;:
Hér;Hér
er;er
kallat;kallað
hafit;hafið
Amlóða;Amlóða
kvern;kvern
.;.
-;-
Enn;Enn
sem;sem
kvað;kvað
Einarr;Einar
:;Skúlason
