Hví;Hví
er;er
gull;gull
kallat;kallað
haddr;haddur
Sifjar;Sifjar
?;?
Loki;Loki
Laufeyjarson;Laufeyjarson
hafði;hafði
þat;það
gert;gert
til;til
lævísi;lævísi
at;að
klippa;klippa
hár;hár
allt;allt
af;af
Sif;Sif
.;.
En;En
er;er
Þórr;Þór
varð;varð
þess;þess
varr;var
,;,
tók;tók
hann;hann
Loka;Loka
ok;og
myndi;myndi
lemja;lemja
hvert;hvert
bein;bein
í;í
honum;honum
,;,
áðr;áður
hann;hann
svarði;sór
þess;þess
,;,
at;að
hann;hann
skal;skal
fá;fá
af;af
Svartálfum;Svartálfum
,;,
,;,
at;að
þeir;þeir
skulu;skulu
gera;gera
af;af
gulli;gulli
Sifju;Sifju
hadd;hadd
þann;þann
,;,
er;er
svá;svo
skal;skal
vaxa;vaxa
sem;sem
annat;annað
hár;hár
.;.
Eftir;Eftir
þat;það
fór;fór
Loki;Loki
til;til
þeira;þeirra
dverga;dverga
,;,
er;er
heita;heita
Ívaldasynir;Ívaldasynir
,;,
ok;og
gerðu;gerðu
þeir;þeir
haddinn;haddinn
ok;og
Skíðblaðni;Skíðblaðni
ok;og
geirinn;geirinn
,;,
er;er
Óðinn;Óðinn
átti;átti
,;,
er;er
Gungnir;Gungnir
heitir;heitir
.;.
Þá;Þá
veðjaði;veðjaði
Loki;Loki
höfði;höfði
sínu;sínu
við;við
þann;þann
dverg;dverg
,;,
er;er
Brokkr;Brokkur
heitir;heitir
,;,
hvárt;hvort
bróðir;bróðir
hans;hans
,;,
,;,
Sindri;Sindri
myndi;myndi
gera;gera
jafngóða;jafngóða
gripi;gripi
þrjá;þrjá
sem;sem
þessir;þessir
váru;voru
.;.
En;En
er;er
þeir;þeir
kómu;komu
til;til
smiðju;smiðju
,;,
þá;þá
lagði;lagði
Sindri;Sindri
svínskinn;svínskinn
í;í
aflinn;aflinn
ok;og
bað;bað
blása;blása
Brokk;Brokk
ok;og
létta;létta
eigi;eigi
fyrr;fyrr
en;en
hann;hann
tæki;tæki
þat;það
ór;úr
aflinum;aflinum
,;,
er;er
hann;hann
hafði;hafði
í;í
lagt;lagt
.;.
En;En
þegar;þegar
er;er
hann;hann
var;var
genginn;genginn
ór;úr
smiðjunni;smiðjunni
,;,
en;en
hinn;hinn
blés;blés
,;,
þá;þá
settist;settist
fluga;fluga
ein;ein
á;á
hönd;hönd
honum;honum
ok;og
kroppaði;kroppaði
,;,
en;en
hann;hann
blés;blés
sem;sem
áðr;áður
,;,
þar;þar
til;til
er;er
smiðrinn;smiðurinn
tók;tók
ór;úr
aflinum;aflinum
,;,
ok;og
var;var
þat;það
göltr;göltur
,;,
ok;og
var;var
burstin;burstin
ór;úr
gulli;gulli
.;.
Því;Því
næst;næst
lagði;lagði
hann;hann
í;í
aflinn;aflinn
gull;gull
ok;og
bað;bað
hann;hann
blása;blása
ok;og
hætta;hætta
eigi;eigi
fyrr;fyrr
blæstrinum;blæstrinum
en;en
hann;hann
kæmi;kæmi
aftr;aftur
.;.
Gekk;Gekk
hann;hann
á;á
braut;braut
.;.
En;En
þá;þá
kom;kom
flugan;flugan
ok;og
settist;settist
á;á
háls;háls
honum;honum
ok;og
kroppaði;kroppaði
nú;nú
hálfu;hálfu
fastara;fastara
en;en
áðr;áður
,;,
en;en
hann;hann
blés;blés
,;,
þar;þar
til;til
er;er
smiðrinn;smiðurinn
tók;tók
ór;úr
aflinum;aflinum
gullhring;gullhring
þann;þann
,;,
er;er
Draupnir;Draupnir
heitir;heitir
.;.
Þá;Þá
lagði;lagði
hann;hann
járn;járn
í;í
aflinn;aflinn
ok;og
bað;bað
hann;hann
blása;blása
ok;og
sagði;sagði
,;,
at;að
ónýtt;ónýtt
myndi;myndi
verða;verða
,;,
ef;ef
blástrinn;blásturinn
felli;felli
.;.
Þá;Þá
settist;settist
flugan;flugan
milli;milli
augna;augna
honum;honum
ok;og
kroppaði;kroppaði
hvarmana;hvarmana
,;,
en;en
er;er
blóðit;blóðið
fell;fell
í;í
augun;augun
,;,
svá;,
at;svo
hann;að
sá;hann
ekki;sá
,;ekki
þá;,
greip;þá
hann;greip
til;hann
hendinni;til
sem;hendinni
skjótast;sem
,;skjótast
meðan;,
belgrinn;meðan
lagðist;belgurinn
niðr;lagðist
,;niður
ok;,
sveipði;og
af;sveipaði
sér;af
flugunni;sér
,;flugunni
ok;,
þá;og
kom;þá
þar;kom
smiðrinn;þar
ok;smiðurinn
sagði;og
,;sagði
at;,
nú;að
lagði;nú
nær;lagði
,;nær
at;,
allt;að
myndi;allt
ónýtast;myndi
,;ónýtast
er;,
í;er
aflinum;í
var;aflinum
.;var
Þá;.
tók;Þá
hann;tók
ór;hann
aflinum;úr
hamar;aflinum
.;hamar
Fékk;.
hann;Fékk
þá;hann
alla;þá
gripina;alla
í;gripina
hendr;í
bróður;hendur
sínum;bróður
Brokk;sínum
ok;Brokk
bað;og
hann;bað
fara;hann
með;fara
til;með
Ásgarðs;til
ok;Ásgarðs
leysa;og
veðjunina;leysa
.;veðjunina
En;.
er;En
þeir;er
Loki;þeir
báru;Loki
fram;báru
gripina;fram
,;gripina
þá;,
settust;þá
æsirnir;settust
á;æsirnir
dómstóla;á
ok;dómstóla
skyldi;og
þat;skyldi
atkvæði;það
standast;atkvæði
,;standast
sem;,
segði;sem
Óðinn;segði
,;Óðinn
Þórr;,
,;Þórr
Freyr;,
.;Freyr
Þá;.
