Hver;Hver
sök;sök
er;er
til;til
þess;þess
,;,
at;að
gull;gull
er;er
kallat;kallað
otrgjöld;oturgjöld
?;?
Svá;Svo
er;er
sagt;sagt
,;,
at;að
þá;þá
er;er
æsir;æsir
fóru;fóru
at;að
kanna;kanna
heim;heim
,;,
Óðinn;Óðinn
ok;og
Loki;Loki
ok;og
Hænir;Hænir
,;,
þeir;þeir
kómu;komu
at;að
á;á
nökkurri;nokkurri
ok;og
gengu;gengu
með;með
ánni;ánni
til;til
fors;foss
nökkurs;nokkurs
,;,
ok;og
við;við
forsinn;fossinn
var;var
otr;otur
einn;einn
ok;og
hafði;hafði
tekit;tekið
lax;lax
ór;úr
forsinum;fossinum
ok;og
át;át
blundandi;blundandi
.;.
Þá;Þá
tók;tók
Loki;Loki
upp;upp
stein;stein
ok;og
kastaði;kastaði
at;að
otrinum;otrinum
ok;og
laust;laust
í;í
höfuð;höfuð
honum;honum
.;.
Þá;Þá
hrósði;hrósði
Loki;Loki
veiði;veiði
sinni;sinni
,;,
at;að
hann;hann
hefði;hefði
veitt;veitt
í;í
einu;einu
höggvi;höggvi
otr;otur
ok;og
lax;lax
.;.
Tóku;Tóku
þeir;þeir
þá;þá
laxinn;laxinn
ok;og
otrinn;oturinn
ok;og
báru;báru
eftir;eftir
sér;sér
,;,
kómu;komu
þá;þá
at;að
bæ;bæ
nökkurum;nokkrum
ok;og
gengu;gengu
inn;inn
.;.
En;En
sá;sá
búandi;búandi
er;er
nefndr;nefndur
Hreiðmarr;Hreiðmar
,;,
er;er
þar;þar
bjó;bjó
.;.
Hann;Hann
var;var
mikill;mikill
fyrir;fyrir
sér;sér
ok;og
mjök;mjög
fjölkunnigr;fjölkunnugur
.;.
Beiddust;Báðust
æsir;æsir
at;að
hafa;hafa
þar;þar
náttstað;náttstað
ok;og
kváðust;kváðust
hafa;hafa
með;með
sér;sér
vist;vist
ærna;ærna
ok;og
sýndu;sýndu
búandanum;búandanum
veiði;veiði
sína;sína
.;.
En;En
er;er
Hreiðmarr;Hreiðmar
sá;sá
otrinn;oturinn
,;,
þá;þá
kallaði;kallaði
hann;hann
sonu;sonu
sína;sína
,;,
Fáfni;Fáfni
ok;og
Regin;Regin
,;,
ok;og
segir;segir
,;,
at;að
Otr;Otur
,;,
bróðir;bróðir
þeira;þeirra
,;,
var;var
drepinn;drepinn
ok;og
svá;svo
,;,
,;,
hverir;hverjir
þat;það
höfðu;höfðu
gert;gert
.;.
Nú;Nú
ganga;ganga
þeir;þeir
feðgar;feðgar
at;að
ásunum;ásunum
ok;og
taka;taka
þá;þá
höndum;höndum
ok;og
binda;binda
ok;og
segja;segja
þá;þá
um;um
otrinn;oturinn
,;,
at;að
hann;hann
var;var
sonr;sonur
Hreiðmars;Hreiðmars
.;.
Æsir;Æsir
bjóða;bjóða
fyrir;fyrir
sik;sig
fjörlausn;fjörlausn
,;,
svá;svo
mikit;mikið
fé;fé
sem;sem
Hreiðmarr;Hreiðmar
sjálfr;sjálfur
vill;vill
á;á
kveða;kveða
,;,
ok;og
varð;varð
þat;það
at;að
sætt;sætt
með;með
þeim;þeim
ok;og
bundit;bundið
svardögum;svardögum
.;.
Þá;Þá
var;var
otrinn;oturinn
fleginn;fleginn
.;.
Tók;Tók
Hreiðmarr;Hreiðmar
otrbelginn;oturbelginn
ok;og
mælti;mælti
við;við
þá;þá
,;,
at;að
þeir;þeir
skulu;skulu
fylla;fylla
belginn;belginn
af;af
rauðu;rauðu
gulli;gulli
ok;og
svá;svo
hylja;hylja
hann;hann
allan;allan
,;,
ok;og
skal;skal
þat;það
vera;vera
at;að
sætt;sátt
þeira;þeirra
.;.
Þá;Þá
sendi;sendi
Óðinn;Óðinn
Loka;Loka
í;í
Svartálfaheim;Svartálfaheim
,;,
ok;og
kom;kom
hann;hann
til;til
dvergs;dvergs
þess;þess
,;,
er;er
heitir;heitir
Andvari;Andvari
.;.
Hann;Hann
var;var
fiskr;fiskur
í;í
vatni;vatni
,;,
ok;og
tók;tók
Loki;Loki
hann;hann
höndum;höndum
ok;og
lagði;lagði
á;á
hann;hann
fjörlausn;fjörlausn
allt;allt
þat;það
gull;gull
,;,
er;er
hann;hann
átti;átti
í;í
steini;steini
sínum;sínum
.;.
Ok;Og
er;er
þeir;þeir
koma;koma
í;í
steininn;steininn
,;,
þá;þá
bar;bar
dvergrinn;dvergurinn
fram;fram
allt;allt
gull;gull
,;,
þat;það
er;er
hann;hann
átti;átti
,;,
ok;og
var;var
þat;það
allmikit;allmikið
fé;fé
.;.
Þá;Þá
svipti;svipti
dvergrinn;dvergurinn
undir;undir
hönd;hönd
sér;sér
einum;einum
litlum;litlum
gullbaug;gullbaug
.;.
Þat;Það
sá;sá
Loki;Loki
ok;og
bað;bað
hann;hann
fram;fram
láta;láta
bauginn;bauginn
.;.
Dvergrinn;Dvergurinn
bað;bað
hann;hann
eigi;eigi
bauginn;bauginn
af;af
sér;sér
taka;taka
ok;og
lézt;lést
mega;mega
æxla;æxla
sér;sér
fé;fé
af;af
bauginum;bauginum
,;,
ef;ef
hann;hann
heldi;heldi
.;.
Loki;Loki
kvað;kvað
hann;hann
eigi;eigi
skyldu;skyldu
hafa;hafa
einn;einn
penning;pening
eftir;eftir
ok;og
tók;tók
bauginn;bauginn
af;af
honum;honum
ok;og
gekk;gekk
út;út
,;,
en;en
dvergrinn;dvergurinn
mælti;mælti
,;,
at;að
sá;sá
baugr;baugur
skyldi;skyldi
vera;vera
hverjum;hverjum
höfuðsbani;höfuðsbani
,;,
er;er
ætti;ætti
.;.
Loki;Loki
segir;segir
,;,
at;að
honum;honum
þótti;þótti
þat;það
vel;vel
,;,
ok;og
sagði;sagði
,;,
at;að
þat;það
skyldi;skyldi
haldast;haldast
mega;mega
fyrir;fyrir
því;því
sá;sá
formáli;formáli
,;,
at;að
hann;hann
skyldi;skyldi
flytja;flytja
þeim;þeim
til;til
eyrna;eyrna
,;,
er;er
þá;þá
tæki;tæki
við;við
.;.
Fór;Fór
hann;hann
í;í
braut;braut
ok;og
kom;kom
til;til
Hreiðmars;Hreiðmars
ok;og
sýndi;sýndi
Óðni;Óðni
gullit;gullið
.;.
En;En
er;er
hann;hann
sá;sá
bauginn;bauginn
,;,
þá;þá
sýndist;sýndist
honum;honum
fagr;fagur
ok;ok
tók;tók
hann;hann
af;af
fénu;fénu
,;,
en;en
greiddi;greiddi
Hreiðmari;Hreiðmari
gullit;gullið
.;.
Þá;Þá
fylldi;fyllti
hann;hann
otrbelginn;oturbelginn
,;,
sem;sem
mest;mest
mátti;mátti
hann;hann
,;,
ok;og
setti;setti
upp;upp
,;,
er;er
fullr;fullur
var;var
.;.
Gekk;Gekk
þá;þá
Óðinn;Óðinn
til;til
ok;og
skyldi;skyldi
hylja;hylja
belginn;belginn
með;með
gullinu;gullinu
,;,
ok;og
þá;þá
mælti;mælti
hann;hann
við;við
Hreiðmar;Hreiðmar
,;,
at;að
hann;hann
skal;skal
sjá;sjá
,;,
hvárt;hvort
belgrinn;belgurinn
er;er
þá;þá
allr;allur
hulðr;hulinn
.;.
En;En
Hreiðmarr;Hreiðmar
leit;leit
til;til
ok;og
hugði;hugði
at;að
vandliga;vandlega
ok;og
sá;sá
eitt;eitt
granahár;granahár
ok;og
bað;bað
þat;það
hylja;hylja
,;,
en;en
at;að
öðrum;öðrum
kosti;kosti
væri;væri
lokit;lokið
sætt;sætt
þeira;þeirra
.;.
Þá;Þá
dró;dró
Óðinn;Óðinn
fram;fram
bauginn;bauginn
ok;og
hulði;huldi
granahárit;granahárið
ok;og
sagði;sagði
,;,
at;að
þá;þá
váru;váru
þeir;þeir
lausir;lausir
frá;frá
otrgjöldunum;oturgjöldunum
.;.
En;En
er;er
Óðinn;Óðinn
hafði;hafði
tekit;tekið
geir;geir
sinn;sinn
,;,
en;en
Loki;Loki
skúa;skó
sína;sína
ok;og
þurftu;þurftu
þá;þá
ekki;ekki
at;at
óttast;óttast
,;,
þá;þá
mælti;mælti
Loki;Loki
,;,
at;að
þat;það
skyldi;skyldi
haldast;haldast
,;,
er;er
Andvari;Andvari
hafði;hafði
mælt;mælt
,;,
at;að
sá;sá
baugr;baugur
ok;og
þat;það
gull;gull
skyldi;skyldi
verða;verða
þess;þess
bani;bani
,;,
er;er
ætti;ætti
,;,
ok;og
þat;það
helzt;helst
síðan;síðan
.;.
Nú;Nú
er;er
sagt;sagt
,;,
af;af
hverju;hverju
gull;gull
er;er
otrgjöld;oturgjöld
kallat;kallað
eða;eða
nauðgjald;nauðgjald
ásanna;ásanna
eða;eða
rógmálmr;rógmálmur
.;.
