Hvat;Hvat
er;er
fleira;fleira
at;að
segja;segja
frá;frá
gullinu;gullinu
?;?
Hreiðmarr;Hreiðmar
tók;tók
þá;þá
gullit;gullið
at;að
sonargjöldum;sonargjöldum
,;,
en;en
Fáfnir;Fáfnir
ok;og
Reginn;Reginn
beiddust;beiddust
af;af
nökkurs;nokkurs
í;í
bróðurgjöld;bróðurgjöld
.;.
Hreiðmarr;Hreiðmar
unni;unni
þeim;þeim
enskis;enskis
pennings;penings
af;af
gullinu;gullinu
.;.
Þat;Það
varð;varð
óráð;óráð
þeira;þeirra
bræðra;bræðra
,;,
at;að
þeir;þeir
drápu;drápu
föður;föður
sinn;sinn
til;til
gullsins;gullsins
.;.
Þá;Þá
beiddist;bað
Reginn;Reginn
,;,
at;at
Fáfnir;Fáfnir
skyldi;skyldi
skipta;skipta
gullinu;gullinu
í;í
helminga;helminga
með;með
þeim;þeim
.;.
Fáfnir;Fáfnir
svarar;svarar
svá;svo
,;,
at;að
lítil;lítil
ván;von
var;var
at;að
hann;hann
myndi;myndi
miðla;miðla
gullit;gullið
við;við
bróður;bróður
sinn;sinn
,;,
er;er
hann;hann
drap;drap
föður;föður
sinn;sinn
til;til
gullsins;gullsins
,;,
ok;og
bað;bað
Regin;Regin
fara;fara
braut;braut
,;,
en;en
at;að
öðrum;öðrum
kosti;kosti
myndi;myndi
hann;hann
fara;fara
sem;sem
Hreiðmarr;Hreiðmar
.;.
Fáfnir;Fáfnir
hafði;hafði
þá;þá
tekit;tekið
hjálm;hjálm
,;,
er;er
Hreiðmarr;Hreiðmarr
hafði;hafði
átt;átt
,;,
ok;og
setti;setti
á;á
höfuð;höfuð
sér;sér
,;,
er;er
kallaðr;kallaður
var;var
ægishjálmr;ægishjálmr
,;,
er;er
öll;öll
kvikvendi;kvikindi
hræðast;hræðast
,;,
er;er
sjá;sjá
,;,
ok;og
sverð;sverð
þat;það
,;,
er;er
Hrotti;Hrotti
heitir;heitir
.;.
Reginn;Reginn
hafði;hafði
þat;það
sveð;sverð
,;,
er;er
Refill;Refill
er;er
kallaðr;kallaður
.;.
Flýði;Flúði
hann;hann
þá;þá
braut;braut
,;,
en;en
Fáfnir;Fáfnir
fór;fór
upp;upp
á;á
Gnitaheiði;Gnitaheiði
