Annat;Annað
mark;mark
var;var
þat;það
sagt;sagt
frá;frá
Hrólfi;Hrólfi
kraka;kraka
um;um
fræknleik;fræknleik
hans;hans
,;,
at;að
sá;sá
konungr;konungur
réð;réð
fyrir;fyrir
Uppsölum;Uppsölum
,;,
er;er
Aðils;Aðils
hét;hét
.;.
Hann;Hann
átti;átti
Yrsu;Yrsu
,;,
móður;móður
Hrólfs;Hrólfs
kraka;kraka
.;.
Hann;Hann
hafði;hafði
ósætt;ósætti
við;við
þann;þann
konung;konung
,;,
er;er
réð;réð
fyrir;fyrir
Nóregi;Noregi
,;,
er;er
Áli;Áli
hét;hét
.;.
Þeir;Þeir
stefndu;stefndu
orrostu;orustu
milli;milli
sín;sín
á;á
ísi;ísi
vatns;vatns
þess;þess
,;,
er;er
Væni;Væni
heitir;heitir
.;.
Aðils;Aðils
konungr;konungur
sendi;sendi
boð;boð
Hrólfi;Hrólfi
kraka;kraka
,;,
mági;mági
sínum;sínum
,;,
at;að
hann;hann
kæmi;kæmi
til;til
liðveizlu;liðveislu
við;við
hann;hann
,;,
ok;og
hét;hét
mála;mála
öllum;öllum
her;her
hans;hans
,;,
meðan;meðan
þeir;þeir
væri;væru
í;í
ferðinni;ferðinni
,;,
en;en
konungr;konungur
sjálfr;sjálfur
skyldi;skyldi
eignast;eignast
þrjá;þrjá
kostgripi;kostgripi
,;,
þá;þá
er;er
hann;hann
köri;kysi
af;af
Svíðjóð;Svíþjóð
.;.
Hrólfr;Hrólfur
konungr;konungur
mátti;mátti
eigi;eigi
fara;fara
fyrir;fyrir
ófriði;ófriði
þeim;þeim
,;,
er;er
hann;hann
átti;átti
við;við
Saxa;Saxa
,;,
en;en
þó;þó
sendi;sendi
hann;hann
Aðilsi;Aðilsi
berserki;berserki
sína;sína
tólf;tólf
.;.
Þar;Þar
var;var
einn;einn
Böðvarr;Böðvar
Bjarki;Bjarki
ok;og
Hjalti;Hjalti
hugprúði;hugprúði
,;,
Hvítserkr;Hvítserkur
hvati;hvati
,;,
Vöttr;Vöttur
,;,
Véseti;Véseti
,;,
þeir;þeir
bræðr;bræður
Svipdagr;Svipdagur
ok;ok
Beiguðr;Beiguður
.;.
Í;Í
þeiri;þeirri
orrostu;orustu
féll;féll
Áli;Áli
konungr;konungur
ok;og
mikill;mikill
hluti;hluti
liðs;liðs
hans;hans
.;.
Þá;Þá
tók;tók
Aðils;Aðils
konungr;konungur
af;af
honum;honum
dauðum;dauðum
hjálminn;hjálminn
Hildisvín;Hildisvín
ok;og
hest;hest
hans;hans
Hrafn;Hrafn
.;.
Þá;Þá
beiddust;báðust
þeir;þeir
berserkir;berserkir
Hrólfs;Hrólfs
kraka;kraka
at;að
taka;taka
mála;mála
sinn;sinn
,;,
þrjú;þrjú
pund;pund
gulls;gulls
hverr;hver
þeira;þeirra
,;,
ok;og
um;um
fram;fram
beiddust;beiddust
þeir;þeir
at;að
flytja;flytja
Hrólfi;Hrólfi
kraka;kraka
kostgripi;kostgripi
þá;þá
,;,
er;er
þeir;þeir
kuru;kusu
til;til
handa;handa
honum;honum
.;.
Þat;Það
var;var
hjálmrinn;hjálmurinn
Hildigöltr;Hildigöltur
ok;ok
brynjan;brynjan
Finnsleif;Finnsleif
,;,
er;er
á;á
hvárigu;hvárigu
festi;festi
járn;járn
,;,
ok;og
gullhringr;gullhringur
sá;sá
,;,
er;er
kallaðr;kallaðr
var;var
Svíagríss;Svíagríss
,;,
er;er
