Maðr;Maður
er;er
kenndur;kenndur
til;til
viða;viða
,;,
sem;sem
fyrr;fyrr
er;er
ritat;ritað
,;,
kallaðr;kallaður
reynir;reynir
vápna;vopna
eða;eða
víga;víga
,;,
ferða;ferða
ok;og
athafnar;athafnar
,;,
skipa;skipa
ok;og
alls;alls
þess;þess
,;,
er;er
hann;hann
ræðr;ræður
ok;og
reynir;reynir
.;.
Svá;Svo
kvað;kvað
Úlfr;Úlfur
Uggason;Uggason
:;:
Viðr;Viður
ok;og
meiður;meiður
,;,
sem;sem
kvað;kvað
Kormákr;Kormákur
:;:
Lundr;Lundur
,;,
svá;svo
kvað;kvað
Hallfreðr;Hallfreður
vandræðaskáld;vandræðaskáld
:;:
Hér;Hér
er;er
ok;og
þollr;þollur
nefndr;nefndur
.;.
.;.
Búss;Búss
,;,
svá;svo
kvað;kvað
Arnórr;Arnór
:;:
Askr;Askur
,;,
sem;sem
Refr;Refur
kvað;kvað
:;:
Hlynr;Hlynur
,;,
sem;sem
hér;hér
er;er
:;:
Börr;Bör
,;,
sem;sem
Refr;Refur
kvað;kvað
:;:
Stafr;Stafur
,;,
sem;sem
Óttarr;Óttar
kvað;kvað
:;:
Þorn;Þorn
,;,
sem;sem
Arnórr;Arnór
kvað;kvað
:;:
