Bragi;Bragi
svarar;svarar
:;:
Sjá;Sú
saga;saga
er;er
til;til
þess;þess
,;,
at;að
Óðinn;Óðinn
fór;fór
heiman;heiman
og;og
kom;kom
þar;þar
,;,
er;er
þrælar;þrælar
níu;níu
slógu;slógu
hey;hey
.;.
.;.
Hann;Hann
spyrr;spyr
,;,
ef;ef
þeir;þeir
vili;vilji
,;,
at;að
hann;hann
brýni;brýni
ljá;ljá
þeira;þeirra
.;.
Þeir;Þeir
játa;játa
því;því
.;.
Þá;Þá
tekr;tekur
hann;hann
hein;hein
af;af
belti;belti
sér;sér
og;og
brýndi;brýndi
ljána;ljána
,;,
en;en
þeim;þeim
þótti;þótti
bíta;bíta
ljárnir;ljárnir
miklu;miklu
betr;betur
og;og
föluðu;föluðu
heinina;heinina
,;,
en;en
hann;hann
mat;mat
svá;svá
,;,
at;að
sá;sá
,;,
er;er
kaupa;kaupa
vildi;vildi
,;,
skyldi;skyldi
gefa;gefa
við;við
hóf;hóf
.;.
En;En
allir;allir
kváðust;kváðust
vilja;vilja
og;og
báðu;báðu
hann;hann
sér;sér
selja;selja
,;,
en;en
hann;hann
kastaði;kastaði
heininni;heininni
í;í
loft;loft
upp;upp
.;.
En;En
er;er
allir;allir
vildu;vildu
henda;henda
,;,
þá;þá
skiptust;skiptust
þeir;þeir
svá;svo
,;,
við;við
at;a
hverr;hver
brá;brá
ljánum;ljánum
á;á
háls;háls
öðrum;öðrum
.;.
Óðinn;Óðinn
sótti;sótti
til;til
náttstaðar;náttstaðar
til;til
jötuns;jötuns
þess;þess
,;,
er;er
Baugi;Baugi
hét;hét
,;,
bróðir;bróðir
Suttungs;Suttungs
.;.
Baugi;Baugi
kallaði;kallaði
illt;illt
fjárhald;fjárhald
sitt;sitt
og;og
sagði;sagði
,;,
at;að
þrælar;þrælar
hans;hans
níu;níu
höfðu;höfðu
drepizt;drepist
,;,
en;en
talðist;taldist
eigi;eigi
vita;vita
sér;sér
ván;von
verkmanna;verkmanna
.;.
En;En
Óðinn;Óðinn
nefndist;nefndist
fyrir;fyrir
honum;honum
Bölverkur;Bölverkur
.;.
Hann;Hann
bauð;bauð
at;að
taka;taka
upp;upp
níu;níu
manna;manna
verk;verk
fyrir;fyrir
Bauga;Bauga
,;,
en;en
mælti;mælti
sér;sér
til;til
kaups;kaups
einn;einn
drykk;drykk
af;af
Suttungamiði;Suttungamiði
.;.
Baugi;Baugi
kvaðst;kvaðst
einskis;einskis
ráð;ráð
eiga;eiga
at;að
miðinum;miðinum
,;,
sagði;sagði
,;,
at;að
Suttungr;Suttungir
vildi;vildi
einn;einn
hafa;hafa
,;,
en;en
fara;fara
kveðst;kveðst
hann;hann
mundu;mundu
með;með
Bölverki;Bölverki
,;,
og;og
