Vápn;Vopn
ok;og
herklæði;herklæði
skal;skal
kenna;kenna
til;til
orrostu;orrustu
ok;og
til;til
Óðins;Óðins
ok;og
valmeyja;valmeyja
ok;ok
herkonunga;herkonunga
,;,
kalla;kalla
hjálm;hjálm
hött;hött
eða;eða
fald;fald
,;,
en;en
brynju;brynju
serk;serk
eða;eða
skyrtu;skyrtu
,;,
en;en
skjöld;skjöld
tjald;tjald
,;,
ok;og
skjaldborgin;skjaldborgin
er;er
kölluð;kölluð
höll;höll
ok;og
ræfr;ræfur
,;,
veggr;veggur
ok;og
gólf;gólf
.;.
Skildir;Skildir
eru;eru
kallaðir;kallaðir
ok;og
kenndir;kenndir
við;við
herskip;herskip
,;,
sól;sól
eða;eða
tungl;tungl
eða;eða
lauf;lauf
eða;eða
blik;blik
eða;eða
garðr;garður
skipsins;skipsins
.;.
Skjöldr;Skjöldr
er;er
ok;og
kallaðr;kallaður
skip;skip
Ullar;Ullar
eða;eða
kennt;kennt
til;til
fóta;fóta
Hrungnis;Hrungnis
,;,
er;er
hann;hann
stóð;stóð
á;á
skildi;skildi
.;.
Á;Á
fornum;fornum
skjöldum;skjöldum
var;var
títt;títt
at;að
skrifa;skrifa
rönd;rönd
þá;þá
,;,
er;er
baugr;baugur
var;var
kallaðr;kallaður
,;,
ok;og
eru;eru
við;við
þann;þann
baug;baug
skildir;skildir
kenndir;kenndir
.;.
Höggvápn;Höggvopn
,;,
öxar;öxar
eða;eða
sverð;sverð
,;,
er;er
kallat;kallað
eldar;eldar
blóðs;blóðs
eða;eða
benja;benja
.;.
Sverð;Sverð
heita;heita
Óðins;Óðins
eldar;eldar
,;,
en;en
öxar;öxar
kalla;kalla
menn;menn
trollkvinna;tröllkvinna
heitum;heitum
ok;og
kenna;kenna
við;við
blóð;blóð
eða;eða
benjar;benjar
eða;eða
skóg;skóg
eða;eða
við;við
.;.
Lagvápn;Lagvápn
eru;eru
vel;vel
kennd;kennd
til;til
orma;orma
eða;eða
fiska;fiska
.;.
Skotvápn;Skotvopn
eru;eru
mjök;mjög
kennd;kennd
til;til
hagls;hagls
eða;eða
drífu;drífu
eða;eða
rotu;rotu
.;.
Öllum;Öllum
þessum;þessum
kenningum;kenningum
er;er
marga;marga
lund;lund
breytt;breytt
,;,
því;því
at;að
þat;það
er;er
flest;flest
ort;ort
í;í
lofkvæðum;lofkvæðum
,;,
er;er
þessar;þessar
kenningar;kenningar
þarf;þarf
við;við
.;.
Svá;Svo
kvað;kvað
Víga;Víga
-;-
Glúmr;Glúmur
:;:
Svá;Svo
kvað;kvað
Einarr;Einar
skálaglamm;skálaglamm
:;:
Róða;Róða
serkr;serkur
,;,
sem;sem
Tindr;Tindur
kvað;kvað
:;:
Hamðis;Hamðis
skyrta;skyrta
,;,
sem;sem
Hallfreðr;Hallfreður
kvað;kvað
:;:
:;:
Sörla;Sörla
föt;föt
,;,
enn;enn
sem;sem
hann;hann
kvað;kvað
:;:
sem;sem
Grettir;Grettir
kvað;kvað
:;:
Róða;Róða
ræfr;ræfur
,;,
sem;sem
Einarr;Einar
kvað;kvað
:;.
Hildar;Hildar
veggr;veggur
,;,
sem;sem
kvað;kvað
Grettir;Grettir
ok;og
áðr;áður
er;er
ritat;ritað
.;.
Skipsól;Skipsól
,;,
sem;sem
Einarr;Einar
kvað;kvað
:;:
Hlýrtungl;Hlýrtungl
,;,
sem;sem
Refr;Refur
kvað;kvað
:;:
Garðr;Garður
skips;skips
,;,
sem;sem
hér;hér
er;er
:;:
Askr;Askur
Ullar;Ullar
,;,
sem;sem
Þjóðólfr;Þjóðólfur
kvað;kvað
:;:
Ilja;Ilja
blað;blað
Hrungnis;Hrungnis
,;,
sem;sem
Bragi;Bragi
kvað;kvað
:;:
Bragi;Bragi
skáld;skáld
kvað;kvað
þetta;þetta
um;um
bauginn;bauginn
á;á
skildinum;skildinum
:;:
Hann;Hann
kallaði;kallaði
skjöldinn;skjöldinn
Hildar;Hildar
hjól;hjól
,;,
en;en
bauginn;bauginn
nöf;nöf
hjólsins;hjólsins
.;.
Baugjörð;Baugjörð
,;,
sem;sem
Hallvarðr;Hallvarður
kvað;kvað
:;:
Svá;Svo
er;er
enn;enn
kveðit;kveðið
:;:
Sverð;Sverð
er;er
Óðins;Óðins
eldr;eldur
,;,
sem;sem
Kormákr;Kormákur
kvað;kvað
:;:
Hjálms;Hjálms
eldr;eldur
,;,
sem;sem
kvað;kvað
Úlfr;Úlfur
Uggason;Uggason
:;:
Brynju;Brynju
eldr;eldur
,;,
sem;sem
kvað;kvað
Glúmr;Glúmur
Geirason;Geirason
:;:
Randar;Randar
íss;ís
ok;og
grand;grand
hlífar;hlífar
,;,
sem;sem
Einarr;Einar
kvað;kvað
:;:
Öx;Öx
heitir;heitir
trollkona;trollkona
hlífa;hlífa
,;,
sem;sem
Einarr;Einar
kvað;kvað
:;:
Spjót;Spjót
er;er
ormr;ormur
kallat;kallað
,;,
sem;sem
Refr;Refr
kvað;kvað
:;:
Örvar;Örvar
eru;eru
kallaðar;kallaðar
hagl;hagl
boga;boga
eða;eða
strengjar;strengjar
eða;eða
hlífa;hlífa
eða;eða
orrostu;orustu
,;,
sem;sem
Einarr;Einar
kvað;kvað
skálaglamm;skálaglamm
:;:
Ok;og
Hallfreðr;Hallfreður
:;:
Ok;Og
Eyvindr;Eyvindur
:;skáldaspillir
