Orrosta;Orrusta
er;er
veðr;veður
Óðins;Óðins
,;,
sem;sem
fyrr;fyrr
er;er
ritat;ritað
.;.
Svá;Svo
kvað;kvað
Víga;Víga
-;-
Glúmr;Glúmur
:;:
Viðris;Viðris
veðr;veður
er;er
hér;hér
kallat;kallað
orrusta;orusta
,;,
en;en
vöndr;vöndur
vígs;vígs
sverðit;sverðið
,;,
en;en
menn;menn
stafir;stafir
sverðsins;sverðsins
.;.
Hér;Hér
er;er
bæði;bæði
orrosta;orusta
ok;og
vápn;vopn
haft;haft
til;til
kenningar;kenningar
mannins;mannins
.;.
Þat;Það
er;er
rekit;rekið
kallat;kallað
,;,
er;er
svá;svo
er;er
ort;ort
.;.
Skjöldr;Skjöldur
er;er
land;land
vápnanna;vopnanna
,;,
en;en
vápn;vopn
er;er
hagl;hagl
eða;eða
regn;regn
þess;þess
lands;lands
,;,
ef;ef
nýgervingum;nýgervingum
er;er
ort;ort
.;.
