Þessi;Þessi
eru;eru
kvenna;kvenna
heiti;heiti
ókennd;ókennd
í;í
skáldskap;skáldskap
:;:
Víf;Víf
ok;og
brúðr;brúður
ok;og
fljóð;fljóð
heita;heita
þær;þær
konr;konur
,;,
er;er
manni;manni
eru;eru
gefnar;gefnar
.;.
Sprund;Sprund
ok;og
svanni;svanni
heita;heita
þær;þær
konr;konur
,;,
er;er
mjök;mjög
fara;fara
með;með
dramb;dramb
ok;og
skart;skart
.;.
Snótir;Snótir
heita;heita
þær;þær
,;,
er;er
orðnæfrar;orðnæfrar
eru;eru
.;.
Drósir;Drósir
heita;heita
þær;þær
,;,
er;er
kyrrlátar;kyrrlátar
eru;eru
,;,
svarri;svarri
ok;og
svarkr;svarkur
þær;þær
,;,
er;er
mikillátar;mikillátar
eru;eru
.;.
Ristill;Ristill
er;er
kölluð;kölluð
sú;sú
kona;kona
,;,
er;er
sköruglynd;sköruglynd
er;er
.;.
Rýgr;Rýgur
heitir;heitir
sú;sú
,;,
er;er
ríkust;ríkust
er;er
.;.
Feima;Feima
er;er
sú;sú
kölluð;kölluð
,;,
er;er
ófröm;ófröm
er;er
,;,
svá;svo
sem;sem
ungar;ungar
meyjar;meyjar
eða;eða
þær;þær
konur;konur
,;,
er;er
ódjarfar;ódjarfar
eru;eru
.;.
Sæta;Sæta
heitir;heitir
sú;sú
kona;kona
,;,
er;er
búandi;búandi
hennar;hennar
er;er
af;af
landi;landi
farinn;farinn
.;.
Hæll;Hæll
er;er
sá;sá
kona;kona
kölluð;kölluð
,;,
er;er
búandi;búandi
hennar;hennar
er;er
veginn;veginn
.;.
Ekkja;Ekkja
heitir;heitir
sú;sú
,;,
er;er
búandi;búandi
hennar;hennar
varð;varð
sóttdauðr;sóttdauður
.;.
Mær;Mær
heitir;heitir
fyrst;fyrst
hver;hver
,;,
en;en
kerlingar;kerlingar
er;er
gamlar;gamlar
eru;eru
.;.
Eru;Eru
enn;enn
þau;þau
kvenna;kvenna
heiti;heiti
,;,
er;er
til;til
lastmælis;lastmælis
eru;eru
,;,
ok;og
má;má
þau;þau
finna;finna
í;í
kvæðum;kvæðum
,;,
þótt;þótt
þat;það
sé;sé
eigi;eigi
ritat;ritað
.;.
Þær;Þær
konur;konur
heita;heita
eljur;eljur
,;,
er;er
einn;einn
mann;mann
eigu;eigu
.;.
Snör;Snör
heitir;heitir
sonarkván;sonarkván
.;.
Sværa;Sværa
heitir;heitir
vers;vers
móðir;móðir
.;.
Heitir;Heitir
ok;og
móðir;móðir
,;,
amma;amma
,;,
þriðja;þriðja
edda;edda
.;.
Eiða;Eiða
heitir;heitir
móðir;móðir
.;.
Heitir;Heitir
ok;og
dóttir;dóttir
ok;og
barn;barn
,;,
jóð;jóð
.;.
Heitir;Heitir
ok;og
systir;systir
dís;dís
,;,
jóðdís;jóðdís
.;.
Kona;Kona
er;er
ok;og
kölluð;kölluð
beðja;beðja
,;,
mála;mála
,;,
rúna;rúna
búanda;búanda
síns;síns
,;,
ok;og
er;er
þat;það
viðrkenning;viðurkenning
.;.
