Margar;Margar
sögur;sögur
verða;verða
hér;hér
samtíða;samtíða
,;,
ok;og
má;má
þó;þó
eigi;eigi
allar;allar
senn;senn
rita;rita
:;:
saga;saga
Þorláks;Þorláks
byskups;biskups
ins;hins
helga;helga
ok;og
Guðmundar;Guðmundar
ins;hins
góða;góða
Arasonar;Arasonar
,;,
þar;þar
til;til
er;er
hann;hann
var;var
vígðr;vígður
til;til
prests;prests
,;,
-;-
saga;saga
Guðmundar;Guðmundar
ins;hins
dýra;dýra
hefst;hefst
þrimr;þremur
vetrum;vetrum
eftir;eftir
andlát;andlát
Sturlu;Sturlu
ok;og
lýkr;lýkur
þá;þá
,;,
er;er
Brandr;Brandur
byskup;biskup
er;er
andaðr;andaður
,;,
en;en
Guðmundr;Guðmundur
inn;hinn
góði;góði
er;er
þá;þá
vígðr;vígður
til;til
byskups;biskups
,;,
-;-
saga;saga
Hrafns;Hrafns
Sveinbjarnarsonar;Sveinbjarnarsonar
ok;og
Þorvalds;Þorvalds
Snorrasonar;Snorrasonar
er;er
samtíða;samtíða
sögu;sögu
Guðmundar;Guðmundar
ins;hins
góða;góða
,;,
ok;og
lýkst;lýkur
hon;henni
eftir;eftir
andlát;andlát
Brands;Brands
byskups;biskups
,;,
svá;svo
sem;sem
Sturla;Sturla
Þórðarson;Þórðarson
segir;segir
í;í
Íslendinga;Íslendinga
sögum;sögum
.;.
Flestar;Flestar
allar;allar
sögur;sögur
,;,
þær;þær
er;er
hér;hér
hafa;hafa
gerzt;gerzt
á;á
Íslandi;Íslandi
,;,
áðr;áður
Brandr;Brandur
byskup;biskup
Sæmundarson;Sæmundarson
andaðist;andaðist
,;,
váru;voru
ritaðar;ritaðar
,;,
en;en
þær;þær
sögur;sögur
,;,
er;er
síðan;síðan
hafa;hafa
gerzt;gerst
,;,
váru;voru
lítt;lítt
ritaðar;ritaðar
,;,
áðr;áður
Sturla;Sturla
skáld;skáld
Þórðarson;Þórðarson
sagði;sagði
fyrir;fyrir
Íslendinga;Íslendinga
sögur;sögur
,;,
ok;og
hafði;hafði
hann;hann
þar;þar
til;til
vísendi;vísindi
af;af
fróðum;fróðum
mönnum;mönnum
,;,
þeim;þeim
er;er
váru;voru
á;á
öndverðum;öndverðum
dögum;dögum
hans;hans
,;,
en;en
sumt;sumt
eftir;eftir
bréfum;bréfum
þeim;þeim
,;,
er;er
þeir;þeir
rituðu;rituðu
,;,
er;er
þeim;þeim
váru;voru
samtíða;samtíða
,;,
er;er
sögurnar;sögurnar
eru;eru
frá;frá
.;.
Marga;Marga
hluti;hluti
mátti;mátti
hann;hann
sjálfr;sjálfur
sjá;sjá
ok;og
heyra;heyra
,;,
þá;þá
er;er
á;á
hans;hans
dögum;dögum
gerðust;gerðust
til;til
stórtíðenda;stórtíðinda
.;.
Ok;Og
treystum;treystum
vér;vér
honum;honum
bæði;bæði
vel;vel
til;til
vits;vits
ok;og
einurðar;einurðar
at;að
segja;segja
frá;frá
,;,
því;því
at;að
hann;hann
vissa;vissa
ek;ég
alvitrastan;alvitrastan
ok;og
hófsamastan;hófsamastan
.;.
Láti;Láti
guð;guð
honum;honum
nú;nú
raun;raun
lofi;lofi
betri;betri
.;.
