Þess;Þess
er;er
við;við
getit;getið
eitt;eitt
sinn;sinn
,;,
at;að
Bragi;Bragi
skáld;skáld
sótti;sótti
heimboð;heimboð
til;til
Hjörs;Hjörs
konungs;konungs
,;,
ok;og
var;var
hann;hann
með;með
konungi;konungi
nokkura;nokkura
hríð;hríð
.;.
Ok;Og
einhvern;einhvern
dag;dag
er;er
þat;það
sagt;sagt
,;,
at;að
konungr;konungur
fór;fór
með;með
hirð;hirð
sína;sína
á;á
dýraveiði;dýraveiði
,;,
ok;og
varð;varð
mannfátt;mannfátt
heima;heima
í;í
höllinni;höllinni
.;.
Bragi;Bragi
skáld;skáld
var;var
heima;heima
ok;og
sat;sat
í;í
öndvegi;öndvegi
ok;og
hafði;hafði
reyrsprota;reyrsprota
einn;einn
í;í
hendi;hendi
sér;sér
ok;og
leikr;leikur
at;að
ok;og
þuldi;þuldi
í;í
feld;feld
sinn;sinn
.;.
Dróttning;Drottning
lá;lá
í;í
þilpalli;þilpalli
utar;utar
í;í
höllinni;höllinni
ok;og
var;var
hulin;hulin
klæðum;klæðum
,;,
svá;svo
at;að
ekki;ekki
mátti;mátti
vita;vita
,;,
hvárt;hvort
hon;hún
var;var
þar;þar
,;,
nema;nema
þeir;þeir
,;,
er;er
áðr;áður
vissu;vissu
.;.
Leifr;Leifur
sat;sat
í;í
hásæti;hásæti
ok;og
lék;lék
sér;sér
at;að
gulli;gulli
,;,
en;en
þeir;þeir
Hámundr;Hámundur
ok;og
Geirmundr;Geirmundur
sátu;sátu
í;í
hálmi;hálmi
ok;og
hugðu;hugðu
at;að
,;,
er;er
Leifr;Leifur
lék;lék
sér;sér
at;að
gullinu;gullinu
,;,
Þeir;Þeir
sáu;sáu
ok;ok
ekki;ekki
manna;manna
í;í
höllinni;höllinni
.;.
Þá;Þá
mælti;mælti
Geirmundr;Geirmundr
til;til
bróður;bróður
síns;síns
:;:
at;að
vit;vit
farim;förum
til;til
Leifs;Leifs
ok;og
takim;tökum
af;af
honum;honum
gullit;gullið
?;?
-;-
ok;ok
leikum;leikum
okkr;okkr
at;at
nökkura;nökkura
hríð;hríð
".""";"."""
em;er
ek;ég
þess;þess
",""";","""
segir;segir
Hámundr;Hámundr
.;.
Síðan;Síðan
hljópu;hlupu
sveinarnir;sveinarnir
innar;innar
at;að
hásætinu;hásætinu
ok;ok
tóku;tóku
gullit;gullið
af;af
Leifi;Leifi
,;,
en;en
hann;hann
glúpnaði;glúpnaði
ok;og
æpir;æpir
eftir;eftir
.;.
Þeir;Þeir
mæltu;mæltu
:;:
á;á
",""";","""
sögðu;sögðu
þeir;þeir
,;,
konungssonr;konungssonur
tekr;tekur
til;til
ok;og
æpir;æpir
eftir;eftir
einum;einum
gullbaugi;gullbaugi
.;.
Ok;Og
er;er
þat;það
satt;satt
at;at
segja;segja
,;,
at;at
þat;það
er;er
illa;illa
komit;komið
,;,
er;er
þú;þú
ferr;ferð
með;með
".""";"."""
Þrífa;Þrífa
nú;nú
sveinarnir;sveinarnir
til;til
Leifs;Leifs
ok;og
ráku;ráku
hann;hann
ór;úr
hásætinu;hásætinu
ok;og
hlæja;hlæja
