En;En
Geirmundr;Geirmundur
fór;fór
þá;þá
þegar;þegar
út;út
ok;og
kom;kom
skipi;skipi
sínu;sínu
í;í
Breiðafjörð;Breiðafjörð
ok;og
var;var
í;í
Búðardal;Búðardal
inn;hinn
fyrsta;fyrsta
vetr;vetur
,;,
er;er
hann;hann
var;var
á;á
Íslandi;Íslandi
.;.
En;En
um;um
várit;várið
nam;nam
hann;hann
land;land
frá;frá
Búðardalsá;Búðardalsá
ok;og
til;til
Fábeinsár;Fábeinsár
ok;og
setti;setti
þar;þar
bústað;bústað
sinn;sinn
,;,
er;er
nú;nú
heitir;heitir
á;á
Geirmundarstöðum;Geirmundarstöðum
.;.
Geirmundr;Geirmundr
bóndi;bóndi
var;var
stórmenni;stórmenni
mikit;mikið
ok;ok
helt;hélt
aldri;aldrei
færi;færi
menn;menn
en;en
átta;átta
tigu;tigu
vígra;vígra
karla;karla
með;með
sér;sér
á;á
Geirmundarstöðum;Geirmundarstöðum
.;.
Hann;Hann
átti;átti
ok;og
fjögur;fjögur
bú;bú
önnur;önnur
.;.
Var;Var
eitt;eitt
bú;bú
hans;hans
í;í
Aðalvík;Aðalvík
í;í
Ísafirði;Ísafirði
,;,
annat;annað
í;í
Kjaransvík;Kjaransvík
.;.
Þar;Þar
var;var
fyrir;fyrir
Kjaran;Kjaran
,;,
þræll;þræll
Geirmundar;Geirmundar
,;,
ok;og
hafði;hafði
Kjaran;Kjaran
tólf;tólf
þræla;þræla
undir;undir
sér;sér
.;.
It;Hið
þriðja;þriðja
bú;bú
átti;átti
Geirmundr;Geirmundur
í;í
Almenningum;Almenningum
inum;hinum
vestrum;vestrum
.;.
Þat;Það
varðveitti;varðveitti
Björn;Björn
,;,
þræll;þræll
hans;hans
.;.
Björn;Björn
varð;varð
síðan;síðan
sekr;sekur
um;um
sauðatöku;sauðatöku
,;,
ok;ok
urðu;urðu
almenningar;almenningar
sektarfé;sektarfé
hans;hans
.;.
It;Hið
fjórða;fjórða
bú;bú
Geirmundar;Geirmundar
varðveitti;varðveitti
Atli;Atli
,;,
þræll;þræll
hans;hans
,;,
ok;og
hafði;hafði
hann;hann
ok;og
tólf;tólf
þræla;þræla
undir;undir
sér;sér
sem;sem
Kjaran;Kjaran
.;.
Ok;Og
þjónuðu;þjónuðu
þessi;þessi
öll;öll
búin;búin
þar;þar
undir;undir
þat;það
,;,
er;er
hann;hann
sjálfr;sjálfur
helt;helt
kostnað;kostnað
af;af
á;á
Geirmundarstöðum;Geirmundarstöðum
.;.
