Geirr;Geir
hét;hét
maðr;maður
ríkr;ríkur
ok;og
ágætr;ágætr
í;í
Sogni;Sogni
.;.
Hann;Hann
var;var
blótmaðr;blótmaður
mikill;mikill
ok;og
var;var
af;af
því;því
kallaðr;kallaður
Végeirr;Végeir
.;.
Hann;Hann
átti;átti
sjau;sjö
börn;börn
eða;eða
fleiri;fleiri
.;.
Vébjörn;Vébjörn
hét;hét
sonr;sonur
hans;hans
ok;og
Végestr;Végestur
,;,
Vémundr;Vémundur
ok;og
Vésteinn;Vésteinn
,;,
Véleifr;Véleifur
ok;og
Véþorn;Véþorn
,;,
en;en
Védís;Védís
dóttir;dóttir
.;.
En;En
er;er
Végeirr;Végeir
andaðist;andaðist
,;,
þá;þá
tók;tók
Vébjörn;Vébjörn
forráð;forráð
bæði;bæði
fjár;fjár
ok;og
metorða;metorða
.;.
Hann;Hann
helt;hélt
óvini;óvini
Hákonar;Hákonar
Grjótgarðssonar;Grjótgarðssonar
,;,
ok;og
fóru;fóru
þau;þau
systkin;systkin
af;af
því;því
öll;öll
til;til
Íslands;Íslands
.;.
Þau;Þau
velkti;velkti
úti;úti
lengi;lengi
um;um
sumarit;sumarið
í;í
hafinu;hafinu
ok;og
tóku;tóku
at;að
lyktum;lyktum
Hlöðuvík;Hlöðuvík
um;um
haustit;haustið
fyrir;fyrir
vestan;vestan
Horn;Horn
.;.
Þá;Þá
gekk;gekk
Vébjörn;Vébjörn
at;að
blóta;blóta
,;,
en;en
bræðr;bræður
hans;hans
eggjuðu;eggjuðu
burtfarar;burtfarar
,;,
svá;svo
at;að
hann;hann
gáði;gáði
eigi;eigi
blótsins;blótsins
,;,
ok;og
létu;létu
þau;þau
út;út
ok;og
brutu;brutu
inn;hinn
sama;sama
dag;dag
undir;undir
hávum;hávum
hömrum;hömrum
í;í
miklu;miklu
illviðri;illviðri
ok;og
kómust;kómust
þar;þar
upp;upp
,;,
er;er
nú;nú
heitir;heitir
síðan;síðan
Sygnakleif;Sygnakleif
.;.
Þá;Þá
tók;tók
við;við
þeim;þeim
öllum;öllum
skipverjum;skipverjum
um;um
vetrinn;veturinn
Atli;Atli
,;,
þræll;þræll
Geirmundar;Geirmundar
heljarskinns;heljarskinns
.;.
Atli;Atli
var;var
ódæll;ódæll
ok;ok
hamrammr;hamrammur
mjök;mjög
.;.
En;En
er;er
Geirmundr;Geirmundur
vissi;vissi
þessa;þessa
órlausn;úrlausn
þrælsins;þrælsins
,;,
þá;þá
frétti;frétti
hann;hann
þrælinn;þrælinn
:;:
kom;kom
þér;þér
til;til
þess;þess
,;,
er;er
þú;þú
tókt;tókt
svá;svo
mikit;mikið
á;á
hendr;hendur
við;við
Vébjörn;Vébjörn
ok;og
förunauta;förunauta
hans;hans
"?""";"?"""
Þrællinn;Þrællinn
svarar;svarar
:;:
kom;kom
mér;mér
til;til
þess;þess
,;,
at;að
ek;ég
vilda;vilda
þann;þann
veg;veg
sýna;sýna
,;,
hversu;hversu
mikit;mikið
göfugmenni;göfugmenni
ok;og
stórmenni;stórmenni
sá;sá
maðr;maður
var;var
,;,
er;er
þann;þann
þræl;þræl
átti;átti
,;,
er;er
slík;slík
stórræði;stórræði
þorði;þorði
á;á
hendr;hendur
at;að
takast;takast
".""";"."""
Geirmundr;Geirmundur
bað;bað
þrælinn;þrælinn
hafa;hafa
þökk;þökk
fyrir;fyrir
sitt;sitt
órræði;úrræði
ok;og
gaf;gaf
honum;honum
fyrir;fyrir
þessa;þessa
sök;sök
frelsi;frelsi
ok;og
búland;búland
.;.
Mörgum;Mörgum
mönnum;mönnum
gaf;gaf
Geirmundr;Geirmundur
stórar;stórar
eignir;eignir
bæði;bæði
í;í
löndum;löndum
ok;og
lausum;lausum
eyri;eyri
.;.
Hann;Hann
gaf;gaf
Hrólfi;Hrólfi
Kjallakssyni;Kjallakssyni
bústað;bústað
at;að
Ballará;Ballará
.;.
Hann;Hann
var;var
vinr;vinur
Geirmundar;Geirmundar
,;,
ok;og
var;var
mikill;mikill
ættbogi;ættbogi
af;af
honum;honum
.;.
Hans;Hans
sonr;sonur
var;var
Illugi;Illugi
inn;hinn
rauði;rauði
ok;og
Sölvi;Sölvi
,;,
faðir;faðir
Þórðar;Þórðar
,;,
föður;föður
Magnúss;Magnúsar
,;,
föður;föður
Sölva;Sölva
,;,
föður;föður
Páls;Páls
