Dóttir;Dóttir
Geirmundar;Geirmundar
var;var
Ýrr;Ýrr
,;,
móðir;móðir
Þórhalls;Þórhalls
ok;og
Odda;Odda
,;,
föður;föður
Hallvarar;Hallvarar
,;,
er;er
átti;átti
Börkr;Börkur
,;,
sonr;sonur
Þormóðar;Þormóðar
Þjóstarssonar;Þjóstarssonar
.;.
Steinólfr;Steinólfur
inn;inn
lági;lági
,;,
sonr;sonur
Hrólfs;Hrólfs
hersis;hersis
af;af
Ögðum;Ögðum
,;,
nam;nam
land;land
á;á
milli;milli
Búðardalsár;Búðardalsár
ok;og
Tjaldaness;Tjaldaness
ok;og
bjó;bjó
í;í
Fagradal;Fagradal
.;.
Hans;Hans
dóttir;dóttir
var;var
Helga;Helga
,;,
móðir;móðir
Hyrnings;Hyrnings
Óláfssonar;Óláfssonar
,;,
er;er
átti;átti
Arndísi;Arndísi
,;,
dóttur;dóttur
Geirmundar;Geirmundar
heljarskinns;heljarskinns
.;.
Þeira;Þeirra
dóttir;dóttir
var;var
Friðgerðr;Friðgerður
,;,
móðir;móðir
Snæris;Snæris
Þóroddssonar;Þóroddssonar
,;,
föður;föður
Odda;Odda
,;,
föður;föður
Þorgils;Þorgils
Oddasonar;Oddasonar
.;.
Önnur;Önnur
dóttir;dóttir
Steinólfs;Steinólfs
ins;hins
lága;lága
ór;úr
Fagradal;Fagradal
var;var
Arndís;Arndís
,;,
móðir;móðir
Þórðar;Þórðar
,;,
föður;föður
Þorgerðar;Þorgerðar
,;,
móður;móður
Hrafns;Hrafns
,;,
föður;föður
Snartar;Snartar
,;,
föður;föður
Jódísar;Jódísar
,;,
móður;móður
Höllu;Höllu
,;,
móður;móður
Yngvildar;Yngvildar
,;,
er;er
átti;átti
Snorri;Snorri
lögsögumaðr;lögsögumaður
,;,
faðir;faðir
Narfa;Narfa
,;,
föður;föður
Skarð;Skarð
-;-
Snorra;Snorra
.;.
Ingólfr;Ingólfur
[;[
Arnar;Arnar
];]
son;son
,;,
hann;hann
staðfestist;staðfestist
fyrstr;fyrstur
á;á
Íslandi;Íslandi
landnámsmanna;landnámsmanna
,;,
svá;svo
at;að
menn;menn
kunni;kunni
ættir;ættir
sínar;sínar
til;til
at;að
telja;telja
.;.
Ingólfr;Ingólfur
var;var
faðir;faðir
Þorsteins;Þorsteins
,;,
föður;föður
Þorkels;Þorkels
mána;mána
lögsögumanns;lögsögumanns
.;.
Þórhildr;Þórhildur
var;var
dóttir;dóttir
Þorsteins;Þorsteins
Ingólfssonar;Ingólfssonar
,;,
móðir;móðir
Þorkels;Þorkels
,;,
föður;föður
Ketils;Ketils
,;,
föður;föður
Hauks;Hauks
,;,
föður;föður
Yngvildar;Yngvildar
,;,
móður;móður
Snorra;Snorra
,;,
föður;föður
Narfa;Narfa
,;,
föður;föður
Skarð;Skarð
-;-
Snorra;Snorra
.;.
Hrollaugr;Hrollaugur
hét;hét
maðr;maður
.;.
Hann;Hann
var;var
sonr;sonur
Rögnvalds;Rögnvalds
jarls;jarls
á;á
Mæri;Mæri
.;.
Frá;Frá
honum;honum
eru;eru
Síðumenn;Síðumenn
komnir;komnir
.;.
Hans;Hans
sonr;sonur
var;var
Özurr;Össur
,;,
faðir;faðir
Þórdísar;Þórdísar
,;,
móður;móður
Halls;Halls
á;á
Síðu;Síðu
.;.
Egill;Egill
,;,
sonr;sonur
Halls;Halls
,;,
var;var
faðir;faðir
Þorgerðar;Þorgerðar
,;,
móður;móður
Jóns;Jóns
byskups;byskups
.;.
Yngvildr;Yngvildur
Hallsdóttir;Hallsdóttir
var;var
móðir;móðir
Þóreyjar;Þóreyjar
,;,
móður;móður
Sæmundar;Sæmundar
ins;hins
fróða;fróða
.;.
Þorvarðr;Þorvarður
Hallsson;Hallsson
var;var
faðir;faðir
Þórdísar;Þórdísar
,;,
móður;móður
Jóreiðar;Jóreiðar
,;,
móður;móður
Halls;Halls
prests;prests
í;í
Haukadal;Haukadal
Teitssonar;Teitssonar
.;.
Þorsteinn;Þorsteinn
Hallsson;Hallsson
var;var
faðir;faðir
Magnúss;Magnúsar
,;,
föður;föður
Einars;Einars
,;,
föður;föður
Magnúss;Magnúsar
byskups;byskups
.;.
Ljótr;Ljótur
Hallsson;Hallsson
var;var
faðir;faðir
Guðrúnar;Guðrúnar
,;,
móður;móður
Einars;Einars
Arasonar;Arasonar
ok;og
Steinunnar;Steinunnar
,;,
móður;móður
Guðmundar;Guðmundar
,;,
ok;og
Hallberu;Hallberu
,;,
móður;móður
Þorgils;Þorgils
........,;........,
föður;föður
Húnboga;Húnboga
,;,
föður;föður
Snorra;Snorra
,;,
föður;föður
Narfa;Narfa
,;,
föður;föður
Skarð;Skarð
-;-
Snorra;Snorra
.;.
Móðir;Móðir
Skarð;Skarð
-;-
Snorra;Snorra
var;var
Guðrún;Guðrún
Þórðardóttir;Þórðardóttir
,;,
Oddleifssonar;Oddleifssonar
,;,
Þórðarsonar;Þórðarsonar
krákunefs;krákunefs
.;.
Þessi;Þessi
váru;voru
systkin;systkin
Skarð;Skarð
-;-
Snorra;Snorra
:;:
Þórðr;Þórður
,;,
er;er
átti;átti
Jóreiði;Jóreiði
Hallsdóttur;Hallsdóttur
.;.
Þeira;Þeirra
dóttir;dóttir
var;var
Helga;Helga
,;,
er;er
Sturla;Sturla
átti;átti
Þórðarson;Þórðarson
lögmaðr;lögmaður
.;.
Þorbjörn;Þorbjörn
var;var
laungetinn;laungetinn
ok;og
Halldís;Halldís
.;.
Yngvildi;Yngvildi
,;,
systur;systur
Snorra;Snorra
,;,
átti;átti
Gunnsteinn;Gunnsteinn
Hallsson;Hallsson
.;.
Hon;Hon
var;var
móðir;móðir
Vigfúss;Vigfúsar
ok;og
þeira;þeirra
systkina;systkina
.;.
Guðríðr;Guðríður
,;,
systir;systir
Snorra;Snorra
,;,
var;var
móðir;móðir
Guðmundar;Guðmundar
prests;prests
Óláfssonar;Óláfssonar
ok;og
