Ísleifr;Ísleifur
byskup;biskup
átti;átti
þrjá;þrjá
sonu;sonu
.;.
Þeir;Þeir
váru;voru
allir;allir
höfðingjar;höfðingjar
:;:
Gizurr;Gissur
byskup;biskup
ok;og
Þorvaldr;Þorvaldur
,;,
-;-
Teitr;Teitur
hét;hét
inn;inn
þriði;þriðji
.;.
Hann;Hann
fæddist;fæddist
upp;upp
í;í
Haukadal;Haukadal
með;með
Halli;Halli
inum;hinum
milda;milda
.;.
Ek;Ég
kom;kom
til;til
hans;hans
sjau;sjö
vetra;vetra
gamall;gamall
,;,
vetri;vetri
eftir;eftir
þat;það
,;,
er;er
Gellir;Gellir
Þorkelsson;Þorkelsson
andaðist;andaðist
.;.
En;En
Hallr;Hallur
sagði;sagði
svá;svo
Ara;Ara
presti;presti
inum;hinum
fróða;fróða
,;,
at;að
hann;hann
mundi;mundi
,;,
þá;þá
er;er
hann;hann
var;var
skírðr;skírður
þrévetr;þrívetur
.;.
En;En
þat;það
var;var
vetri;vetri
fyrr;fyrr
en;en
kristni;kristni
væri;væri
í;í
lög;lög
tekin;tekin
á;á
Íslandi;Íslandi
.;.
En;En
hann;hann
gerði;gerði
bú;bú
þrítugr;þrítugur
ok;og
bjó;bjó
í;í
Haukadal;Haukadal
sex;sex
tigu;tugu
ok;og
fjóra;fjóra
vetr;vetur
.;.
Hann;Hann
hafði;hafði
fjóra;fjóra
vetr;vetur
ins;hins
tíunda;tíunda
tigar;tugir
,;,
er;er
hann;hann
andaðist;andaðist
.;.
Þat;Það
var;var
Marteinsmessu;Marteinsmessu
tíu;tíu
vetrum;vetrum
eftir;eftir
andlát;andlát
Ísleifs;Ísleifs
byskups;biskups
.;.
Eftir;Eftir
Hall;Hall
bjó;bjó
í;í
Haukadal;Haukadal
Teitr;Teitur
prestr;prestur
,;,
fóstri;fóstri
hans;hans
,;,
sonr;sonur
Ísleifs;Ísleifs
byskups;biskups
,;,
ok;og
var;var
mikill;mikill
merkismaðr;merkismaður
.;.
Frá;Frá
honum;honum
er;er
margt;margt
manna;manna
komit;komið
.;.
Þat;Það
er;er
Haukdælaætt;Haukdælaætt
kölluð;kölluð
.;.
Hann;Hann
andaðist;andaðist
þúsund;þúsund
ellifu;ellefu
tigi;tugi
ok;og
einum;einum
vetri;vetri
eftir;eftir
burð;burð
Krists;Krists
,;,
en;en
fimm;fimm
vetrum;vetrum
fyrr;fyrr
en;en
Hvamm;Hvamm
-;-
Sturla;Sturla
væri;væri
fæddr;fæddur
.;.
Sonr;Sonur
Teits;Teits
prests;prests
var;var
Hallr;Hallur
byskupsefni;biskupsefni
,;,
mikill;mikill
höfðingi;höfðingi
.;.
Hann;Hann
bjó;bjó
í;í
Haukadal;Haukadal
eftir;eftir
föður;föður
sinn;sinn
ok;og
andaðist;andaðist
,;,
þá;þá
er;er
liðnir;liðnir
váru;voru
frá;frá
burði;burði
Krists;Krists
ellifu;ellefu
hundruð;hundruð
ok;og
fimm;fimm
tigir;tugir
vetra;vetra
.;.
Hallr;Hallur
Teitsson;Teitsson
átti;átti
Þuríði;Þuríði
,;,
dóttur;dóttur
Þorgeirs;Þorgeirs
á;á
Mýri;Mýri
.;.
Gizurr;Gissur
lögsögumaðr;lögsögumaður
var;var
sonr;sonur
þeira;þeira
.;.
Hann;Hann
bjó;bjó
í;í
Haukadal;Haukadal
eftir;eftir
föður;föður
sinn;sinn
.;.
Hann;Hann
var;var
bæði;bæði
vitr;vitur
ok;og
málsnjallr;málsnjallur
.;.
Hann;Hann
var;var
stallari;stallari
Sigurðar;Sigurðar
konungs;konungs
,;,
föður;föður
Sverris;Sverris
konungs;konungs
.;.
Hann;Hann
var;var
ok;og
inn;inn
bezti;besti
klerkr;klerkur
,;,
þeira;þeirra
er;er
hér;hér
á;á
landi;landi
hafa;hafa
verit;verið
.;.
Oft;Oft
fór;fór
hann;hann
af;af
landi;landi
brott;brott
ok;og
var;var
betr;betur
metinn;metinn
í;í
Róma;Róma
en;en
nökkurr;nokkur
íslenzkr;íslenskur
maðr;maður
fyrr;fyrr
honum;honum
af;af
mennt;mennt
sinni;sinni
ok;og
framkvæmd;framkvæmd
.;.
Honum;Honum
varð;varð
víða;víða
kunnigt;kunnugt
um;um
Suðrlönd;Suðurlönd
,;,
ok;og
þar;þar
af;af
gerði;gerði
hann;hann
bók;bók
þá;þá
,;,
er;er
heitir;heitir
Flos;Flos
peregrinationis;peregrinationis
.;.
Hann;Hann
átti;átti
Álfheiði;Álfheiði
,;,
dóttur;dóttur
Þorvalds;Þorvalds
ins;hins
auðga;auðga
Guðmundarsonar;Guðmundarsonar
.;.
Börn;Börn
þeira;þeirra
váru;voru
þau;þau
Þorvaldr;Þorvaldur
ok;og
Hallr;Hallur
ábóti;ábóti
ok;og
Magnús;Magnús
byskup;biskup
,;,
Þuríðr;Þuríður
,;,
er;er
átti;átti
Tumi;Tumi
Kolbeinsson;Kolbeinsson
,;,
Kolfinna;Kolfinna
,;,
er;er
átti;átti
Ari;Ari
inn;hinn
sterki;sterki
,;,
en;en
síðar;síðar
Garða;Garða
-;-
Snorri;Snorri
.;.
Halldóra;Halldóra
var;var
dóttir;dóttir
Gizurar;Gissurar
ok;og
Þuríðar;Þuríðar
Árnadóttur;Árnadóttur
,;,
er;er
átti;átti
Bersi;Bersi
Halldórsson;Halldórsson
.;.
Þeira;Þeirra
börn;börn
váru;váru
þau;þau
Teitr;Teitur
byskupsefni;biskupsefni
ok;og
Þorgerðr;Þorgerður
.;.
