Í;Í
þenna;þenna
tíma;tíma
bjó;bjó
Guðmundr;Guðmundur
gríss;grís
á;á
Þingvelli;Þingvelli
.;.
Hann;Hann
átti;átti
Solveigu;Sólveigu
,;,
dóttur;dóttur
Jóns;Jóns
Loftssonar;Loftssonar
.;.
Þau;Þau
áttu;áttu
tvær;tvær
dætr;dætur
,;,
ok;og
hét;hét
hvártveggja;hvortveggja
Þóra;Þóra
,;,
ok;og
váru;voru
svá;svá
skilin;skilin
nöfn;nöfn
með;með
þeim;þeim
,;,
at;að
önnur;önnur
var;var
kölluð;kölluð
in;hin
yngri;yngri
Þóra;Þóra
,;,
en;en
önnur;önnur
in;hin
ellri;eldri
Þóra;Þóra
.;.
Þær;Þær
váru;voru
báðar;báðar
inar;hinar
gerviligstu;gervilegustu
konur;konur
ok;og
vel;vel
menntar;menntaðar
.;.
Þær;Þær
þóttu;þóttu
þá;þá
beztir;bestir
kvenkostir;kvenkostir
af;af
ógiftum;ógiftum
konum;konum
.;.
Þær;Þær
fóru;fóru
jafnan;jafnan
upp;upp
í;í
Almannagjá;Almannagjá
með;með
léreft;léreft
sín;sín
til;til
ár;ár
þeirar;þeirrar
,;,
er;er
þar;þar
fellr;fellur
.;.
Þat;Það
var;var
einn;einn
dag;dag
,;,
er;er
þær;þær
váru;voru
þar;þar
staddar;staddar
at;að
skemmta;skemmta
sér;sér
við;við
ána;ána
,;,
þá;þá
tók;tók
Þóra;Þóra
in;in
ellri;eldri
til;til
orða;orða
:;:
ætlar;ætlar
þú;þú
,;,
systir;systir
,;,
hversu;hversu
lengi;lengi
þetta;þetta
mun;mun
vera;vera
,;,
at;að
eigi;eigi
verði;verði
menn;menn
til;til
at;að
biðja;biðja
okkar;okkar
,;,
eða;eða
hvat;hvað
ætlar;ætlar
þú;þú
,;,
at;að
fyrir;fyrir
okkr;okkur
muni;muni
liggja;liggja
?;?
ber;ber
ek;ég
litla;litla
hugsun;hugsun
fyrir;fyrir
",""";","""
segir;segir
in;hin
yngri;yngri
Þóra;Þóra
,;,
at;að
ek;ég
uni;uni
allvel;allvel
við;við
,;,
meðan;meðan
svá;svo
búit;búið
er;er
".""";"."""
er;er
ok;og
",""";","""
segir;segir
in;hin
ellri;eldri
Þóra;Þóra
,;,
hér;hér
er;er
sæmiligt;sæmilegt
at;að
vera;vera
með;með
föður;föður
ok;og
móður;móður
,;,
en;en
eigi;eigi
er;er
hér;hér
glaðværi;glaðværi
eða;eða
svá;svo
unaðsamligt;unaðsamlegt
at;að
vera;vera
fyrir;fyrir
þat;það
".""";"."""
er;er
víst;víst
",""";","""
segir;segir
in;hin
yngri;yngri
Þóra;Þóra
,;,
eigi;eigi
er;er
víst;víst
,;,
at;að
þú;þú
unir;unir
þá;þá
betr;betur
,;,
er;er
þessu;þessu
bregðr;bregður
".""";"."""
þá;þá
",""";","""
segir;segir
in;in
ellri;ellri
Þóra;Þóra
,;,
vit;við
okkr;okkur
hér;hér
af;af
gaman;gaman
ok;ok
reynum;reynum
hugspeki;hugspeki
okkra;okkar
.;.
Seg;Seg
mér;mér
,;,
hvat;hvað
þú;þú
myndir;myndir
kjósa;kjósa
,;,
hverr;hver
maðr;maður
helzt;helst
bæði;bæði
þín;þín
,;,
því;því
at;að
þat;það
þykkjumst;þykkjumst
ek;ég
vita;vita
,;,
at;að
eigi;eigi
munim;munum
vit;við
allan;allan
aldr;aldur
ógiftar;ógiftar
heima;heima
sitja;sitja
".""";"."""
þörf;þörf
ætla;ætla
ek;ég
á;á
því;því
",""";","""
segir;segir
in;hin
yngri;yngri
Þóra;Þóra
,;,
at;at
allt;allt
mun;mun
ætlat;ætlað
fyrir;fyrir
,;,
ok;og
gerir;gerir
því;því
ekki;ekki
hugsan;hugsan
fyrir;fyrir
slíku;slíku
at;að
bera;bera
eða;eða
geipa;geipa
þar;þar
um;um
nökkut;nokkuð
".""";"."""
er;er
þat;það
víst;víst
",""";","""
segir;segir
in;hin
ellri;eldri
Þóra;Þóra
,;,
þat;það
er;er
ákveðit;ákveðið
,;,
er;er
minna;minna
háttar;háttar
er;er
en;en
forlög;forlög
manna;manna
.;.
En;En
þó;þó
vil;vil
ek;ég
eigi;eigi
at;að
síðr;síður
,;,
at;að
þú;þú
segir;segir
mér;mér
,;,
hvat;hvað
þú;þú
myndir;myndir
kjósa;kjósa
,;,
hvat;hvað
fyrir;fyrir
þér;þér
lægi;lægi
".""";"."""
ræð;ræð
ek;ég
",""";","""
segir;segir
in;in
yngri;yngri
Þóra;Þóra
,;,
vit;við
látim;látum
þetta;þetta
tal;tal
niðr;niður
