Ragnheiðr;Ragnheiður
hét;hét
kona;kona
,;,
dóttir;dóttir
Arons;Arons
Bárðarsonar;Bárðarsonar
ins;hins
svarta;svarta
.;.
Hon;Hún
bjó;bjó
í;í
Selárdal;Selárdal
.;.
Þar;Þar
kom;kom
reyðarhvalr;reyðarhvalur
.;.
Ok;Og
er;er
Þorvaldr;Þorvaldur
frétti;frétti
þat;það
,;,
fór;fór
hann;hann
ok;og
bað;bað
Ragnheiði;Ragnheiði
selja;selja
sér;sér
hval;hval
.;.
En;En
hon;hún
lét;lét
hann;hann
hafa;hafa
tólf;tólf
vættir;vættir
ok;og
mælti;mælti
,;,
at;að
hann;hann
skyldi;skyldi
gjalda;gjalda
henni;henni
jafnmikinn;jafnmikinn
,;,
þá;þá
er;er
ræki;ræki
á;á
fjörur;fjörur
hans;hans
.;.
Þann;Þann
hval;hval
galt;galt
Þorvaldr;Þorvaldur
aldri;aldri
síðan;síðan
.;.
Ok;Og
er;er
hann;hann
fór;fór
brott;brott
ór;úr
Selárdal;Selárdal
,;,
gisti;gisti
hann;hann
á;á
þeim;þeim
bæ;bæ
,;,
er;er
heitir;heitir
í;í
Lokinhömrum;Lokinhömrum
.;.
Þar;Þar
var;var
stolinn;stolinn
í;í
brott;brott
sumr;sumur
hvalrinn;hvalurinn
.;.
Sá;Sá
stuldr;stuldur
reyndist;reyndist
síðan;síðan
á;á
hendr;hendur
þingmanni;þingmanni
Hrafns;Hrafns
,;,
þeim;þeim
er;er
bjó;bjó
á;á
Sléttanesi;Sléttanesi
.;.
Ok;Og
er;er
Hrafn;Hrafn
varð;varð
þess;þess
varr;var
,;,
bauð;bauð
hann;hann
Þorvaldi;Þorvaldi
at;að
gjalda;gjalda
fyrir;fyrir
þingmann;þingmann
sinn;sinn
slíkt;slíkt
,;,
sem;sem
Þorvaldr;Þorvaldur
vildi;vildi
gera;gera
fyrir;fyrir
tokuna;tökuna
.;.
Þorvald;Þorvaldur
vildi;vildi
eigi;eigi
þiggja;þiggja
fébætr;fébætur
af;af
Hrafni;Hrafni
,;,
ok;og
rænti;rændi
hann;hann
þann;þann
mann;mann
,;,
er;er
hvalinn;hvalinn
tók;tók
.;.
Gekk;Gekk
Þorvaldr;Þorvaldur
þá;þá
at;at
öðru;öðru
hverju;hverju
á;á
þingmenn;þingmenn
Hrafns;Hrafns
