Maðr;Maður
hét;hét
Haukr;Haukur
,;,
er;er
kallaðr;kallaður
var;var
Víga;Víga
-;-
Haukr;Haukur
,;,
sonr;sonur
Orms;Orms
Fornasonar;Fornasonar
.;.
Hann;Hann
var;var
norðlenzkr;norðlenskur
at;að
kyni;kyni
.;.
Hann;Hann
kvángaðist;kvongaðist
vestr;vestur
á;á
Rauðasandi;Rauðasandi
ok;og
fekk;fékk
Hallberu;Hallberu
,;,
dóttur;dóttur
Markúss;Markúsar
Gíslasonar;Gíslasonar
,;,
ok;og
fór;fór
þangat;þangað
vistafari;vistafari
til;til
Lopts;Lofts
.;.
Þá:Þá
er;er
Gísli;Gísli
var;var
fulltíða;fulltíða
Markússon;Markússon
,;,
beiddi;beiddi
hann;hann
Loft;Loft
,;,
bróður;bróður
sinn;sinn
,;,
gjalda;gjalda
fé;fé
þau;þau
,;,
er;er
þeir;þeir
Magnús;Magnús
bræðr;bræður
áttu;áttu
.;.
Loftr;Loftur
greiddi;greiddi
sem;sem
Gísli;Gísli
beiddi;bað
bæði;bæði
lönd;lönd
ok;og
lausa;lausa
aura;aura
,;,
því;því
at;að
Loftr;Loftur
var;var
laungetinn;laungetinn
.;.
Nú;Nú
er;er
Loftr;Loftur
var;var
staðfestulauss;staðfestulauss
,;,
þá;þá
fór;fór
hann;hann
norðr;norður
í;í
Dýrafjörð;Dýrafjörð
á;á
Mýrar;Mýrar
.;.
Þar;Þar
bjó;bjó
sá;sá
maðr;maður
,;,
er;er
Mögr;Mögur
hét;hét
,;,
þingmaðr;þingmaður
Hrafns;Hrafns
,;,
ok;og
átti;átti
Hrafn;Hrafn
mála;mála
á;á
Mýralandi;Mýralandi
.;.
Loftr;Loftur
keypti;keypti
svá;svo
landit;landið
,;,
at;að
hann;hann
spurði;spurði
Hrafn;Hrafn
eigi;eigi
at;að
,;,
ok;og
fór;fór
þangat;þangað
búi;búi
sínu;sínu
.;.
Víga;Víga
-;-
Haukr;Haukur
réðst;réðst
á;á
Mýrar;Mýrar
með;með
Lofti;Lofti
.;.
Hrafni;Hrafni
mislíkaði;mislíkaði
landkaupit;landkaupið
Lofts;Lofts
ok;og
búgerð;búgerð
,;,
því;því
at;að
Loftr;Loftur
var;var
hávaðamaðr;hávaðamaður
ok;og
ódæll;ódæll
.;.
Loftr;Loftur
hafði;hafði
orð;orð
tygilig;tygilig
við;við
Hrafn;Hrafn
ok;og
þingmenn;þingmenn
hans;hans
,;,
kvaðst;kvaðst
aldri;aldri
hirða;hirða
,;,
hvárt;hvort
þeim;þeim
þætti;þætti
vel;vel
eða;eða
illa;illa
hans;hans
byggð;byggð
.;.
Þá;Þá
fór;fór
Hrafn;Hrafn
á;á
Mýrar;Mýrar
með;með
fjölmenni;fjölmenni
.;.
Þá;Þá
kom;kom
þar;þar
Þorvaldr;Þorvaldur
Snorrason;Snorrason
með;með
sétta;sjötta
mann;mann
ok;og
bauð;bauð
Hrafni;Hrafni
lið;lið
sitt;sitt
ok;og
gekk;gekk
í;í
flokk;flokk
Hrafns;Hrafns
.;.
Síðan;Síðan
var;var
leitat;leitaði
um;um
sættir;sættir
,;,
ok;og
var;var
Loftr;Loftur
tregr;tregur
.;.
Þá;Þá
fóru;fóru
þeir;þeir
Hrafn;Hrafn
til;til
ok;og
veittu;veittu
í;í
brott;brott
læk;læk
þann;þann
,;,
er;er
inn;inn
fell;fell
í;í
húsin;húsin
á;á
Mýrum;Mýrum
.;.
Þá;Þá
grunaði;grunaði
Loft;Loft
,;,
at;að
þeir;þeir
myndi;myndi
ætla;ætla
at;að
bera;bera
eld;eld
at;að
húsum;húsum
ok;og
brenna;brenna
bæinn;bæinn
.;.
Leitaði;Leitaði
Haukr;Haukur
þá;þá
um;um
sættir;sættir
.;.
Ok;Og
þat;það
varð;varð
,;,
at;að
þeir;þeir
sættust;sættust
á;á
þat;það
,;,
at;að
Sighvatr;Sighvatur
Sturluson;Sturluson
skyldi;skyldi
gera;gera
með;með
þeim;þeim
.;.
Eftir;Eftir
þenna;þenna
fund;fund
ýfðust;ýfðust
þeir;þeir
Loftr;Loftur
ok;og
Haukr;Haukr
við;við
Þorvald;Þorvald
fyrir;fyrir
þat;það
,;,
er;er
hann;hann
hafði;hafði
gerzt;gerst
berr;ber
í;í
liðveizlu;liðveislu
við;við
Hrafn;Hrafn
.;.
Um;Um
sumarit;sumarið
eftir;eftir
á;á
alþingi;alþingi
hljóp;hljóp
Haukr;Haukur
til;til
Þorvalds;Þorvalds
ok;og
hjó;hjó
milli;milli
herða;herða
honum;honum
,;,
en;en
Þorvaldr;Þorvaldur
skeindist;skeindist
eigi;eigi
,;,
því;því
at;að
hann;hann
var;var
í;í
brynju;brynju
.;.
Þá;Þá
hjó;hjó
Haukr;Haukur
til;til
förunauts;förunauts
Þorvalds;Þorvalds
,;,
þess;þess
er;er
Teitr;Teitur
hét;hét
,;,
—;—
hann;hann
var;var
sonr;sonur
Árna;Árna
rauðskeggs;rauðskeggs
.;.
Þat;Það
högg;högg
kom;kom
á;á
hönd;hönd
Teiti;Teiti
,;,
ok;og
var;var
kallat;kallað
í;í
fyrstu;fyrstu
eigi;eigi
mikit;mikið
sárit;sárið
,;,
en;en
höndin;höndin
fell;féll
af;af
honum;honum
síðan;síðan
í;í
hreifanum;hreifanum
.;.
Á;Á
þau;þau
mál;mál
var;var
sætzt;sæst
þar;þar
á;á
þinginu;þinginu
.;.
En;En
þat;það
kom;kom
upp;upp
síðan;síðan
,;,
at;að
þeir;þeir
Loftr;Loftur
ok;og
Gísli;Gísli
hefði;hefði
verit;verið
í;í
fjörráðum;fjörráðum
við;við
Þorvald;Þorvald
ok;ok
þeir;þeir
hefði;hefði
heitit;heitið
at;að
halda;halda
fébótum;fébótum
upp;upp
fyrir;fyrir
Hauk;Hauk
,;,
ef;ef
hann;hann
ynni;ynni
á;á
Þorvaldi;Þorvaldi
.;.
En;En
er;er
Loftr;Loftur
vissi;vissi
,;,
at;að
Þorvald;Þorvald
hafði;hafði
eigi;eigi
sakat;sakað
,;,
þá;þá
vildi;vildi
hann;hann
ekki;ekki
gjöldum;gjöldum
upp;upp
halda;halda
.;.
En;En
Hauki;Hauki
þótti;þótti
þeir;þeir
bæta;bæta
eiga;eiga
,;,
þar;þar
sem;sem
hann;hann
réð;réð
til;til
Þorvalds;Þorvalds
.;.
Nú;Nú
sýndist;sýndist
Lofti;Lofti
sér;sér
óvarligt;óvarlegt
at;að
sitja;sitja
í;í
Dýrafirði;Dýrafirði
fyrir;fyrir
ófriði;ófriði
Þorvalds;Þorvalds
,;,
Því;Því
fór;fór
hann;hann
suðr;suður
um;um
land;land
,;,
er;er
menn;menn
kómu;komu
af;af
þingi;þingi
,;,
til;til
Eyjólfs;Eyjólfs
ins;hins
óða;óða
Þorsteinssonar;Þorsteinssonar
,;,
mágs;mágs
síns;síns
,;,
föður;föður
Álfdísar;Álfdísar
,;,
konu;konu
hans;hans
,;,
ok;og
var;var
þar;þar
um;um
sumarit;sumarið
ok;og
öndverðan;öndverðan
vetr;vetur
.;.
Þetta;Þetta
sumar;sumar
fór;fór
Þorvaldr;Þorvaldur
vestr;vestur
í;í
Dýrafjörð;Dýrafjörð
til;til
leiðar;leiðar
at;að
vita;vita
gjalda;gjalda
þeira;þeirra
,;,
er;er
gjaldast;gjaldast
skyldi;skyldi
fyrir;fyrir
Hauk;Hauk
.;.
En;En
féin;féin
kómu;komu
eigi;eigi
fram;fram
.;.
Þá;Þá
beiddi;bað
Þorvaldr;Þorvaldur
Hrafn;Hrafn
,;,
at;að
hann;hann
skyldi;skyldi
fara;fara
með;með
honum;honum
á;á
Mýrar;Mýrar
at;að
ræna;ræna
þar;þar
.;.
En;En
Hrafn;Hrafn
vildi;vildi
eigi;eigi
í;í
þeiri;þeirri
för;för
vera;vera
,;,
kvaðst;kvaðst
veita;veita
mundu;mundu
Þorvaldi;Þorvaldi
til;til
laga;laga
,;,
en;en
eigi;eigi
til;til
ólaga;ólaga
,;,
—;—
mælti;mælti
,;,
at;að
Þorvaldr;Þorvaldur
skyldi;skyldi
sækja;sækja
Loft;Loft
eða;eða
Gísla;Gísla
at;að
lögum;lögum
um;um
fjörráð;fjörráð
eða;eða
fjárhald;fjárhald
,;,
ok;og
kvaðst;kvaðst
mundu;mundu
veita;veita
honum;honum
til;til
þess;þess
.;.
Eftir;Eftir
þat;það
fór;fór
Þorvaldr;Þorvaldur
á;á
Mýrar;Mýrar
ok;og
rænti;rænti
þar;þar
mörgu;mörgu
,;,
en;en
lagði;lagði
ámæli;ámæli
til;til
við;við
Hrafn;Hrafn
.;.
Þá;Þá
