Í;Í
þenna;þenna
tíma;tíma
tók;tók
at;að
vaxa;vaxa
mjök;mjög
sundrþykki;sundurþykki
með;með
þeim;þeim
Hrafni;Hrafni
ok;og
Þorvaldi;Þorvaldi
af;af
þeim;þeim
ágangi;ágangi
,;,
er;er
Þorvaldr;Þorvaldur
tók;tók
at;að
hafa;hafa
á;á
hendr;hendur
þingmönnum;þingmönnum
Hrafns;Hrafns
.;.
Þorvaldr;Þorvaldr
færði;færði
ómaga;ómaga
þingmanni;þingmanni
Hrafns;Hrafns
.;.
Sá;Sá
fór;fór
at;að
finna;finna
Hrafn;Hrafn
ok;og
bað;bað
hann;hann
af;af
sér;sér
flytja;flytja
ómagann;ómagann
.;.
Þá;Þá
safnar;safnar
Hrafn;Hrafn
liði;liði
ok;og
ferr;fer
við;við
átta;átta
tigu;tugi
manna;manna
norðr;norður
til;til
Ísafjarðar;Ísafjarðar
ok;og
færði;færði
ómagann;ómagann
þeim;þeim
manni;manni
,;,
er;er
Jósep;Jósep
hét;hét
.;.
Hann;Hann
bjó;bjó
í;í
Súðavík;Súðavík
.;.
Þorvaldr;Þorvaldur
varð;varð
varr;var
við;við
ferð;ferð
hans;hans
ok;og
tók;tók
skútu;skútu
þar;þar
í;í
Súðavík;Súðavík
ok;og
lagði;lagði
í;í
einn;einn
leynivág;leynivág
ok;og
var;var
þar;þar
,;,
meðan;meðan
Hrafn;Hrafn
var;var
í;í
Súðavík;Súðavík
.;.
Hrafn;Hrafn
lét;lét
þar;þar
eftir;eftir
ómagann;ómagann
.;.
Þetta;Þetta
kváðu;kváðu
förunautar;förunautar
hans;hans
:;:
Eftir;Eftir
þat;það
fór;fór
Hrafn;Hrafn
heim;heim
.;.
Þá;Þá
urðu;urðu
í;í
Vestfjörðum;Vestfjörðum
mörg;mörg
kyn;kyn
í;í
draumum;draumum
ok;og
sýnum;sýnum
.;.
Einu;Einu
sinni;sinni
,;,
er;er
Hrafn;Hrafn
hafði;hafði
verit;verið
á;á
kynnisleitan;kynnisleitan
í;í
Selárdal;Selárdal
,;,
fór;fór
hann;hann
brott;brott
snemma;snemma
um;um
morgin;morgin
ok;og
tveir;tveir
menn;menn
við;við
honum;honum
.;.
Þá;Þá
sáu;sáu
þeir;þeir
ljós;ljós
mikit;mikið
fara;fara
ór;úr
austri;austri
í;í
móti;móti
sér;sér
frá;frá
bænum;bænum
á;á
Eyri;Eyri
.;.
Hrafn;Hrafn
sá;sá
í;í
ljósinu;ljósinu
þrjá;þrjá
menn;menn
.;.
Þar;Þar
þóttist;þóttist
hann;hann
kenna;kenna
sik;sig
í;í
ljósinu;ljósinu
ok;og
tvá;tvo
menn;menn
aðra;aðra
.;.
Þessa;Þessa
sýn;sýn
sagði;sagði
hann;hann
fáum;fáum
mönnum;mönnum
.;.
Þórðr;Þórður
hét;hét
maðr;maður
.;.
Hann;Hann
var;var
heimamaðr;heimamaður
í;í
Selárdal;Selárdal
.;.
Hann;Hann
dreymdi;dreymdi
,;,
at;að
maðr;maður
kæmi;kæmi
at;að
honum;honum
,;,
svartr;svartur
ok;og
illiligr;illilegur
.;.
Þórðr;Þórður
þóttist;þóttist
spyrja;spyrja
,;,
hverr;hver
hann;hann
væri;væri
.;.
Hann;Hann
kvað;kvað
:;:
Guðmundr;Guðmundur
hét;hét
maðr;maður
,;,
er;er
dreymdi;dreymdi
,;,
at;að
maðr;maður
kom;kom
at;að
honum;honum
,;,
svartr;svartur
,;,
mikill;mikill
ok;og
illiligr;illilegur
.;.
Hann;Hann
þóttist;þóttist
spyrja;spyrja
,;,
hvat;hvat
manna;manna
hann;hann
væri;væri
.;.
Sá;Sá
svarar;svarar
:;:
er;er
nú;nú
kominn;kominn
Ingólfr;Ingólfur
,;,
sá;sá
er;er
þér;þér
vitraðist;vitraðist
fyrir;fyrir
vígi;vígi
Markúss;Markúss
".""";"."""
Guðmundr;Guðmundr
spurði;spurði
:;:
þú;þú
nú;nú
með;með
jafnillum;jafnillum
tíðendum;tíðindum
sem;sem
þá;þá
"?""";"?"""
Hann;Hann
kvað;kvað
:;:
Eyjólfr;Eyjólfr
hét;hét
maðr;maður
.;.
Hann;Hann
var;var
Snorrason;Snorrason
.;.
Hann;Hann
dreymdi;dreymdi
,;,
at;að
hann;hann
þóttist;þóttist
út;út
koma;koma
.;.
Hann;Hann
þóttist;þóttist
sjá;sjá
tungl;tungl
svá;svo
mörg;mörg
sem;sem
stjörnur;stjörnur
á;á
himni;himni
,;,
sum;sum
full;full
,;,
sum;sum
hálf;hálf
,;,
sum;sum
meir;meir
eða;eða
minnr;minna
vaxandi;vaxandi
ok;og
þverrandi;þverrandi
.;.
Ok;Og
er;er
hann;hann
undraðist;undraðist
þessa;þessa
sýn;sýn
,;,
þá;þá
þóttist;þóttist
hann;hann
sjá;sjá
mann;mann
standa;standa
hjá;hjá
sér;sér
.;.
Sá;Sá
kvað;kvað
:;:
Hann;Hann
mundi;mundi
vísuna;vísuna
,;,
er;er
hann;hann
vaknaði;vaknaði
.;.
Jón;Jón
hét;hét
maðr;maður
Þorsteinsson;Þorsteinsson
.;.
Hann;Hann
var;var
heimamaðr;heimamaður
á;á
þeim;þeim
bæ;bæ
,;,
er;er
á;á
Kúlu;Kúlu
heitir;heitir
.;.
Þar;Þar
bjó;bjó
sá;sá
maðr;maður
,;,
er;er
Kjartan;Kjartan
hét;hét
.;.
Símon;Símon
hét;hét
maðr;maður
ok;og
var;var
Bjarnason;Bjarnason
,;,
heimamaðr;heimamaðr
Hrafns;Hrafns
.;.
Símon;Símon
átti;átti
frillu;frillu
ok;og
barn;barn
á;á
Kúlu;Kúlu
.;.
Jón;Jón
fífldist;fífldist
at;at
þeiri;þeirri
konu;konu
.;.
Einn;Einn
helgan;helgan
dag;dag
fór;fór
Símon;Símon
til;til
fundar;fundar
við;við
frillu;frillu
sína;sína
ok;og
sat;sat
á;á
tali;tali
við;við
hana;hana
.;.
En;En
Jón;Jón
gekk;gekk
at;að
honum;honum
ok;og
hjó;hjó
hann;hann
banahögg;banahögg
.;.
Fyrir;Fyrir
víg;víg
þat;það
gerði;gerði
Hrafn;Hrafn
Jón;Jón
sekan;sekan
skógarmann;skógarmann
.;.
Nökkuru;Nokkru
síðar;síðar
færði;færði
Jón;Jón
Hrafni;Hrafni
höfuð;höfuð
sitt;sitt
,;,
en;en
hann;hann
gaf;gaf
honum;honum
höfuðit;höfuðið
.;.
Jón;Jón
varð;varð
illu;illu
höfði;höfði
feginn;feginn
ok;og
þakkaði;þakkaði
Hrafni;Hrafni
gjöfina;gjöfina
.;.
Hrafn;Hrafn
bætti;bætti
síðan;síðan
fé;fé
fyrir;fyrir
víg;víg
Símonar;Símonar
frændum;frændum
hans;hans
ok;og
færði;færði
sjálfr;sjálfur
fram;fram
