Þat;Það
var;var
eitt;eitt
vár;vor
,;,
er;er
Þorvaldr;Þorvaldur
fór;fór
til;til
Arnarfjarðar;Arnarfjarðar
með;með
fjölmenni;fjölmenni
.;.
Ok;Og
er;er
þeir;þeir
kómu;komu
ofan;ofan
í;í
heiðarbrún;heiðarbrún
í;í
Arnarfjarðarbotn;Arnarfjarðarbotn
,;,
þá;þá
sá;sá
för;för
þeira;þeirra
kona;kona
sú;sú
,;,
er;er
Astríðr;Astríður
hét;hét
.;.
Hon;Hún
var;var
dóttir;dóttir
Gunnars;Gunnars
Bárðarsonar;Bárðarsonar
svarta;svarta
.;.
Hon;Hún
bjó;bjó
á;á
einum;einum
litlum;litlum
bæ;bæ
.;.
Ok;Og
er;er
hon;hún
sá;sá
mannaförina;mannaförina
,;,
sendir;sendir
hon;hún
son;son
sinn;sinn
í;í
Eyri;Eyri
at;at
gera;gera
Hrafn;Hrafn
varan;varan
við;við
.;.
Ok;Og
þegar;þegar
hann;hann
spurði;spurði
þat;það
,;,
sendir;sendir
hann;hann
menn;menn
til;til
Selárdals;Selárdals
sonum;sonum
Rágnheiðar;Ragnheiðar
,;,
Eyvindi;Eyvindi
ok;og
Tómasi;Tómasi
,;,
at;að
þeir;þeir
kæmi;kæmi
til;til
fulltings;fulltings
við;við
hann;hann
með;með
þá;þá
menn;menn
,;,
er;er
þeir;þeir
fengi;fengi
.;.
Þeir;Þeir
söfnuðu;söfnuðu
þegar;þegar
mönnum;mönnum
ok;og
flotuðu;flotuðu
skipum;skipum
.;.
Þorvaldr;Þorvaldur
kom;kom
litlu;litlu
síðar;síðar
á;á
Eyri;Eyri
við;við
flokki;flokki
miklum;miklum
.;.
Hrafn;Hrafn
skipaði;skipaði
mönnum;mönnum
fyrir;fyrir
í;í
húsum;húsum
með;með
vápnum;vopnum
ok;og
lét;lét
vera;vera
opnar;opnar
dyrr;dyr
allar;allar
ok;og
skaut;skaut
slám;slám
fyrir;fyrir
innan;innan
.;.
Hrafn;Hrafn
hafði;hafði
boga;boga
ok;og
skaut;skaut
.;.
Þorvaldr;Þorvaldur
bar;bar
eld;eld
at;að
húsum;húsum
ok;og
kveikti;kveikti
fyrir;fyrir
þeim;þeim
durum;dyrum
,;,
er;er
honum;honum
þótti;þótti
minnst;minnst
vörn;vörn
fyrir;fyrir
vera;vera
,;,
ok;og
í;í
þekjunni;þekjunni
víða;víða
.;.
En;En
þeir;þeir
,;,
er;er
inni;inni
váru;voru
,;,
báru;báru
vatn;vatn
ok;og
sýru;sýru
í;í
eldinn;eldinn
ok;og
slökktu;slökktu
sem;sem
þeir;þeir
máttu;máttu
.;.
Hrafn;Hrafn
spyrr;spyr
,;,
hverr;hver
fyrir;fyrir
eldinum;eldinum
réði;réði
.;.
Þorvaldr;Þorvaldur
svaraði;svaraði
ok;og
sagði;sagði
,;,
at;að
hann;hann
réði;réði
fyrir;fyrir
.;.
Hrafn;Hrafn
spurði;spurði
at;að
sökum;sökum
,;,
er;er
hann;hann
bar;bar
eld;eld
at;að
húsum;húsum
hans;hans
.;.
Þorvaldr;Þorvaldur
kvað;kvað
Hrafn;Hrafn
verit;verið
hafa;hafa
í;í
fjörráðum;fjörráðum
við;við
sik;sig
,;,
þá;þá
er;er
hann;hann
færði;færði
ómagann;ómagann
í;í
Súðavík;Súðavík
.;.
Hrafn;Hrafn
kvað;kvað
þat;það
eigi;eigi
satt;satt
vera;vera
,;,
—;—
at;að
ek;ég
vissa;vissi
,;,
hvar;hvar
skipit;skipið
var;var
eða;eða
þú;þú
,;,
er;er
ek;ég
var;var
í;í
Súðavík;Súðavík
,;,
ok;og
hafða;hafða
ek;ég
svá;svo
mikit;mikið
fjölmenni;fjölmenni
,;,
at;að
ek;ég
átta;átta
alls;alls
kosti;kosti
við;við
þik;þig
,;,
þess;þess
er;er
ek;ég
vilda;vilda
.;.
Svá;Svo
vissa;vissa
ek;ég
ok;og
,;,
er;er
þú;þú
vart;varst
í;í
Holti;Holti
í;í
Önundarfirði;Önundarfirði
,;,
ok;og
hafða;hafða
ek;ég
enn;enn
nógt;nógt
fjölmenni;fjölmenni
at;að
gera;gera
á;á
þinn;þinn
hlut;hlut
slíkt;slíkt
,;,
er;er
ek;ég
vilda;vildi
.;.
Nú;Nú
er;er
á;á
hitt;hitt
at;að
líta;líta
,;,
hvat;hvað
vér;vér
skulum;skulum
til;til
þess;þess
vinna;vinna
,;,
at;að
þú;þú
brennir;brennir
eigi;eigi
bæinn;bæinn
.;.
Þorvaldr;Þorvaldur
svaraði;svaraði
:;:
skalt;skalt
handsala;handsala
mér;mér
sjálfdæmi;sjálfdæmi
fyrir;fyrir
þá;þá
hluti;hluti
alla;alla
,;,
er;er
ek;ég
vil;vil
gert;gert
hafa;hafa
þér;þér
á;á
hendr;hendur
".""";"."""
Hrafn;Hrafn
sagðist;sagðist
eigi;eigi
þat;það
sjálfdæmi;sjálfdæmi
handsala;handsala
mundu;mundu
,;,
—;—
at;að
mik;mig
mun;mun
eigi;eigi
skorta;skorta
menn;menn
af;af
stundu;stundu
".""";"."""
Þeir;Þeir
háðust;háðust
við;við
um;um
stund;stund
,;,
ok;og
gátu;gátu
þeir;þeir
Þorvaldr;Þorvaldur
eigi;eigi
bæinn;bæinn
brenndan;brenndan
fyrir;fyrir
varnar;varnar
sakir;sakir
.;.
Sáu;Sáu
þeir;þeir
þá;þá
,;,
hvar;hvar
skip;skip
fóru;fóru
utan;utan
eftir;eftir
Arnarfirði;Arnarfirði
,;,
skipuð;skipuð
mönnum;mönnum
ok;og
vápnum;vopnum
.;.
Þorvaldr;Þorvaldr
spurði;spurði
þá;þá
Hrafn;Hrafn
,;,
ef;ef
hann;hann
vildi;vildi
mál;mál
þeira;þeirra
í;í
nökkurs;nokkurs
manns;manns
gerð;gerð
leggja;leggja
.;.
En;En
Hrafn;Hrafn
gerðist;gerðist
til;til
þess;þess
tregr;tregur
,;,
því;því
at;að
hann;hann
vissi;vissi
sér;sér
liðs;liðs
ván;von
.;.
Þá;Þá
áttu;áttu
margir;margir
menn;menn
hlut;hlut
at;að
,;,
at;að
þeir;þeir
sættist;sættist
ok;og
hefði;hefði
Hrafn;Hrafn
þá;þá
nefnu;nefnu
um;um
þeira;þeira
mál;mál
,;,
er;er
honum;honum
þætti;þætti
góð;góð
.;.
Þorvaldr;Þorvaldur
var;var
þá;þá
fúss;fús
til;til
sátta;sátta
.;.
Þau;Þau
urðu;urðu
málalok;málalok
,;,
at;at
Þórðr;Þórður
Sturluson;Sturluson
skyldi;skyldi
gera;gera
um;um
öll;öll
þeira;þeirra
mál;mál
.;.
Eftir;Eftir
þetta;þetta
fór;fór
Þorvaldr;Þorvaldur
brott;brott
með;með
skyndingu;skyndingu
.;.
Drífr;Drífur
þá;þá
lið;lið
at;að
Hrafni;Hrafni
,;,
bæði;bæði
Seldælir;Seldælir
ok;og
aðrir;aðrir
margir;margir
.;.
Þeir;Þeir
váru;voru
sumir;sumir
,;,
at;að
þess;þess
fýstu;fýstu
,;,
at;að
ríða;ríða
skyldi;skyldi
eftir;eftir
Þorvaldi;Þorvaldi
ok;og
drepa;drepa
hann;hann
,;,
svá;svo
berr;ber
sem;sem
hann;hann
varð;varð
at;að
fjörráðum;fjörráðum
við;við
Hrafn;Hrafn
.;.
Þat;Það
vildi;vildi
Hrafn;Hrafn
eigi;eigi
.;.
Hér;Hér
af;af
fekk;fékk
Hrafn;Hrafn
mikit;mikið
ámæli;ámæli
,;,
svá;svo
sem;sem
Guðmundr;Guðmundur
Galtason;Galtason
sagði;sagði
Guðrúnu;Guðrúnu
,;,
systur;systur
hans;hans
,;,
er;er
hon;hún
spurði;spurði
,;,
hvat;hvað
hann;hann
heyrði;heyrði
rætt;rætt
um;um
málaferli;málaferli
Hrafns;Hrafns
:;:
Þá;Þá
er;er
Þorvaldr;Þorvaldur
kom;kom
til;til
Ísafjarðar;Ísafjarðar
,;,
sagði;sagði
hann;hann
allt;allt
annat;annað
frá;frá
fundi;fundi
þeira;þeirra
Hrafns;Hrafns
en;en
verit;verið
hafði;hafði
