Ásbjörn;Ásbjörn
Arnórsson;Arnórsson
átti;átti
Ingunni;Ingunni
,;,
dóttur;dóttur
Þorsteins;Þorsteins
Snorrasonar;Snorrasonar
goða;goða
.;.
Börn;Börn
þeira;þeira
váru;voru
þau;þau
Arnórr;Arnór
,;,
Þorsteinn;Þorsteinn
ok;og
Böðvarr;Böðvar
,;,
Sigríðr;Sigríður
.;.
Arnórr;Arnór
átti;átti
Guðrúnu;Guðrúnu
,;,
dóttur;dóttur
Daða;Daða
Starkaðarsonar;Starkaðarsonar
.;.
Þeira;Þeirra
sonr;sonur
var;var
Kolbeinn;Kolbeinn
,;,
-;-
hans;hans
sonr;sonur
Tumi;Tumi
,;,
ok;og
var;var
hann;hann
eigi;eigi
skilgetinn;skilgetinn
.;.
Tumi;Tumi
átti;átti
fyrr;fyrr
Guðrúnu;Guðrúnu
,;,
dóttur;dóttur
Þóris;Þóris
Steinmóðarsonar;Steinmóðarsonar
.;.
Sigríðr;Sigríður
hét;hét
dóttir;dóttir
þeira;þeirra
,;,
er;er
átti;átti
Sigurð;Sigurð
Ormsson;Ormsson
.;.
Síðar;Síðar
átti;átti
Tumi;Tumi
Þuríði;Þuríði
Gizurardóttur;Gissurardóttur
.;.
Þeira;Þeirra
börn;börn
váru;voru
þau;þau
Kolbeinn;Kolbeinn
ok;og
Arnórr;Arnórr
ok;og
Halldóra;Halldóra
,;,
er;er
átti;átti
Sighvatr;Sighvatur
Sturluson;Sturluson
,;,
ok;og
Álfheiðr;Álfheiður
,;,
er;er
átti;átti
Ingimundr;Ingimundur
Grímsson;Grímsson
.;.
Þorsteinn;Þorsteinn
hét;hét
sonr;sonur
Tuma;Tuma
laungetinn;laungetinn
.;.
Hann;Hann
var;var
faðir;faðir
Ívars;Ívars
munks;munks
ok;og
Tuma;Tuma
ok;og
Guðrúnar;Guðrúnar
,;,
er;er
fylgdi;fylgdi
Sveinbirni;Sveinbirni
Hrafnssyni;Hrafnssyni
,;,
ok;og
Steinunnar;Steinunnar
,;,
er;er
Kráki;Kráki
fylgdi;fylgdi
,;,
ok;og
Sigríðar;Sigríðar
.;.
Arndís;Arndís
hét;hét
dóttir;dóttir
Tuma;Tuma
laungetin;laungetin
,;,
er;er
átti;átti
Steingrímr;Steingrímur
Þorvaldsson;Þorvaldsson
.;.
Arnórr;Arnór
Tumason;Tumason
átti;átti
Ásdísi;Ásdísi
Sigmundardóttur;Sigmundardóttur
,;,
-;-
þeira;þeirra
börn;börn
Kolbeinn;Kolbeinn
ungi;ungi
ok;og
Sigríðr;Sigríður
,;,
er;er
átti;átti
Böðvarr;Böðvar
at;að
Stað;Stað
,;,
ok;og
Herdís;Herdís
,;,
er;er
átti;átti
Böðvarr;Böðvar
í;í
Bæ;Bæ
,;,
ok;og
Arnbjörg;Arnbjörg
,;,
er;er
Órækja;Órækja
átti;átti
Snorrason;Snorrason
.;.
Dóttir;Dóttir
Arnórs;Arnórs
laungetin;laungetin
var;var
Þjóðbjörg;Þjóðbjörg
,;,
er;er
Broddi;Broddi
átti;átti
.;.
Kolbeinn;Kolbeinn
,;,
sonr;sonur
Arnórs;Arnórs
Ásbjarnarsonar;Ásbjarnarsonar
,;,
átti;átti
Herdísi;Herdísi
,;,
dóttur;dóttur
Þorkels;Þorkels
Steinólfssonar;Steinólfssonar
.;.
Þeira;Þeirra
sonr;sonur
var;var
Arnórr;Arnór
,;,
er;er
átti;átti
Guðrúnu;Guðrúnu
,;,
dóttur;dóttur
Brands;Brands
byskups;biskups
,;,
-;-
þeira;þeirra
sonr;sonur
Kolbeinn;Kolbeinn
kaldaljós;kaldaljós
ok;og
Halldóra;Halldóra
,;,
er;er
átti;átti
Jón;Jón
Sigmundarson;Sigmundarson
,;,
Þeira;Þeirra
sonr;sonur
var;var
Brandr;Brandur
byskup;biskup
inn;hinn
síðari;síðari
.;.
Kolbeinn;Kolbeinn
kaldaljós;kaldaljós
átti;átti
Margrétu;Margrétu
,;,
dóttur;dóttur
Sæmundar;Sæmundar
Jónssonar;Jónssonar
,;,
-;-
þeira;þeirra
börn;börn
Brandr;Brandur
,;,
Páll;Páll
,;,
