Þat;Það
er;er
nú;nú
sagt;sagt
þessu;þessu
næst;næst
,;,
at;að
Hafliði;Hafliði
gekk;gekk
at;að
dóminum;dóminum
með;með
fjölmenni;fjölmenni
miklu;miklu
ok;og
vildi;vildi
hleypa;hleypa
upp;upp
dóminum;dóminum
.;.
En;En
þeir;þeir
Þorgils;Þorgils
váru;voru
komnir;komnir
þar;þar
í;í
þröng;þröng
mikla;mikla
,;,
ok;og
er;er
hon;hún
bæði;bæði
löng;löng
ok;og
breið;breið
,;,
ok;og
réð;réð
hann;hann
ýmist;ýmist
aftr;aftur
eða;eða
fram;fram
þröngina;þröngina
.;.
Ok;Og
þá;þá
er;er
svá;svo
hefir;hefir
gengit;gengið
mjök;mjög
langa;langa
stund;stund
dags;dags
,;,
þá;þá
eigu;eiga
margir;margir
vitrir;vitrir
menn;menn
um;um
,;,
at;at
enn;enn
skyldi;skyldi
leita;leita
um;um
sættir;sættir
.;.
Ok;Og
enn;enn
býðr;býður
Hafliði;Hafliði
in;hin
sömu;sömu
boð;boð
,;,
sem;sem
fyrr;fyrr
hafði;hafði
hann;hann
boðit;boðið
.;.
Ok;Og
vildu;vildu
menn;menn
nú;nú
til;til
hlýða;hlýða
,;,
hvat;hvað
mælt;mælt
var;var
,;,
ok;og
rýmir;rýmir
nú;nú
heldr;heldur
nökkut;nokkuð
um;um
þröngina;þröngina
.;.
Þorgils;Þorgils
lézt;lést
eigi;eigi
nema;nema
orð;orð
Hafliða;Hafliða
,;,
ok;og
lætr;lætur
hann;hann
reiðast;reiðast
þangat;þangað
at;að
,;,
er;er
fáir;fáir
menn;menn
váru;voru
í;í
millum;millum
þeira;þeirra
Hafliða;Hafliða
.;.
Ok;Og
sér;sér
hann;hann
Þorgils;Þorgils
,;,
hvar;hvar
upp;upp
kemr;kemur
óxin;öxin
Hafliða;Hafliða
.;.
Ok;Og
þá;þá
heggr;heggur
Þorgils;Þorgils
yfir;yfir
öxl;öxl
manni;manni
,;,
ok;og
kemr;kemur
höggit;höggið
á;á
hönd;hönd
Hafliða;Hafliða
Mássonar;Mássonar
við;við
öxarskaftinu;öxarskaftinu
ok;og
af;af
inn;hinn
lengsta;lengsta
fingrinn;fingurinn
með;með
öllu;öllu
,;,
en;en
í;í
sundr;sundur
köggulinn;köggulinn
í;í
inum;hinum
minnsta;minnsta
fingri;fingri
ok;og
þeim;þeim
,;,
er;er
þar;þar
er;er
í;í
millum;millum
.;.
Ok;Og
þá;þá
hlaupa;hlaupa
menn;menn
í;í
millum;millum
þeira;þeirra
,;,
ok;og
verðr;verður
Þorgilsi;Þorgilsi
laus;laus
öxin;öxin
,;,
þá;þá
er;er
menn;menn
þrengdust;þrengdust
at;að
Hafliða;Hafliða
.;.
Þorgils;Þorgils
þrífr;þrífur
þegar;þegar
öxi;öxi
mikla;mikla
ór;úr
hendi;hendi
manni;manni
einum;einum
í;í
flokki;flokki
Hafliða;Hafliða
.;.
Sá;Sá
hét;hét
Þormóðr;Þormóður
ok;og
var;var
kallaðr;kallaður
læknir;læknir
.;.
Sá;Sá
inn;inn
sami;sami
Þormóðr;Þormóður
batt;batt
höndina;höndina
Hafliða;Hafliða
Mássonar;Mássonar
ok;og
græddi;græddi
hann;hann
,;,
svá;svo
at;að
fingrnir;fingurnir
lágu;lágu
tveir;tveir
upp;upp
í;í
lófann;lófann
,;,
en;en
hann;hann
græddi;græddi
fyrir;fyrir
stúf;stúf
ins;hins
þriðja;þriðja
fingrsins;fingursins
.;.
En;En
þá;þá
er;er
Hafliði;Hafliði
hafði;hafði
fengit;fengið
áverkann;áverkann
,;,
þá;þá
sleit;sleit
þinginu;þinginu
,;,
ok;og
gekk;gekk
allr;allr
flokkr;flokkr
Hafliða;Hafliða
heim;heim
til;til
búðar;búðar
.;.
Ok;Og
þá;þá
er;er
hann;hann
gekk;gekk
inn;inn
í;í
búðina;búðina
ok;og
þar;þar
at;að
,;,
sem;sem
sat;sat
Rannveig;Rannveig
,;,
kona;kona
hans;hans
,;,
mælti;mælti
hann;hann
svá;svo
:;:
hefi;hefi
ek;ek
þat;það
reynt;reynt
,;,
at;að
ek;ég
em;er
vel;vel
kvángaðr;kvongaðr
,;,
ok;og
enn;enn
hefir;hefir
þar;þar
raun;raun
á;á
orðit;orðið
,;,
at;að
þú;þú
ert;ert
allvitr;allvitur
kona;kona
,;,
ok;og
hefir;hefur
þú;þú
nær;nær
forspá;forspá
verit;verið
,;,
af;af
því;því
at;að
eigi;eigi
mynda;myndi
ek;ég
fyrir;fyrir
þessum;þessum
vansa;vansa
orðit;orðið
hafa;hafa
,;,
ef;ef
ek;ég
hefða;hefði
þín;þín
ráð;ráð
haft;haft
".""";"."""
Síðan;Síðan
var;var
bundin;bundin
höndin;höndin
ok;og
gengit;gengið
til;til
Lögbergis;Lögbergis
.;.
Eftir;Eftir
þat;þat
var;var
lýst;lýst
áverkunum;áverkunum
,;,
ok;og
beiddu;beiddu
þeir;þeir
Hafliði;Hafliði
,;,
at;að
síðan;síðan
skyldi;skyldi
færa;færa
dóma;dóma
út;út
í;í
annat;annað
sinn;sinn
,;,
-;-
ok;og
náðu;náðu
eigi;eigi
fleirum;fleirum
dómendum;dómendum
en;en
í;í
þeira;þeirra
flokki;flokki
höfðu;höfðu
verit;verið
.;.
Ok;Og
settu;settu
þeir;þeir
þrisvar;þrisvar
niðr;niður
dómendr;dómendur
sína;sína
í;í
dómstaðnum;dómstaðnum
,;,
ok;og
mátti;mátti
aldri;aldri
dómrinn;dómurinn
setjast;setjast
.;.
Ok;Og
þá;þá
nefndi;nefndi
Hafliði;Hafliði
vátta;votta
at;að
því;því
,;,
at;að
hann;hann
mátti;mátti
eigi;eigi
dóminum;dóminum
fram;fram
koma;koma
fyrir;fyrir
ofríki;ofríki
Þorgils;Þorgils
.;.
Ok;Og
þá;þá
færðu;færðu
þeir;þeir
dóminn;dóminn
austr;austur
í;í
hraunit;hraunit
hjá;hjá
Byrgisbúð;Byrgisbúð
.;.
Þar;Þar
gæta;gæta
gjár;gjár
þrim;þremur
megin;megin
,;,
en;en
virkisgarðr;virkisgarður
einum;einum
megin;megin
.;.
Ok;Og
í;í
þeim;þeim
dómi;dómi
verðr;verður
Þorgils;Þorgils
Oddason;Oddason
gerr;gerður
sekr;sekur
skógarmaðr;skógarmaður
.;.
Ok;Og
þetta;þetta
eitt;eitt
mál;mál
nýttist;nýttist
þar;þar
,;,
þat;það
er;er
í;í
dóm;dóm
var;var
lagt;lagt
.;.
Ok;Og
eftir;eftir
þat;það
var;var
gengit;gengið
til;til
Lögbergis;Lögbergis
ok;og
sagt;sagt
til;til
sektar;sektar
hans;hans
.;.
Ok;Og
er;er
menn;menn
kómu;komu
heim;heim
til;til
búða;búða
,;,
þá;þá
var;var
frétt;frétt
,;,
hverja;hverja
Hafliði;Hafliði
hefði;hefði
hlotit;hlotið
áverkana;áverkana
,;,
af;af
því;því
at;að
alþýðan;alþýðan
vissi;vissi
enn;enn
þá;þá
eigi;eigi
víst;víst
,;,
hvat;hvað
at;að
hafði;hafði
orðit;orðið
eða;eða
hversu;hversu
mikit;mikið
.;.
Þá;Þá
var;var
sendr;sendur
til;til
Böðvarr;Böðvar
Ásbjarnarson;Ásbjarnarson
ok;og
Ingimundr;Ingimundur
prestr;prestur
Einarsson;Einarsson
at;að
skynja;skynja
um;um
áverkana;áverkana
.;.
Ok;Og
menn;menn
fóru;fóru
ok;og
aðrir;aðrir
með;með
þeim;þeim
til;til
fundar;fundar
við;við
Þorgeir;Þorgeir
Hallason;Hallason
,;,
er;er
átti;átti
Hallberu;Hallberu
Einarsdóttur;Einarsdóttur
,;,
systur;systur
Ingimundar;Ingimundar
prests;prests
.;.
En;En
Böðvarr;Böðvar
hafði;hafði
búðarvist;búðarvist
með;með
Þórólfi;Þórólfi
Sigmundarsyni;Sigmundarsyni
ok;og
hafði;hafði
meiri;meiri
ráð;ráð
yfir;yfir
þingmönnum;þingmönnum
ok;og
búðarliði;búðarliði
en;en
Þórólfr;Þórólfur
.;.
-;-
Svá;Svo
skipuðu;skipuðu
menn;menn
til;til
í;í
orðataki;orðataki
sínu;sínu
sem;sem
Böðvarr;Böðvar
riði;riði
at;að
baki;baki
Þórólfi;Þórólfi
ok;og
heldi;heldi
þó;þó
í;í
taumana;taumana
ok;og
stýrði;stýrði
,;,
hvert;hvert
fara;fara
skyldi;skyldi
.;.
Ok;Og
þá;þá
er;er
þeir;þeir
kómu;komu
heim;heim
til;til
búðar;búðar
Þorgils;Þorgils
,;,
þá;þá
váru;voru
þeir;þeir
spurðir;spurðir
tíðenda;tíðenda
ok;og
eftir;eftir
erendum;erendum
sínum;sínum
.;.
Þá;Þá
kvað;kvað
Ingimundr;Ingimundur
prestr;prestur
vísu;vísu
:;:
Síðan;Síðan
var;var
kvatt;kvatt
féránsdóms;féránsdóms
,;,
ok;og
ríða;ríða
menn;menn
heim;heim
til;til
heraða;héraða
,;,
ok;og
sitr;situr
Þorgils;Þorgils
eigi;eigi
at;að
síðr;síður
í;í
búi;búi
sínu;sínu
.;.
Ok;Og
nú;nú
þegar;þegar
dregr;dregur
at;að
féránsdómum;féránsdómum
,;,
safnar;safnar
Þorgils;Þorgils
at;að
sér;sér
mönnum;mönnum
,;,
ok;og
verða;verða
saman;saman
nær;nær
fjögur;fjögur
hundruð;hundruð
manna;manna
.;.
Hafliði;Hafliði
hafði;hafði
norðan;norðan
hundrað;hundrað
manna;manna
ok;og
einvala;einvala
lið;lið
bæði;bæði
at;að
búningi;búningi
ok;og
mannvirðingu;mannvirðingu
.;.
En;En
í;í
þriðja;þriðja
stað;stað
söfnuðust;söfnuðust
saman;saman
heraðsmenn;heraðsmenn
til;til
meðalferða;meðalferða
með;með
góðgirnd;góðgirnd
.;.
Var;Var
þar;þar
fyrirmaðr;fyrirmaður
Þórðr;Þórður
Gilsson;Gilsson
ok;og
Húnbogi;Húnbogi
Þorgilsson;Þorgilsson
frá;frá
Skarði;Skarði
ok;og
með;með
þeim;þeim
aðrir;aðrir
góðgjarnir;góðgjarnir
menn;menn
,;,
Guðmundr;Guðmundur
Brandsson;Brandsson
ok;og
Örnólfr;Örnólfur
Þorgilsson;Þorgilsson
frá;frá
Kvennabrekku;Kvennabrekku
,;,
ok;og
höfðu;höfðu
tvau;tvö
hundruð;hundruð
manna;manna
til;til
meðalgöngu;meðalgöngu
.;.
En;En
Þorgils;Þorgils
ætlaði;ætlaði
at;að
verja;verja
vígi;vígi
allt;allt
heraðit;héraðið
,;,
ok;og
skyldi;skyldi
þeir;þeir
Hafliði;Hafliði
eigi;eigi
ná;ná
Bæjarreiðinni;Bæjarreiðinni
.;.
Ok;Og
ætlaði;ætlaði
Þorgils;Þorgils
at;að
verja;verja
heiðarbrekkurnar;heiðarbrekkurnar
,;,
ef;ef
þeir;þeir
riði;riði
Sælingsdal;Sælingsdal
,;,
en;en
í;í
Mjósyndi;Mjósyndi
,;,
ef;ef
Svínadal;Svínadal
væri;væri
riðit;riðið
.;.
Þar;Þar
megu;megu
fáir;fáir
einir;einir
menn;menn
ríða;ríða
jafnfram;jafnfram
,;,
því;því
at;at
þar;þar
eru;eru
fjöll;fjöll
brött;brött
á;á
