Þorgils;Þorgils
hlýddi;hlýddi
til;til
,;,
meðan;meðan
aðrir;aðrir
mæltu;mæltu
slíkt;slíkt
,;,
ok;og
lagði;lagði
ekki;ekki
til;til
ok;og
hugsaði;hugsaði
fyrir;fyrir
sér;sér
málit;málið
.;.
Ok;Og
þá;þá
er;er
aðrir;aðrir
spurðu;spurðu
,;,
hvert;hvert
ráð;ráð
taka;taka
skyldi;skyldi
,;,
mælti;mælti
Þorgils;Þorgils
:;:
þetta;þetta
er;er
svá;svo
sem;sem
sagt;sagt
er;er
,;,
at;að
menn;menn
várir;várir
inir;inir
vöskustu;vöskustu
ok;og
skilbeztu;skilbestu
sé;séu
gervir;gervir
handteknir;handteknir
ok;og
klandaðir;klandaðir
eða;eða
meiddir;meiddir
eða;eða
drepnir;drepnir
,;,
þá;þá
mun;mun
oss;oss
ámælissamt;ámælissamt
verða;verða
,;,
ef;ef
vér;vér
ríðum;ríðum
svá;svo
á;á
brott;brott
,;,
at;að
vér;vér
vitim;vitum
engan;engan
hlut;hlut
gerr;gerður
en;en
vér;vér
getum;getum
til;til
.;.
Hitt;Hitt
er;er
í;í
öðru;öðru
lagi;lagi
,;,
at;at
þeir;þeir
þóttust;þóttust
kenna;kenna
þá;þá
tvá;tvo
gripi;gripi
,;,
hest;hest
ok;og
spjót;spjót
,;,
er;er
ek;ég
gaf;gaf
Böðvari;Böðvari
,;,
mági;mági
mínum;mínum
,;,
er;er
hann;hann
myndi;myndi
hvárngi;hvorugan
lausan;lausan
láta;láta
at;að
vilja;vilja
sínum;sínum
.;.
Ok;Og
ef;ef
honum;honum
er;er
orðit;orðið
nökkut;nokkuð
til;til
meins;meins
,;,
þá;þá
vil;vil
ek;ég
ríða;ríða
ok;og
vita;vita
,;,
ef;ef
ek;ek
mega;mega
hefna;hefna
hans;hans
.;.
En;En
ef;ef
svá;svo
er;er
vel;vel
,;,
sem;sem
ek;ég
vænti;vænti
,;,
at;að
vera;vera
muni;muni
,;,
at;að
hann;hann
sé;sé
heill;heill
maðr;maður
ok;og
fylgi;fylgi
sjálfr;sjálfur
gripum;gripum
sínum;sínum
með;með
flokki;flokki
miklum;miklum
til;til
fulltingis;fulltingis
við;við
oss;oss
,;,
en;en
vér;vér
ríðim;ríðum
á;á
brott;brott
,;,
en;en
látim;látum
hann;hann
eftir;eftir
í;í
háska;háska
,;,
þá;þá
mun;mun
eigi;eigi
látit;látið
orðalaust;orðalaust
við;við
oss;oss
.;.
Ok;Og
vil;vil
ek;ég
at;að
vísu;vísu
ríða;ríða
til;til
þingsins;þingsins
,;,
hvat;hvað
sem;sem
kostar;kostar
,;,
með;með
þá;þá
menn;menn
,;,
er;er
mér;mér
vilja;vilja
fylgja;fylgja
,;,
-;-
en;en
þeir;þeir
hverfi;hverfi
aftr;aftur
,;,
er;er
þat;það
þykkir;þykir
drengiligra;drengiligra
".""";"."""
Ok;Og
víkr;víkur
þegar;þegar
áleiðis;áleiðis
,;,
ok;og
ríða;ríða
menn;menn
ofan;ofan
um;um
Sandkluftir;Sandkluftir
,;,
en;en
engi;enginn
vill;vill
aftr;aftur
hverfa;hverfa
,;,
þegar;þegar
Þorgils;Þorgils
reið;reið
fram;fram
,;,
ok;og
váru;váru
allir;allir
skeleggir;skeleggir
í;í
því;því
at;að
skilja;skilja
eigi;eigi
við;við
hann;hann
,;,
hvat;hvað
sem;sem
á;á
aðra;aðra
hönd;hönd
