Nú;Nú
er;er
at;aðra
segja;segja
frá;frá
þeim;þeim
Bárði;Bárði
ok;og
Aroni;Aroni
,;,
at;að
þeir;þeir
ríða;ríða
fram;fram
at;að
flokkinum;flokkinum
,;,
ok;og
menn;menn
standa;standa
upp;upp
í;í
móti;móti
ok;og
fagna;fagna
þeim;þeim
vel;vel
,;,
af;af
því;því
at;að
þar;þar
var;var
vinafundr;vinafundur
.;.
Þar;Þar
var;var
fyrir;fyrir
Böðvarr;Böðvar
Ásbjarnarson;Ásbjarnarson
ok;og
Guðmundr;Guðmundur
Þorgeirsson;Þorgeirsson
,;,
mágr;mágur
Þorgils;Þorgils
,;,
ok;og
höfðu;höfðu
þeir;þeir
með;með
sér;sér
vel;vel
hundrað;hundrað
manna;manna
.;.
Ok;Og
var;var
þar;þar
hvárum;hvorum
tveggja;tveggja
mikill;mikill
hugr;hugur
á;á
at;að
spyrja;spyrja
aðra;aðra
tíðenda;tíðinda
.;.
Böðvarr;Böðvar
frétti;frétti
Bárð;Bárð
at;að
fyrirætlan;fyrirætlan
Þorgils;Þorgils
,;,
en;en
Bárðr;Bárður
frétti;frétti
Böðvar;Böðvar
tíðenda;tíðinda
af;af
þinginu;þinginu
.;.
Ok;Og
var;var
þar;þar
þröngzt;þröngst
at;að
öllum;öllum
megin;megin
,;,
er;er
margir;margir
vildu;vildu
heyra;heyra
,;,
hvat;hvað
sagt;sagt
var;var
.;.
Ok;Og
er;er
þeir;þeir
hafa;hafa
til;til
talazt;talast
um;um
hríð;hríð
,;,
þá;þá
ríða;ríða
þeir;þeir
Bárðr;Bárður
enn;enn
lengra;lengra
ok;og
allt;allt
þar;þar
til;til
,;,
er;er
þeir;þeir
koma;koma
ofan;ofan
á;á
völlu;völlu
at;að
flokkinum;flokkinum
Hafliða;Hafliða
.;.
Ok;Og
var;var
þeim;þeim
vel;vel
fagnat;fagnað
,;,
af;af
því;því
at;að
margir;margir
vissu;vissu
deili;deili
á;á
þeim;þeim
feðgum;feðgum
,;,
því;því
at;að
þeir;þeir
váru;voru
skilgóðir;skilgóðir
menn;menn
ok;og
margra;margra
göfugra;göfugra
manna;manna
vinir;vinir
.;.
Þeir;Þeir
váru;váru
fréttir;fréttir
,;,
hvat;hvað
þeir;þeir
kynni;kynni
at;að
segja;segja
af;af
ferðum;ferðum
Þorgils;Þorgils
eða;eða
fjölmenni;fjölmenni
.;.
Þeir;Þeir
segja;segja
,;,
at;að
Þorgils;Þorgils
var;var
kominn;kominn
á;á
heiðina;heiðina
suðr;suður
frá;frá
Reykjardal;Reykjardal
með;með
miklu;miklu
fjölmenni;fjölmenni
ok;og
þá;þá
kómu;komu
menn;menn
á;á
móti;móti
flokkinum;flokkinum
ok;og
sögðu;sögðu
,;,
at;að
þeim;þeim
Þorgilsi;Þorgilsi
var;var
bönnuð;bönnuð
þingreiðin;þingreiðin
,;,
ok;og
þat;það
með;með
,;,
ef;ef
hann;hann
ætlaði;ætlaði
at;að
ríða;ríða
eigi;eigi
at;að
síðr;síður
,;,
at;að
Hafliði;Hafliði
ætli;ætli
at;að
verja;verja
honum;honum
alla;alla
