óxum;óxum
þar;þar
upp;upp
í;í
Eyjafirði;Eyjafirði
,;,
ok;og
var;var
þat;það
mælt;mælt
,;,
at;að
þat;það
lið;lið
væri;væri
efniligt;efnilegt
.;.
Ek;Ég
fekk;fékk
ok;og
þann;þann
kost;kost
,;,
er;er
beztr;bestur
þótti;þótti
vera;vera
,;,
Gróu;Gróu
,;,
dóttur;dóttur
Gizurar;Gissurar
byskups;biskups
.;.
En;En
þat;það
var;var
mælt;mælt
,;,
at;að
hon;hún
gerði;gerði
mik;mig
eigi;eigi
einhlítan;einhlítan
.;.
Þat;Það
þótti;þótti
mér;mér
illa;illa
,;,
er;er
þat;það
var;var
mælt;mælt
,;,
ok;og
tilraunir;tilraunir
váru;voru
gervar;gerðar
,;,
ok;og
gengu;gengu
þær;þær
vel;vel
.;.
En;En
eigi;eigi
at;að
síðr;síður
þótti;þótti
mér;mér
illr;illur
orðrómr;orðrómur
sá;sá
,;,
er;er
á;á
lagðist;lagðist
.;.
Ok;Og
fyrir;fyrir
þat;það
lagða;lagði
ek;ég
fjandskap;fjandskap
á;á
manninn;manninn
.;.
Ok;Og
eitt;eitt
sinn;sinn
,;,
er;er
vit;við
hittumst;hittumst
á;á
förnum;förnum
vegi;vegi
,;,
þá;þá
veitta;veitti
ek;ég
honum;honum
tilræði;tilræði
.;.
En;En
hann;hann
rann;rann
undir;undir
höggit;höggið
,;,
ok;og
varð;varð
ek;ég
undir;undir
.;.
Síðan;Síðan
brá;brá
hann;hann
knífi;hnífi
ok;og
stakk;stakk
í;í
auga;auga
mér;mér
,;,
ok;og
missta;missta
ek;ég
sýnar;sýnar
at;að
auganu;auganu
.;.
Þá;Þá
lét;lét
hann;hann
Guðmundr;Guðmundur
Grímsson;Grímsson
mik;mig
upp;upp
standa;standa
.;.
Ok;Og
var;var
þat;það
nökkut;nokkuð
með;með
ólíkendum;ólíkindum
at;að
því;því
,;,
sem;sem
mér;mér
þótti;þótti
,;,
-;-
ek;ég
hafða;hafði
tvau;tvö
megin;megin
hans;hans
,;,
enda;enda
þótti;þótti
mér;mér
vera;vera
mundu;mundu
slíkr;slíkur
munr;munur
okkar;okkar
í;í
öðru;öðru
.;.
Ok;Og
þess;þess
vilda;vilda
ek;ég
greypiliga;greypilega
hefna;hefna
með;með
frænda;frænda
afla;afla
ok;og
gera;gera
manninn;manninn
sekjan;sekan
.;.
Ok;Og
bjuggum;bjuggum
vér;vér
mál;mál
til;til
.;.
Ok;Og
þó;þó
urðu;urðu
nökkurir;nokkrir
aflamenn;aflamenn
til;til
at;að
veita;veita
honum;honum
at;að
málunum;málunum
,;,
ok;og
ónýttust;ónýttust
mín;mín
mál;mál
.;.
Nú;Nú
má;má
ok;og
vera;vera
,;,
at;að
til;til
verði;verði
nökkurir;nokkurir
at;að
veita;veita
Þorgilsi;Þorgilsi
,;,
þó;þó
at;að
þín;þín
mál;mál
sé;sé
réttiligri;réttilegri
.;.
Ok;Og
þá;þá
er;er
svá;svo
var;var
komit;komið
,;,
þá;þá
buðu;buðu
þeir;þeir
fé;fé
fyrir;fyrir
málit;málið
.;.
Þá;Þá
hugða;hugði
ek;ég
at;að
,;,
hvat;hvað
mér;mér
hafði;hafði
at;að
borizt;borist
eða;eða
hversu;hversu
allt;allt
hafði;hafði
tekizt;tekist
þungliga;þungliga
,;,
ok;og
neitta;neitti
ek;ég
fébótunum;fébótunum
.;.
Ok;Og
sá;sá
ek;ég
þá;þá
,;,
at;að
þat;það
eitt;eitt
var;var
hjálpráðit;hjálpráðið
til;til
,;,
at;að
skjóta;skjóta
málinu;málinu
á;á
guðs;guðs
miskunn;miskunn
,;,
því;því
at;að
allt;allt
tókst;tókst
þá;þá
áðr;áður
öðru;öðru
þungligar;þungligar
til;til
mannvirðingar;mannvirðingar
um;um
mitt;mitt
ráð;ráð
.;.
Ok;Og
ek;ég
sagða;sagða
ofrkapp;ofurkapp
vera;vera
ok;og
metnað;metnað
Möðrvellinga;Möðrvellinga
,;,
hvé;hvé
þung;þung
heift;heift
mér;mér
myndi;myndi
vera;vera
.;.
Fann;Fann
ek;ég
þá;þá
þat;það
,;,
alls;alls
ek;ég
hugða;hugði
þá;þá
at;að
mannvirðinginni;mannvirðinginni
,;,
at;að
ekki;ekki
myndi;myndi
þær;þær
bætr;bætr
fyrir;fyrir
koma;koma
,;,
er;er
myndi;myndi
at;að
sæmd;sæmd
verða;verða
.;.
Gerða;Gerði
ek;ég
þá;þá
fyrir;fyrir
guðs;guðs
sakir;sakir
at;að
gefa;gefa
honum;honum
upp;upp
allt;allt
málit;málið
.;.
Vissa;Vissi
ek;ég
,;,
at;að
þá;þá
mynda;myndi
ek;ég
þat;það
fyrir;fyrir
taka;taka
,;,
er;er
mér;mér
væri;væri
haldkvæmst;haldkvæmst
.;.
Ok;Og
bauð;bauð
ek;ég
honum;honum
til;til
mín;mín
,;,
ok;og
var;var
hann;hann
með;með
mér;mér
lengi;lengi
síðan;síðan
.;.
Ok;Og
þá;þá
snerist;snerist
þegar;þegar
orðrómrinn;orðrómurinn
ok;og
með;með
virðing;virðing
manna;manna
,;,
ok;og
lagðist;lagðist
mér;mér
síðan;síðan
hverr;hver
hlutr;hlutur
meir;meir
til;til
gæfu;gæfu
ok;og
virðingar;virðingar
en;en
áðr;áður
.;.
Ok;Og
vænti;vænti
ek;ég
ok;og
af;af
guði;guði
,;,
at;að
þér;þér
muni;muni
svá;svo
fara;fara
.;.
Ok;Og
haf;haf
þú;þú
nú;nú
af;af
tali;tali
mínu;mínu
þat;það
,;,
er;er
þér;þér
þykkir;þykir
nýtanda;nýtandi
",""";","""
sagði;sagði
Ketill;Ketill
.;.
