Maðr;Maður
sá;sá
fæddist;fæddist
upp;upp
í;í
Breiðafirði;Breiðafirði
,;,
er;er
Óláfr;Ólafur
hét;hét
ok;og
var;var
Hildisson;Hildisson
.;.
Faðir;Faðir
hans;hans
varð;varð
sekr;sekur
skógarmaðr;skógarmaður
,;,
en;en
sveinninn;sveinninn
var;var
færðr;færður
til;til
féránsdóms;féránsdóms
ok;og
gerr;gerður
at;að
fjórðungsómaga;fjórðungsómaga
og;og
héraðsfara;héraðsfara
um;um
Breiðafjörð;Breiðafjörð
.;.
Ok;Og
ferr;fer
svá;svo
fram;fram
,;,
unz;uns
hann;hann
var;var
tólf;tólf
vetra;vetra
.;.
Hann;Hann
var;var
heldr;heldur
óvænn;óvænn
maðr;maður
,;,
nökkut;nokkut
kjötvaxinn;kjötvaxinn
,;,
hærðr;hærður
vel;vel
,;,
ok;ok
fell;féll
mjök;mjög
hárit;hárið
í;í
lokka;lokka
.;.
Þá;Þá
var;var
hann;hann
talinn;talinn
af;af
þessi;þessi
vist;vist
ok;og
var;var
þá;þá
löngum;löngum
með;með
Þorgilsi;Þorgilsi
á;á
Staðarhóli;Staðarhóli
.;.
Hann;Hann
átti;átti
fátt;fátt
í;í
fémunum;fémunum
.;.
Hross;Hross
nökkur;nokkur
átti;átti
hann;hann
ok;og
var;var
óhrakligr;óhraklegur
at;að
klæðum;klæðum
,;,
eina;eina
fatakistu;fatakistu
ok;og
öxi;öxi
mjök;mjög
góða;góða
.;.
Hann;Hann
leitar;leitar
þá;þá
við;við
Þorgils;Þorgils
,;,
hvert;hvert
ráð;ráð
hann;hann
sæi;sæi
fyrir;fyrir
honum;honum
liggja;liggja
.;.
Hann;Hann
svarar;svarar
,;,
kvað;kvað
þat;það
vænst;vænst
,;,
at;at
hann;hann
færi;færi
norðr;norður
á;á
Strandir;Strandir
ok;og
aflaði;aflaði
þar;þar
fjár;fjár
,;,
sagði;sagði
þat;það
margra;margra
manna;manna
siðvenju;siðvenju
.;.
Síðan;Síðan
fór;fór
hann;hann
norðr;norðr
á;á
Strandir;Strandir
með;með
gagn;gagn
sitt;sitt
ok;og
kemr;kemur
niðr;niður
í;í
Ávík;Ávík
til;til
Hneitis;Hneitis
.;.
Þess;Þess
er;er
enn;enn
við;við
getit;getið
,;,
at;að
Már;Már
Bergþórsson;Bergþórsson
vekr;vekur
til;til
við;við
Þorstein;Þorstein
,;,
ef;ef
hann;hann
myndi;myndi
vera;vera
á;á
skipi;skipi
með;með
honum;honum
.;.
-;-
ert;ert
maðr;maður
hægr;hægur
viðreignar;viðreignar
,;,
en;en
