Nú;Nú
er;er
at;að
segja;segja
frá;frá
Hallvarði;Hallvarði
gullskó;gullskó
.;.
Brátt;Brátt
er;er
hann;hann
kom;kom
út;út
,;,
fór;fór
hann;hann
at;að
finna;finna
jarl;jarl
ok;og
fiutti;fiutti
djarfliga;djarflega
konungs;konungs
erendi;erindi
fyrir;fyrir
honum;honum
.;.
Jarl;Jarl
tók;tók
því;því
vel;vel
ok;og
kvaðst;kvaðst
þar;þar
skyldu;skyldu
mikla;mikla
stund;stund
á;á
leggja;leggja
,;,
eftir;eftir
því;því
sem;sem
konungr;konungru
hafði;hafði
orð;orð
til;til
sent;sent
.;.
Hallvarðr;Hallvarður
fór;fór
til;til
vistar;vistar
í;í
Reykjaholt;Reykholt
.;.
Þeir;Þeir
jarl;jarl
fundust;fundust
um;um
haustit;haustið
,;,
eftir;eftir
því;því
sem;sem
þeir;þeir
höfðu;höfðu
áðr;áður
rætt;rætt
,;,
ok;og
sóru;sóru
þá;þá
nökkurir;nokkrir
bændr;bændur
konungi;konungi
trúnaðareiða;trúnaðareiða
ok;og
þeir;þeir
sumir;sumir
,;,
er;er
áðr;áður
höfðu;höfðu
mjök;mjög
í;í
móti;móti
staðit;staðið
.;.
Jarl;Jarl
sat;sat
um;um
vetrinn;veturinn
fyrir;fyrir
norðan;norðan
land;land
,;,
ok;og
átti;átti
hann;hann
þá;þá
tal;tal
við;við
bændr;bændur
,;,
hvert;hvert
ráð;ráð
fyrir;fyrir
skyldi;skyldi
gera;gera
þeim;þeim
áköllum;áköllum
,;,
er;er
hann;hann
vissi;vissi
,;,
at;að
konungsmenn;konungsmenn
fóru;fóru
með;með
ok;og
hann;hann
hafði;hafði
konunginum;konunginum
heitit;heitið
.;.
Fór;Fór
þá;þá
upp;upp
allt;allt
it;hið
sanna;sanna
,;,
hverju;hverju
hann;hann
hafði;hafði
konunginum;konunginum
játat;játað
.;.
Var;Var
þá;þá
þat;það
ráð;ráð
fyrir;fyrir
gert;gert
,;,
at;að
bændr;bændur
hétu;hétu
jarli;jarli
stórfé;stórfé
at;að
leysa;leysa
þat;það
vald;vald
,;,
er;er
á;á
var;var
kallat;kallað
.;.
Hétu;Hétu
sumir;sumir
tveim;tveim
hundruðum;hundruðum
,;,
sumir;sumir
einu;einu
hundraði;hundraði
,;,
sumir;sumir
tólf;tólf
aurum;aurum
,;,
sumir;sumir
muni;muni
minna;minna
.;.
Ok;og
er;er
Hallvarðr;Hallvarður
spurði;spurði
þetta;þetta
,;,
segir;segir
hann;hann
,;,
at;að
konungrinn;konungurinn
vildi;vildi
eigi;eigi
,;,
at;að
bændr;bændur
væri;væri
píndir;píndir
til;til
svá;svo
mikils;mikils
fégjalds;fégjalds
.;.
Segir;Segir
hann;hann
,;,
at;að
konungrinn;konungrinn
vildi;vildi
hafa;hafa
hlýðni;hlýðni
af;af
bóndum;bóndum
ok;og
slíkan;slíkan
skatt;skatt
af;af
landi;landi
,;,
sem;sem
þeim;þeim
yrði;yrði
sízt;síst
afarkostr;afarkostur
í;í
at;að
gjalda;gjalda
,;,
ok;og
hét;hét
þó;þó
þar;þar
í;í
móti;móti
hlunnindum;hlunnindum
ok;og
réttarbótum;réttarbótum
.;.
Hallvarðr;Hallvarður
flutti;flutti
ok;og
konungsmál;konungsmál
við;við
Vestfirðinga;Vestfirðinga
ok;og
kom;kom
því;því
svá;svo
,;,
at;að
allir;allir
hétu;hétu
at;að
koma;koma
til;til
Þórsnessþings;Þórsnessþings
um;um
várit;vorið
ok;og
sverja;sverja
konunginum;konunginum
þar;þar
land;land
ok;og
þegna;þegna
.;.
Var;Var
þetta;þetta
þá;þá
ritat;ritað
norðr;norður
til;til
jarls;jarls
ok;og
neitt;neitt
öllum;öllum
þeim;þeim
álögum;álögum
,;,
sem;sem
áðr;áður
hafði;hafði
hann;hann
samit;samið
við;við
bændr;bændur
norðr;norður
þar;þar
.;.
En;En
er;er
jarl;jarl
varð;varð
víss;víss
þessa;þessa
,;,
þá;þá
stefndi;stefndi
hann;hann
bóndum;bóndum
til;til
Hegranessþings;Hegranessþings
ok;og
lét;lét
þar;þar
nökkura;nokkra
menn;menn
sverja;sverja
konungi;konungi
land;land
.;.
En;En
Hrafn;Hrafn
Oddsson;Oddsson
kom;kom
eigi;eigi
til;til
Þórsnessþings;Þórsnessþings
,;,
ok;og
því;því
fór;fór
Hallvarðr;Hallvarður
eigi;eigi
þangat;þangað
.;.
Var;Var
þá;þá
þessu;þessu
máli;máli
skotit;skotið
til;til
alþingis;alþingis
,;,
ok;og
drógu;drógu
allir;allir
inir;hinir
stærstu;stærstu
menn;menn
í;í
Vestfjörðum;Vestfjörðum
saman;saman
stórflokka;stórflokka
,;,
er;er
leið;leið
at;að
þingstefnunni;þingstefnunni
.;.
Þeir;Þeir
sendu;sendu
menn;menn
á;á
fund;fund
þeira;þeirra
bræðra;bræðra
,;,
Lofts;Lofts
ok;og
Sighvats;Sighvats
Hálfdanarsona;Hálfdanarsona
,;,
ok;og
svá;svá
Andréassonum;Andréassonum
,;,
at;að
þeir;þeir
