Nú;Nú
er;er
þar;þar
til;til
máls;máls
at;að
taka;taka
,;,
er;er
fyrr;fyrr
var;var
frá;frá
horfit;horfið
,;,
at;að
Sturla;Sturla
reið;reið
heim;heim
vestr;vestur
til;til
sveita;sveita
.;.
Atti;Átti
hann;hann
nú;nú
bú;bú
at;að
Staðarhóli;Staðarhóli
,;,
en;en
Hrafn;Hrafn
gerði;gerði
bú;bú
í;í
Stafaholti;Stafaholti
með;með
ráði;ráði
Sturlu;Sturlu
.;.
Þat;Það
sumar;sumar
,;,
er;er
skattr;skattur
var;var
svarinn;svarinn
Hákoni;Hákoni
konungi;konungi
á;á
Íslandi;Íslandi
,;,
fór;fúr
utan;utan
Brandr;Brandur
ábóti;ábóti
,;,
ok;og
þá;þá
kom;kom
Óláfr;Óláfur
Grænlendingabyskup;Grænlendingabiskup
til;til
Íslands;Íslands
.;.
Annat;Annað
ár;ár
eftir;eftir
var;var
vígðr;vígður
Brandr;Brandr
byskup;byskup
til;til
Hóla;Hóla
ok;og
kom;kom
út;út
til;til
Íslands;Íslands
.;.
Váru;Váru
þá;þá
þrír;þrír
byskupar;biskupar
á;á
Íslandi;Íslandi
.;.
Þá;Þá
fór;fúr
Hákon;Hákon
konungr;konungur
til;til
Skotlands;Skotlands
.;.
Þorleifr;Þorleifur
hreimr;hreimur
var;var
lög;lög
[;[
sögu;sögu
];]
maðr;maður
.;.
Nú;Nú
þróast;þróast
synir;synir
Sturlu;Sturlu
,;,
Snorri;Snorri
ok;og
Þórðr;Þúrður
.;.
Helt;Helt
Þórðr;Þúrður
sik;sig
til;til
kennimanns;kennimanns
ok;og
var;var
hóglátr;hóglátur
í;í
hvívetna;hvívetna
,;,
en;en
Snorri;Snorri
gerðist;gerðist
uppivöðslumaðr;uppivöðslumaður
mikill;mikill
,;,
ok;og
helt;helt
hann;hann
sveit;sveið
nökkura;nokkura
.;.
Váru;Voru
þeir;þeir
feðgar;feðgar
mjök;mjök
óskaplíkir;óskaplegir
.;.
Snorri;Snorri
reið;reið
um;um
haustit;haustið
suðr;suður
til;til
Borgarfjarðar;Borgarfjarðar
á;á
Alftanes;Alftanes
at;að
Hauki;Hauki
ok;og
tók;tók
þar;þar
við;við
búi;búi
.;.
Hafði;Hafði
hann;hann
heldr;heldr
fjölmennt;fjölmennt
um;um
vetrinn;vetrinn
,;,
ok;og
þóttu;þóttu
þeir;þeir
eigi;eigi
spakir;spakir
í;í
heraði;héraði
.;.
Lagði;Lagði
Hrafn;Hrafn
inn;inn
mesta;mesta
óþokka;óþogka
á;á
Snorra;Snorra
,;,
ok;og
því;því
urðu;urðu
þeir;þeir
allóvinsælir;allóvinsælir
af;af
heraðsmönnum;héraðsmönnum
.;.
Kom;Kom
því;því
svá;svá
,;,
at;að
Snorra;Snorra
þótti;þótti
eigi;eigi
við;við
vært;vært
.;.
Stukku;Stukku
þeir;þeir
þá;þá
upp;upp
.;.
Fór;Fúr
Snorri;Snorri
þá;þá
fyrst;fyrst
nörðr;nörður
til;til
föður;föður
síns;síns
.;.
Var;Var
þá;þá
fullr;fullr
fjandskapr;fjandskapr
með;með
þeim;þeim
Sturlu;Sturlu
ok;og
Hrafni;Hrafni
.;.
Um;Um
vetrinn;vetrinn
,;,
er;er
á;á
leið;leið
,;,
fundust;fundust
þeir;þeir
Vigfúss;Vigfúss
Gunnsteinsson;Gunnsteinsson
ok;og
Snorri;Snorri
Sturluson;Sturluson
ok;og
Eyrar;Eyrar
-;-
Snorri;Snorri
í;í
Ljárskógum;Ljárskógum
.;.
Mæltu;Mæltu
þeir;þeir
saman;saman
vingan;vingan
með;með
sér;sér
,;,
skyldi;skyldi
hverr;hverr
þeira;þeira
veita;veiða
öðrum;öðurum
,;,
ef;ef
þyrfti;þyrfti
,;,
í;í
móti;móti
Hrafni;Hrafni
.;.
Þóttust;Þóttust
þeir;þeir
skilja;skilja
,;,
at;að
engi;engi
varð;varð
uppgangr;uppgangur
þeira;þeira
,;,
ef;ef
svá;svá
búit;búið
stæði;stæði
ríki;ríki
Hrafns;Hrafns
.;.
Litlu;Litlu
síðar;síðar
sendi;sendi
Snorri;Snorri
Pálsson;Pálsson
mann;mann
á;á
fund;fund
Hrafns;Hrafns
ok;og
bað;bað
hann;hann
senda;senda
sér;sér
öxi;öxi
nökkura;nokkura
,;,
breiða;breiða
ok;og
mikla;mikla
ok;og
bitrliga;biðurlega
.;.
Skyldi;Skyldi
sá;sá
forvitnast;forvitnast
,;,
hvat;hvað
tíðenda;tíðinda
væri;væri
í;í
heraði;héraði
.;.
Hrafn;Hrafn
sendi;sendi
enga;enga
öxi;öxi
,;,
kvaðst;kvaðst
enga;enga
til;til
hafa;hafa
,;,
mun;mun
ek;ég
senda;senda
síðar;síðar
".""";"."""
Hann;Hann
heyrði;heyrði
menn;menn
Hrafns;Hrafns
segja;segja
,;,
at;að
hann;hann
þóttist;þóttist
spurt;spurt
hafa;hafa
,;,
at;að
þeir;þeir
höfðu;höfðu
þá;þá
sömu;sömu
öxi;öxi
ætlat;ætlað
honum;honum
til;til
lífláts;lífláts
