Eftir;Eftir
þetta;þetta
fór;fór
Sturla;Sturla
utan;utan
á;á
Eyrum;Eyrum
,;,
—;—
hafði;hafði
nær;nær
ekki;égki
fé;fé
.;.
Fórst;Fórst
þeim;þeim
vel;vel
ok;og
tóku;tóku
land;land
við;við
Björgyn;Björgvin
,;,
ok;og
var;var
þar;þar
fyrir;fyrir
Magnús;Magnús
konungr;konungur
.;.
Þá;Þá
var;var
ok;og
í;í
Björgyn;Björgvin
Gautr;Gautur
af;af
Meli;Meli
.;.
Gekk;gekk
Sturla;Sturla
þegar;þegar
á;á
fund;fund
Gauts;Gauts
.;.
Tók;Tók
hann;hann
því;því
vel;vel
ok;og
mælti;mælti
:;:
Sturla;Sturla
inn;inn
íslenzki;íslenski
"?""";"?"""
er;er
víst;víst
",""";","""
segir;segir
hann;hann
.;.
Gautr;Gautur
mælti;mælti
:;:
er;er
þér;þér
matr;maður
með;með
mér;mér
sem;sem
öðrum;öðurum
Sturlungum;Sturlungum
".""";"."""
Sturla;Sturla
mælti;mælti
:;:
er;er
víst;víst
,;,
at;að
ek;ég
eiga;eigi
betra;betra
kosti;kosti
".""";"."""
Fór;Fór
hann;hann
þá;þá
til;til
vistar;vistar
með;með
Gauti;Gauti
ok;og
segir;segir
honum;honum
af;af
it;hið
ljósasta;ljósasta
um;um
þangatkvámu;þangaðkomu
sína;sína
.;.
En;En
Gautr;Gautur
segir;segir
honum;honum
aftr;aftur
á;á
móti;móti
,;,
hversu;hversu
mjök;mjög
hann;hann
var;var
affluttr;affluttur
við;við
Magnús;Magnús
konung;konung
,;,
en;en
þó;þó
meir;meir
við;við
Hákon;Hákon
konung;konung
.;.
Litlu;Litlu
síðar;síðar
gengu;gengu
þeir;þeir
Gautr;Gautur
ok;og
Sturla;Sturla
til;til
Magnúss;Magnúsar
konungs;konungs
.;.
Kvaddi;Kvaddi
Gautr;Gautur
konung;konung
,;,
en;en
hann;hann
tók;tók
því;því
vel;vel
.;.
Sturla;Sturla
kvaddi;kvaddi
ok;og
konung;konung
,;,
en;en
hann;hann
svaraði;svaraði
engu;engu
.;.
Konungr;Konungur
mælti;mælti
:;:
Gautr;Gautur
,;,
hverr;hver
þessi;þessi
maðr;maður
er;er
,;,
er;er
með;með
þér;þér
ferr;fer
".""";"."""
maðr;maður
er;er
Sturla;Sturla
skáld;skáld
Þórðarson;Þórðarson
ok;og
er;er
nú;nú
kominn;kominn
á;á
yðra;þína
miskunn;miskunn
,;,
—;—
ok;og
hygg;hygg
ek;ég
vera;vera
,;,
herra;herra
,;,
vitran;vitran
mann;mann
".""";"."""
Konungr;Konungur
mælti;mælti
:;:
hyggjum;hyggjum
vér;vér
,;,
at;að
hann;hann
væri;væri
eigi;eigi
hér;hér
kominn;kominn
,;,
ef;ef
hann;hann
væri;væri
sjálfráði;sjálfráða
,;,
en;en
þó;þó
mun;mun
hann;hann
reyna;reyna
,;,
þá;þá
er;er
hann;hann
finnr;finnur
föður;föður
minn;minn
".""";"."""
Gautr;Gautur
mælti;mælti
svá;svo
:;:
því;því
,;,
at;að
ek;ég
hygg;hygg
,;,
at;að
hann;hann
muni;muni
hafa;hafa
yðr;þér
kvæði;kvæði
at;að
færa;færa
ok;og
svá;svo
föður;föður
yðrum;ykkar
".""";"."""
er;er
líkast;líkast
",""";","""
segir;segir
konungr;konungur
,;,
eigi;eigi
láta;láta
ek;ég
drepa;drepa
hann;hann
.;.
En;En
eigi;eigi
kemr;kemur
hann;hann
í;í
mína;mína
þjónustu;þjónustu
".""";"."""
Gekk;gekk
Gautr;Gautur
ok;og
Sturla;Sturla
þá;þá
í;í
brott;brott
.;.
En;En
er;er
þeir;þeir
kómu;komu
til;til
herbergis;herbergis
,;,
mælti;mælti
Gautr;Gautur
við;við
Sturlu;Sturlu
:;:
þótti;þótti
mér;mér
konungr;konungur
taka;taka
þínu;þínu
máli;máli
,;,
en;en
þó;þó
eru;eru
þér;þér
grið;grið
ráðin;ráðin
.;.
Ok;og
ætla;ætla
ek;ég
þú;þú
hafir;hafir
mjök;mjög
affluttr;affluttur
verit;verið
".""";"."""
Sturla;Sturla
segir;segir
:;:
efa;efa
ek;ég
þat;það
,;,
heldr;heldur
þykkjumst;þykjumst
ek;ég
vita;viða
,;,
at;að
Hrafn;Hrafn
mun;mun
mik;mig
hér;hér
mjök;mjök
afflutt;afflutt
hafa;hafa
,;,
er;er
mér;mér
þótti;þótti
á;á
Íslandi;Íslandi
til;til
tínt;tínt
smátt;smátt
ok;og
stórt;stórt
,;,
satt;saðt
ok;og
logit;logið
".""";"."""
Annan;Annan
dag;dag
eftir;eftir
gekk;gekk
Gautr;Gautur
ofan;ofan
í;í
konungsgarð;konungsgarð
.;.
Ok;og
er;er
hann;hann
kom;kom
aftr;aftur
ok;og
þeir;þeir
Sturla;Sturla
töluðust;töluðust
við;við
,;,
mælti;mælti
Gautr;Gautur
:;:
hefir;hefur
nú;nú
um;um
mál;mál
þitt;þitt
,;,
fyrir;fyrir
því;því
at;að
konungr;konungur
vill;vill
nú;nú
,;,
at;að
þú;þú
farir;farir
með;með
honum;honum
suðr;suður
með;með
landi;landi
".""";"."""
Sturla;Sturla
mælti;mælti
:;:
eigi;eigi
konungr;konungur
hljóta;hljóta
at;að
ráða;ráða
,;,
en;en
elgi;elgi
fýsir;fýsir
mik;mig
í;í
brott;brott
heðan;héðan
".""";"."""
Réðst;Réðst
