Þá;Þá
er;er
Hákon;Hákon
konungr;konungur
Hákonarson;Hákonarson
hafði;hafði
þrjá;þrjá
tigu;tugi
vetra;vetra
ráðit;ráðið
Nóregi;Nóregi
,;,
kom;kom
Vilhjálmr;Vilhjálmur
kardínáli;kardínáli
í;í
Nóreg;Noreg
ok;og
vígði;vígði
Hákon;Hákon
konung;konung
undir;undir
kórónu;kórónu
.;.
Þat;Það
var;var
á;á
fimmta;fimmta
ári;ári
páfadóms;páfadóms
Innocentii;Innocentii
.;.
En;En
þrimr;þremr
vetrum;vetrum
síðar;síðar
fór;fór
utan;utan
Heinrekr;Heinrekur
byskup;biskup
Kársson;Kársson
ok;og
Þórðr;Þórður
kakali;kakali
.;.
Þá;Þá
var;var
körinn;kjörinn
til;til
lög;lög
[;[
sögu;sögu
];]
manns;manns
Sturla;Sturla
Þórðarson;Þórðarson
.;.
Á;Á
þeim;þeim
misserum;misserum
andaðist;andaðist
Árni;Árni
óreiða;óreiða
,;,
sonr;sonur
Magnúss;Magnúsar
Ámundasonar;Ámundasonar
.;.
Brandr;Brandur
prestr;prestur
Jónsson;Jónsson
var;var
vígðr;vígður
til;til
ábóta;ábóta
á;á
því;því
ári;ári
,;,
er;er
Hákon;Hákon
konungr;konungur
var;var
vígðr;vígður
undir;undir
kórónu;kórónu
.;.
Hann;Hann
réð;réð
fyrir;fyrir
austr;austur
í;í
Þykkvabæ;Þykkvabæ
í;í
Veri;Veri
ok;og
var;var
ágætr;ágætur
höfðingi;höfðingi
,;,
klerkr;klerkur
góðr;góður
,;,
vitr;vitur
ok;og
vinsæll;vinsæll
,;,
ríkr;ríkur
ok;og
góðgjarn;góðgjarn
.;.
Ok;Og
í;í
þann;þann
tíma;tíma
hafði;hafði
hann;hann
mesta;mesta
mannheill;mannheill
þeira;þeirra
manna;manna
,;,
er;er
þá;þá
váru;voru
á;á
Íslandi;Íslandi
.;.
Hans;Hans
móðir;móðir
var;var
Halldóra;Halldóra
Arnórsdóttir;Arnórsdóttir
,;,
en;en
móðir;móðir
Halldóru;Halldóru
var;var
Guðrún;Guðrún
,;,
dóttir;dóttir
Brands;Brands
byskups;biskups
Sæmundarsonar;Sæmundarsonar
.;.
