Þat;Það
var;var
eitt;eitt
sinn;sinn
,;,
at;at
Sæmundr;Sæmundur
lét;lét
eiðfæra;eiðfæra
ómaga;ómaga
á;á
landseta;landseta
Ögmundar;Ögmundar
,;,
er;er
Höskuldr;Höskuldur
hét;hét
.;.
Ögmundr;Ögmundur
reið;reið
þegar;þegar
at;að
sjá;sjá
yfir;yfir
efni;efni
hans;hans
,;,
ok;og
vildi;vildi
hann;hann
kalla;kalla
þat;það
,;,
at;að
Höskuldr;Höskuldur
mætti;mætti
eigi;eigi
annast;annast
ómagann;ómagann
fyrir;fyrir
fjár;fjár
sakir;sakir
.;.
Síðan;Síðan
fekk;fekk
Ögmundr;Ögmundur
menn;menn
til;til
at;at
færa;færa
aftr;aftr
ómagann;ómagann
.;.
Sæmundr;Sæmundur
varð;varð
víð;við
þetta;þetta
reiðr;reiður
mjök;mjög
ok;og
sér;sér
nú;nú
yfir;yfir
eignir;eignir
Höskulds;Höskulds
ok;og
þykkir;þykir
hann;hann
fé;fé
til;til
hafa;hafa
at;að
annast;annast
ómagann;ómagann
.;.
Sagði;Sagði
hann;hann
,;,
at;að
Ögmundr;Ögmundur
gerði;gerði
honum;honum
rangt;rangt
ok;og
kveðst;kveðst
eigi;eigi
svá;svo
búit;búið
hafa;hafa
skyldu;skyldu
.;.
Ríðr;Ríður
hann;hann
heim;heim
eftir;eftir
þetta;þetta
,;,
ok;og
er;er
nú;nú
kyrrt;kyrrt
um;um
vetrinn;veturinn
.;.
Eftir;Eftir
um;um
várit;vorit
ferr;fer
Sæmundr;Sæmundur
stefnuför;stefnuför
í;í
Kirkjubæ;Kirkjubæ
,;,
ok;og
stefnir;stefnir
hann;hann
Ögmundi;Ögmundi
um;um
þat;það
,;,
at;að
hann;hann
þóttist;þóttist
eigi;eigi
ná;ná
réttu;réttu
af;af
honum;honum
.;.
Heyrir;Heyrir
Ögmundr;Ögmundur
á;á
stefnu;stefnu
ok;og
Guðmundr;Guðmundur
,;,
bróðir;bróðir
Sæmundar;Sæmundar
.;.
Síðan;Síðan
ríðr;ríður
Sæmundr;Sæmundur
ofan;ofan
í;í
Holt;Holt
í;í
Meðalland;Meðalland
ok;og
tekr;tekur
þar;þar
upp;upp
bú;bú
Snorra;Snorra
sveims;sveims
,;,
svá;svo
at;að
þar;þar
var;var
fátt;fátt
fémætt;fémætt
eftir;eftir
.;.
Þaðan;Þaðan
ríðr;ríður
hann;hann
í;í
Mörtungu;Mörtungu
ok;og
skiptir;skiptir
fé;fé
með;með
þeim;þeim
Agli;Agli
ok;og
Ragnheiði;Ragnheiði
.;.
Síðan;Síðan
ríðr;ríður
hann;hann
í;í
brott;brott
ok;og
hefir;hefir
með;með
sér;sér
fé;fé
allt;allt
þat;það
,;,
er;er
Egill;Egill
átti;átti
,;,
en;en
segir;segir
Agli;Agli
skyrhnakk;skyrhnakk
,;,
at;að
hann;hann
skal;skal
heimila;heimila
eiga;eiga
vist;vist
at;að
Svínafelli;Svínafelli
þeim;þeim
stundum;stundum
,;,
er;er
hann;hann
vildi;vildi
verit;verið
hafa;hafa
.;.
Egill;Egill
tekr;tekur
því;því
mjök;mjög
hvárngan;hvorugan
veg;veg
.;.
Þegar;Þegar
Sæmundr;Sæmundur
er;er
í;í
brottu;bröttu
,;,
ríðr;ríður
Egill;Egill
í;í
Kirkjubæ;Kirkjubæ
ok;og
segir;segir
Ögmundi;Ögmundi
til;til
svá;svá
búins;búins
.;.
Ögmundr;Ögmundur
gerir;gerir
þar;þar
ekki;ekki
at;að
,;,
en;en
býðr;býður
Agli;Agli
at;að
vera;vera
með;með
sér;sér
.;.
Egill;Egill
þakkar;þakkar
honum;honum
boðit;boðið
ok;og
segir;segir
,;,
at;að
hann;hann
myndi;myndi
þar;þar
lengrum;lengrum
vera;vera
en;en
með;með
Sæmundi;Sæmundi
.;.
Ok;Og
er;er
þeir;þeir
tala;tala
þetta;þetta
,;,
ríðr;ríður
þar;þar
at;að
Snorri;Snorri
sveimr;sveimur
,;,
ok;og
berr;ber
hann;hann
upp;upp
vandræði;vandræði
sin;sín
ok;og
segir;segir
,;,
fyrir;fyrir
hver;hver
ju;ju
hann;hann
er;er
orðinn;orðinn
.;.
Ögmundr;Ögmundur
bað;bað
þá;þá
vel;vel
við;við
verða;verða
,;,
kvað;kvað
eigi;eigi
skorta;skorta
mat;mat
ok;og
önnur;önnur
föng;föng
í;í
Kirkjubæ;Kirkjubæ
,;,
-;-
skal;skal
oss;oss
jafndrjúgt;jafndrjúgt
verða;verða
",""";","""
segir;segir
hann;hann
.;.
Ögmundr;Ögmundur
sendi;sendi
þá;þá
mann;mann
í;í
Þykkvabæ;Þykkvabæ
til;til
Brands;Brands
ábóta;ábóta
at;að
segja;segja
honum;honum
tiltekjur;tiltekjur
Sæmundar;Sæmundar
.;.
Ábóti;Ábóti
hét;hét
at;at
leggja;leggja
til;til
samnings;samnings
með;með
þeim;þeim
,;,
en;en
bað;bað
Ögmund;Ögmund
eigi;eigi
halda;halda
vini;vini
sína;sína
til;til
rangra;rangra
hluta;hluta
með;með
ofkappi;ofkappi
,;,
-;-
at;að
þess;þess
er;er
ván;von
,;,
at;að
Sæmundr;Sæmundur
vili;vilji
þat;það
eigi;eigi
hafa;hafa
,;,
hvárki;hvorki
af;af
yðrum;ykkur
né;né
öðrum;öðrum
mönnum;mönnum
".""";"."""
Ábóta;Ábóta
líkar;líkar
ok;og
illa;illa
fjárupptektin;fjárupptektin
,;,
þótt;þótt
sakir;sakir
væri;væri
til;til
,;,
ok;og
kveðst;kveðst
ugga;ugga
,;,
at;að
til;til
meira;meira
myndi;myndi
draga;draga
með;með
þeim;þeim
en;en
þá;þá
var;var
fram;fram
komit;komið
,;,
því;því
at;að
Sæmundr;Sæmundur
var;var
ofsamaðr;ofsamaður
mikill;mikill
ok;og
óeirinn;óeirinn
ok;og
gerði;gerði
at;að
því;því
engan;engan
manna;manna
mun;mun
.;.
En;En
Ögmundr;Ögmundur
var;var
ótillátssamr;ótillitssamur
ok;og
átti;átti
mikit;mikið
undir;undir
sér;sér
.;.
