Ðorualldr;Þorvaldur
het;hét
madr;maður
son;sonur
Osualldz;Osvalds
Ulfssonar;Úlfssonar
Ỏxnaþorissonar;Öxnaþórissonar
.;.
Þorualldr;Þorvaldur
ok;og
Æirekr;Eiríkur
hinn;hinn
raude;rauði
son;sonur
hans;hans
foru;fóru
af;af
Jadri;Jaðri
til;til
Jslandz;Íslands
firir;fyrir
viga;víga
sakir;sakir
.;.
þa;þá
var;var
vijda;víða
bygt;byggt
Jsland;Ísland
.;.
þeir;þeir
biuggu;bjuggu
fyst;fyrst
at;að
Draungum;Dröngum
a;á
Hornnstrondum;Hornströndum
.;.
þar;þar
andadizst;andaðist
Þorualldr;Þorvaldur
.;.
Æirekr;Eiríkur
fek;fékk
þa;þá
Þorhilldar;Þórhildar
dottur;dóttur
Jorundar;Jörunfar
ok;og
Þorbiargar;Þorbjargar
knarrarbringu;knarrarbringu
er;er
þa;þá
atti;átti
Þorbiornn;Þorbjörn
hinn;hinn
haukdælski;haukdælski
.;.
redzst;réðst
Æirekr;Eiríkur
þa;þá
nordan;norðan
ok;og
bio;bjó
a;á
Æirekstodum;Eiríksstöðum
hia;hjá
Uatzhornne;Vatnshorni
.;.
son;sonur
Æireks;Eiríks
ok;og
Þorhilldar;Þórhildar
het;hét
Leifr;Leifur
.;.
En;En
eftir;eftir
uig;víg
Eyiulfs;Eyjólfs
saurs;saurs
ok;og
Holmgaungu-Hrafns;Hólmgöngu-Hrafns
uar;var
Æirekr;Eiríkur
gerr;gerður
brot;brott
or;úr
Haukadal;Haukadal
.;.
for;fór
hann;hann
uestr;vestur
til;til
Breidafiardar;Breiðafjarðar
ok;og
bio;bjó
j;í
Ỏxney;Öxney
a;á
Æirekstodum;Eiríksstöðum
.;.
hann;hann
ledi;léði
Þorgesti;Þorgesti
setzstokka;setstokka
ok;og
nadi;náði
æigi;eigi
(;(
er;er
);)
hann;hann
kallade;kallaði
til;til
.;.
þadan;þaðan
af;af
gerduzst;gerðust
deilur;deilur
ok;og
bardagar;bardagar
med;með
þeim;þeim
Þorgesti;Þorgesti
sem;sem
segir;segir
j;í
sogu;sögu
Æireks;Eiríks
.;.
Styrr;Styr
Þorgrimsson;Þorgrímsson
ueitti;veitti
Æireki;Eiríki
at;að
malum;málum
ok;og
Eyiulfr;Eyjólfur
or;úr
Suiney;Svíney
ok;og
synir;synir
Þorbranz;Þorbrands
ór;úr
Alftafirde;Álftafirði
ok;og
Þorbiornn;Þorbjörn
Uifilsson;Vífilsson
.;.
En;En
Þorgestlingum;Þorgestlingum
uæitti;veittu
synir;synir
Þordar;Þórðar
gellis;gellis
ok;og
Þorgæir;Þorgeir
or;úr
Hijtardal;Hítardal
.;.
Æirekr;Eiríkur
uard;varð
sekr;sekur
a;á
Þornesþinge;Þórnesþingi
.;.
bio;bjó
Æirekr;Eiríkur
þa;þá
skip;skip
sitt;sitt
(;(
til;til
);)
hafs;hafs
j;í
Æiraksuoge;Eiríksvogi
.;.
en;en
er;er
hann;hann
uar;var
buinn;búinn
fylgdu;fyldu
þeir;þeir
Styrr;Styrr
honum;honum
vt;út
vm;um
eyiar;eyjar
.;.
Æirekr;Eiríkur
sagde;sagði
þeim;þeim
at;að
hann;hann
ætlade;ætlaði
at;að
leita;leita
lanz;lands
þess;þess
er;er
Gunnbiornn;Gunnbjörn
son;sonur
Ulfs;Úlfs
kraku;kráku
sa;sá
er;er
(;(
hann;hann
);)
rak;rak
uestr;vestur
um;um
haf;haf
þa;þá
er;er
hann;hann
fann;fann
Gunnbiarnarsker;Gunnbjarnarsker
.;.
kuetz;kveðst
hann;hann
aftr;aftur
mundu;muni
leita;leita
til;til
vina;vina
sinna;sinna
ef;ef
hann;hann
fynde;fyndi
landit;landið
.;.
Æirekr;Eiríkur
siglde;sigldi
undan;undan
Snęfellziokli;Snæfellsjökli
.;.
hann;hann
fann;fann
landit;landið
ok;og
kom;kom
utan;utan
at;að
þui;því
þar;þar
sem;sem
hann;hann
kallade;kallaði
Midiokul;Miðjökul
.;.
sa;sá
hæitir;heitir
nu;nú
Blaserkr;Bláserkur
.;.
hann;hann
for;fór
þa;þá
þadan;þaðan
sudr;suður
med;með
landinu;landinu
at;að
leita;leita
ef;ef
þadan;þaðan
væri;væri
byggiada;byggjanda
landit;land
.;.
Hann;Hann
uar;var
hinn;hinn
fysta;fyrsta
uetr;vetur
j;í
Æireksey;Eiríksey
nærr;nær
midre;miðri
hinne;hinni
eystri;eystri
bygd;byggð
.;.
um;um
uorit;vorið
eftir;eftir
for;fór
hann;hann
til;til
Æireksfiardar;Eiríksfjarðar
ok;og
tok;tók
ser;sér
þar;þar
bustad;bústað
.;.
hann;hann
for;fór
þat;það
sumar;sumar
j;í
hina;hina
uestri;vestri
ubygd;óbyggð
ok;og
gaf;gaf
uijda;víða
ỏrnefni;örnefni
.;.
hann;hann
uar;var
annan;annan
uetr;vetur
j;í
Holmum;Hólum
uit;við
Hrafnsgnipu;Hrafnsgnípu
.;.
en;en
hit;hið
þridia;þriðja
sumarit;sumarið
for;fór
hann;hann
(;(
nordr;norður
til;til
Snæfellz;Snæfells
ok;og
allt;allt
inn;inn
j;í
Hrafnsfiord;Hrafnsfjörð
.;.
þa;þá
kuadzst;kvaðst
hann;hann
kominn;kominn
firir;fyrir
botn;botn
Æireksfiardar;Eiríksfjarðar
.;.
huarf;hvarf
hann;hann
þa;þá
aftr;aftur
ok;og
var;var
hinn;hinn
þridia;þriðja
uetr;vetur
j;í
Æireksey;Eiríksey
firir;fyrir
mynne;mynni
Æireksfiardar;Eiríksfjarðar
.;.
eftir;eftir
um;um
sumarit;sumarið
for;fór
hann;hann
);)
til;til
Jslandz;Íslands
ok;og
kom;kom
skipe;skipi
sinu;sínu
j;í
Breidafiord;Breiðafjörð
.;.
Hann;Hann
kallade;kallaði
landit;land
þat;það
er;er
hann;hann
hafde;hafði
fundit;fundið
Grænland;Grænland
þuiat;því að
hann;hann
kuat;kvað
þat;það
mundu;mundi
fysa;fýsa
menn;menn
þangat;þangað
er;er
landit;landið
heti;héti
uel;vel
.;.
Æirekr;Eiríkur
uar;var
a;á
Jslande;Íslandi
um;um
uetrinn;veturinn
.;.
en;en
vm;um
sumarit;sumarið
eftir;eftir
for;fór
hann;hann
at;að
byggia;byggja
landit;landið
.;.
hann;hann
bio;bjó
j;í
Brattahlid;Brattahlíð
j;í
Æireksfirde;Eiríksfirði
.;.
Suo;Svo
segia;segja
frodir;fróðir
menn;menn
at;að
a;á
þui;því
sama;sama
sumre;sumri
er;er
Æirekr;Eiríkur
raude;rauði
for;fór
at;að
byggia;byggja
Grænland;Grænland
þa;þá
for;fór
halfr;hálfur
fiorde;fjórði
tỏgr;tugur
skipa;skipa
ór;úr
Breidafirde;Breiðafirði
ok;og
Borgarfirde;Borgarfirði
en;en
fiortan;fjórtán
kuomuzst;komust
vt;út
þangat;þangað
.;.
sum;sum
rak;rak
aftr;aftur
en;en
sum;sum
tynduzst;týndust
.;.
Þat;Það
uar;var
xv;fimmtán
uetrum;vetrum
fyr;fyrr
en;en
kristni;kristni
uar;var
lỏgtekin;lögtekin
a;æa
Jslande;Íslandi
.;.
a;á
þui;því
sama;sama
sumre;sumri
foru;fóru
vtan;utan
Fridrekr;Friðrekur
byskup;biskup
ok;og
Þorualldr;Þorvaldur
Kodransson;Koðránsson
.;.
Þessir;Þessir
menn;menn
namu;námu
land;land
a;á
Grænlandi;Grænlandi
er;er
þa;þá
foru;fóru
vt;út
med;með
Æireki;Eiríki
.;.
Heriulfr;Herjólfur
Heriulfsfiord;Herjólfsfjörð
hann;hann
bio;bjó
a;á
Heriulfsnese;Herjólfsnesi
.;.
Ketill;Ketill
Ketilsfiord;Ketilsfjörð
Hrafnn;Hrafn
Hrafnnsfiord;Hrafnsfjörð
Sỏlui;Sölvi
Sỏluadal;Sölvadal
Helgi;Helgi
Þorbranzson;Þorbrandsson
Alftafiord;Álftafjörð
Þorbiornn;Þorbjörn
glora;glóra
Siglufiord;Siglufjörð
.;.
Æinarr;Einar
Æinarsfiord;Einarsfjörð
Hafgrimr;Hafgrímur
Hafgrimsfiord;Hafgrímsfjörð
ok;og
Uatnnahuerfui;Vatnahverfi
Arnnlaugr;Arnlaugur
Arrnnlaugsfiord;Arnlaugsfjörð
.;.
en;en
sumer;sumir
foru;fóru
til;til
uestri;vestari
bygdar;byggða
.;
