Freydis;Freydís
for;fór
nu;nú
til;til
bus;bús
sins;síns
þuiat;því að
þat;það
hafde;hafði
stadit;staðið
medan;meðan
vskatt;óskatt
.;.
hon;hún
fek;fékk
mikinn;mikinn
feing;feng
þar;þar
ollu;öllu
foruneyti;föruneyti
sinu;sínu
þuiat;því að
hon;hún
uillde;vildi
leyna;leyna
lata;láta
vdadum;ódáðum
sinum;sínum
.;.
sitr;situr
hon;hún
nu;nú
j;í
bui;búi
sinu;sínu
.;.
Eigi;Eigi
urdu;urðu
aller;allir
suo;svo
halldinordir;haldinorðir
at;að
þegde;þegði
yfir;yfir
vdadum;ódáðum
þeirra;þeirra
edr;eður
illzsku;illsku
at;að
æigi;eigi
kæme;kæmi
upp;upp
vm;um
sider;síðir
.;.
Nu;Nú
kom;kom
þetta;þetta
upp;upp
vm;um
sidir;síðir
firir;fyrir
Leif;Leif
brodur;bróður
hennar;hennar
ok;og
þotti;þótti
honum;honum
þessi;þessi
saga;saga
allill;allill
.;.
þa;þá
tok;tók
Leifr;Leifur
iij;þrjá
menn;menn
af;af
lide;liði
þeirra;þeirra
Freydisar;Freydísar
ok;og
pinde;píndi
þa;þá
til;til
sagna;sagna
vm;um
þenna;þennan
atburd;atburð
allan;allan
iafnnsaman;jafnsaman
ok;og
var;var
med;með
æinu;einu
mote;móti
sognn;sögn
þeirra;þeirra
.;.
Æigi;Eigi
nenni;nenni
ek;ég
segir;segir
Leifr;Leifur
at;að
gera;gera
þat;það
at;að
vid;við
Freidisi;Freydísi
systur;systur
mina;mína
sem;sem
hon;hún
veri;veri
verd;verð
en;en
spa;spá
mun;mun
ek;ég
þeim;þeim
þess;þess
at;að
þeirra;þeirra
afkuęmi;afkvæmi
mun;mun
litt;lítt
at;að
þrifum;þrifum
verda;verða
.;.
Nu;Nú
læid;leið
þat;það
suo;svo
fram;fram
at;að
aungum;engum
þotti;þótti
vm;um
þau;þau
vert;vert
þadan;þaðan
jfra;ífrá
nema;nema
illz;ills
.;.
Nu;Nú
er;er
at;að
segia;segja
fra;frá
þui;því
er;er
Kallzefni;Karlsefni
byr;býr
skip;skip
sitt;sitt
ok;og
siglde;sigldi
j;í
haf;haf
.;.
honum;honum
forst;fórst
uel;vel
ok;og
kom;kom
til;til
Noregs;Noregs
med;með
heilu;heilu
ok;og
holldnu;höldnu
ok;og
sat;sat
þar;þar
vm;um
uetrinn;veturinn
ok;og
sellde;seldi
uarnning;varning
sinn;sinn
ok;og
hafde;hafði
þar;þar
gott;gott
yfirlæti;yfirlæti
ok;og
þau;þau
będe;bæði
hion;hjón
af;af
hinum;hinum
gofgauzstum;göfugustu
monnum;mönnum
j;í
Noregi;Noregi
en;en
vm;um
uorit;vorið
eftir;eftir
bio;bjó
hann;hann
skip;skip
sitt;sitt
til;til
Jslandz;Íslands
.;.
ok;og
er;er
hann;hann
var;var
albuinn;albúinn
ok;og
skip;skip
hans;hans
la;lá
til;til
byriar;byrjar
firir;fyrir
bryggiunum;bryggjunum
þa;þá
kom;kom
þar;þar
ad;að
honum;honum
sudrmadr;suðurmaður
einn;einn
ættadr;ættaður
af;af
Brimum;Brimum
ór;úr
Saxlande;Saxlandi
hann;hann
falar;falar
at;að
Kallzefni;Karlsefni
husasnotru;húsasnotru
hans;hans
.;.
Ek;Ég
uil;vil
æigi;eigi
selia;selja
sagde;sagði
hann;hann
.;.
Ek;Ég
mun;mun
gefa;gefa
þer;þér
uit;við
halfa;hálfa
mork;mörk
gullz;gulls
segir;segir
sudrmadr;suðurmaður
.;.
Kallzefni;Karlsefni
þotti;þótti
uel;vel
vid;við
bodit;boðið
ok;og
keyftu;keypti
sidan;síðan
.;.
for;fór
sudrmadr;suðurmaður
j;í
burt;burt
med;með
husasnotruna;húsasnotruna
en;en
Kallzefni;Karlsefni
visse;vissi
æigi;eigi
huat;hvað
tre;tré
var;var
.;.
en;en
þat;það
var;var
mausurr;mösur
kominn;kominn
af;af
Vinlande;Vínlandi
.;.
Nu;Nú
sigler;siglir
Kallzefni;Karlsefni
j;í
haf;haf
ok;og
kom;kom
skipe;skipi
sinu;sínu
firir;fyrir
nordan;norðan
land;land
j;í
Skagafiord;Skagafjörð
ok;og
uar;var
þar;þar
upp;upp
sett;sett
skip;skip
hans;hans
vm;um
uetrinn;veturinn
en;en
vm;um
uorit;vorið
keyfti;keypti
hann;hann
Glaumbeiarland;Glaumbæjarland
ok;og
gerde;gerði
bu;bú
a;á
ok;og
bio;bjó
þar;þar
medan;meðan
hann;hann
lifde;lifði
ok;og
uar;var
hit;hið
mesta;mesta
gofugmenni;göfugmenni
ok;og
er;er
mart;margt
manna;manna
fra;frá
honum;honum
komit;komið
ok;og
Gudride;Guðríði
konu;konu
hans;hans
ok;og
godr;góður
ættbogi;ættbogi
.;.
Ok;Og
er;er
Kallzefni;Karlsefni
uar;var
andadr;andaður
tok;tók
Gudridr;Guðríður
uid;við
bus;bús
uarduæitzslu;varðveislu
ok;og
Snorre;Snorri
son;sonur
hennar;hennar
er;er
fęddr;fæddur
var;var
a;á
Uinlande;Vínlandi
.;.
ok;og
er;er
Snorre;Snorri
uar;var
kuongadr;kvongaður
þa;þá
for;fór
Gudridr;Guðríður
vtan;utan
ok;og
gek;gekk
sudr;suður
ok;og
kom;kom
vt;út
aptr;aftur
til;til
bus;bús
Snorra;Snorra
sonar;sonar
sins;síns
ok;og
hafde;hafði
hann;hann
þa;þá
latit;látið
gera;gera
kirkiu;kirkju
j;í
Glaumbę;Glaumbæ
.;.
sidan;síðan
uard;varð
Gudridr;Guðríður
nunna;nunna
ok;og
æinsetukona;einsetukona
ok;og
uar;var
þar;þar
medan;meðan
hon;hún
lifde;lifði
.;.
Snorre;Snorri
atti;átti
son;son
þann;þann
er;er
Þorgæirr;Þorgeir
het;hét
hann;hann
var;var
fadir;faðir
Jnguelldar;Ingveldar
modur;móður
Branz;Brjáns
byskups;biskups
.;.
Dottir;Dóttir
Snorra;Snorra
Kallzefnissonar;Karlsefnissonar
het;hét
Hallfridr;Hallfríður
hon;hún
var;var
modir;móðir
Runolfs;Runólfs
fỏdur;föður
Þorlaks;Þorláks
byskups;biksups
.;.
Biornn;Björn
het;hét
son;sonur
Kallzefnis;Karlsefnis
ok;og
Gudridar;Guðríðar
hann;hann
var;var
fadir;faðir
Þoruhnar;Þórunnar
modur;móður
Biarnnar;Bjarna
byskups;biskups
.;.
fiolde;fjöldi
manna;manna
er;er
fra;frá
Kallzefni;Karlsefni
kominn;kominn
ok;og
er;er
hann;hann
kynsæll;kynsæll
madr;maður
ordinn;orðinn
.;.
ok;og
hefir;hefur
Kallzefni;Karlsefni
gerzst;gerst
sagt;sagt
allra;allra
manna;manna
atburde;atburði
vm;um
farar;farir
þessar;þessar
allar;allar
er;er
nu;nú
er;er
nokkut;nokkuð
orde;orði
a;á
komit;komið
.;.
