Þa;Þá
er;er
sexstan;sextán
uetr;vetur
uoru;voru
lidnir;liðnir
fra;frá
þui;því
er;er
Æirekr;Eiríkur
raude;rauði
for;fór
at;að
byggia;byggja
Grænland;Grænland
þa;þá
for;fór
Leifr;Leifur
son;sonur
Æireks;Eiríks
utan;utan
af;af
Grænlande;Grænlandi
til;til
Noregs;Noregs
.;.
kom;kom
hann;hann
til;til
Þrandheims;Þránheims
um;um
haustit;haustið
þa;þá
er;er
Olafr;Ólafur
konungr;konungur
Trygguason;Tryggvason
uar;var
kominn;kominn
nordan;norðan
af;af
Halogalande;Hálogalandi
.;.
Leifr;Leifur
lagde;lagði
skipi;skipi
sinu;sínu
inn;inn
til;til
Nidaróss;Niðarós
ok;og
for;fór
þegar;þegar
a;á
fund;fund
Olafs;Ólafs
konungs;konungs
.;.
bodade;boðaði
konungr;konungur
tru;trú
honum;honum
sem;sem
odrum;öðrum
heidnum;heiðnum
monnum;mönnum
er;er
a;á
hans;hans
fund;fund
komu;komu
.;.
gek;gekk
konungi;konungi
þat;það
auduelliga;auðveldlega
uit;við
Leif;Leif
.;.
uar;var
hann;hann
þa;þá
skirdr;skírður
ok;og
aller;allir
skipueriar;skipverjar
hans;hans
.;.
var;var
Leifr;Leifur
med;með
konungi;konungi
um;um
uetrinn;veturinn
uel;vel
halldinn;haldinn
.;
